Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,57,124.0,+0:41,,,Pibernik Luka,37,Bahrain Merida Pro Cycling Team,",, 0:38",,0,2018
24,161,133.0,+0:46,,,Martin Guillaume,38,Wanty - Groupe Gobert,0:43 0:43,,0,2018
23,184,134.0,+0:46,,,Kuss Sepp,39,Team LottoNL-Jumbo,",, 0:43",,0,2018
23,205,138.0,+0:47,,,Guerreiro Ruben,40,Trek - Segafredo,0:44 0:44,,0,2018
21,103,142.0,+0:51,,,Jakobsen Fabio,41,Quick-Step Floors,0:48 0:48,,0,2018
23,215,144.0,+0:51,,,Manzin Lorrenzo,42,Vital Concept Cycling Club,",, 0:48",,0,2018
23,164,146.0,+0:52,,,Eiking Odd Christian,43,Wanty - Groupe Gobert,0:49 0:49,,0,2018
24,25,3.0,+0:03,,1.0,Moscon Gianni,1,Team Sky,4:31:54 4:31:54,-,1,2018
22,102,11.0,+0:15,,5.0,De Plus Laurens,2,Quick-Step Floors,0:12 0:12,\u25b23,1,2018
24,91,19.0,+0:20,,9.0,Soler Marc,3,Movistar Team,0:17 0:17,\u25b26,1,2018
22,133,26.0,+0:23,,10.0,Hamilton Lucas,4,Mitchelton-Scott,0:20 0:20,\u25b26,1,2018
22,117,27.0,+0:23,,11.0,Vincent L\xe9o,5,Groupama - FDJ,",, 0:20",\u25b26,1,2018
24,71,29.0,+0:24,,16.0,Benoot Tiesj,6,Lotto Soudal,0:21 0:21,\u25b210,1,2018
25,96,30.0,+0:25,,17.0,Roson Jaime,7,Movistar Team,0:22 0:22,\u25b210,1,2018
24,35,32.0,+0:26,,18.0,Latour Pierre,8,AG2R La Mondiale,0:23 0:23,\u25b210,1,2018
25,13,33.0,+0:27,,20.0,Conti Valerio,9,UAE-Team Emirates,0:24 0:24,\u25b211,1,2018
24,62,45.0,+0:33,,33.0,Ackermann Pascal,10,BORA - hansgrohe,0:30 0:30,\u25b223,1,2018
23,93,46.0,+0:33,,24.0,Carretero H\xe9ctor,11,Movistar Team,",, 0:30",\u25b213,1,2018
