Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,121,25.0,+15:09,,6.0,Chavanel Sylvain,6,Brioches La Boulangère,15:09 15:09,14,2004,-
24,108,26.0,+18:08,,7.0,Rogers Michael,7,Quickstep - Davitamon,18:08 18:08,14,2004,-
25,32,28.0,+20:31,,8.0,Camaño Iker,8,Euskaltel - Euskadi,20:31 20:31,14,2004,-
24,142,56.0,+49:15,,9.0,Astarloza Mikel,9,AG2R Prévoyance,49:15 49:15,14,2004,-
25,7,76.0,+1:07:15,,10.0,Noval Benjamin,10,US Postal Service,1:07:15 1:07:15,14,2004,-
24,84,82.0,+1:12:38,,11.0,Lang Sebastian,11,Gerolsteiner,1:12:38 1:12:38,14,2004,-
23,113,88.0,+1:15:41,,12.0,Davis Allan Howard,12,Liberty Seguros,1:15:41 1:15:41,14,2004,-
25,148,91.0,+1:17:03,,13.0,Portal Nicolas,13,AG2R Prévoyance,1:17:03 1:17:03,14,2004,-
25,205,96.0,+1:19:59,,14.0,Calzati Sylvain,14,R.a.g.t Semence - Mg Rover,1:19:59 1:19:59,14,2004,-
23,149,98.0,+1:20:51,,15.0,Scanlon Mark,15,AG2R Prévoyance,1:20:51 1:20:51,14,2004,-
24,176,104.0,+1:24:35,,16.0,Loosli David,16,Saeco,1:24:35 1:24:35,14,2004,-
22,47,111.0,+1:28:55,,17.0,Pozzato Filippo,17,Fassa Bortolo,1:28:55 1:28:55,14,2004,-
23,43,113.0,+1:29:12,,18.0,Cancellara Fabian,18,Fassa Bortolo,1:29:12 1:29:12,14,2004,-
25,146,123.0,+1:31:59,,20.0,Krivtsov Yuriy,19,AG2R Prévoyance,1:31:59 1:31:59,14,2004,▲1
23,103,124.0,+1:32:04,,19.0,Boonen Tom,20,Quickstep - Davitamon,1:32:04 1:32:04,14,2004,▼1
24,95,134.0,+1:37:14,,22.0,Engoulvent Jimmy,21,"Cofidis, le Crédit par Téléphone",1:37:14 1:37:14,14,2004,▲1
25,123,135.0,+1:37:43,,21.0,Charteau Anthony,22,Brioches La Boulangère,1:37:43 1:37:43,14,2004,▼1
23,165,147.0,+1:45:23,,23.0,Eisel Bernhard,23,Fdjeux.com,1:45:23 1:45:23,14,2004,-
24,94,155.0,+1:57:07,,24.0,Edaleine Christophe,24,"Cofidis, le Crédit par Téléphone",1:57:07 1:57:07,14,2004,-
25,58,160.0,+2:26:32,,25.0,Joly Sébastien,25,Crédit Agricole,2:26:32 2:26:32,14,2004,-
25,129,9.0,+ 67:23:11,,1.0,Voeckler Thomas,1,Brioches La Boulangère,67:23:11 67:23:11,15,2004,-
25,162,20.0,+ 67:30:52,,2.0,Casar Sandy,2,Fdjeux.com,7:41 7:41,15,2004,-
23,75,21.0,+ 67:31:05,,3.0,Karpets Vladimir,3,Illes Balears - Banesto,7:54 7:54,15,2004,-
25,32,24.0,+ 67:36:36,,8.0,Camaño Iker,4,Euskaltel - Euskadi,13:25 13:25,15,2004,▲4
24,196,25.0,+ 67:36:55,,4.0,Scarponi Michele,5,Domina Vacanze,13:44 13:44,15,2004,▼1
25,121,26.0,+ 67:37:32,,6.0,Chavanel Sylvain,6,Brioches La Boulangère,14:21 14:21,15,2004,-
24,126,27.0,+ 67:37:59,,5.0,Pineau Jérôme,7,Brioches La Boulangère,14:48 14:48,15,2004,▼2
24,108,28.0,+ 67:40:31,,7.0,Rogers Michael,8,Quickstep - Davitamon,17:20 17:20,15,2004,▼1
24,142,62.0,+ 68:26:45,,9.0,Astarloza Mikel,9,AG2R Prévoyance,1:03:34 1:03:34,15,2004,-
25,7,73.0,+ 68:39:57,,10.0,Noval Benjamin,10,US Postal Service,1:16:46 1:16:46,15,2004,-
25,205,74.0,+ 68:42:22,,14.0,Calzati Sylvain,11,R.a.g.t Semence - Mg Rover,1:19:11 1:19:11,15,2004,▲3
24,84,75.0,+ 68:42:33,,11.0,Lang Sebastian,12,Gerolsteiner,1:19:22 1:19:22,15,2004,▼1
25,148,86.0,+ 68:54:33,,13.0,Portal Nicolas,13,AG2R Prévoyance,1:31:22 1:31:22,15,2004,-
23,149,91.0,+ 68:58:21,,15.0,Scanlon Mark,14,AG2R Prévoyance,1:35:10 1:35:10,15,2004,▲1
23,113,100.0,+ 69:01:59,,12.0,Davis Allan Howard,15,Liberty Seguros,1:38:48 1:38:48,15,2004,▼3
25,146,111.0,+ 69:09:29,,19.0,Krivtsov Yuriy,16,AG2R Prévoyance,1:46:18 1:46:18,15,2004,▲3
24,176,112.0,+ 69:10:53,,16.0,Loosli David,17,Saeco,1:47:42 1:47:42,15,2004,▼1
25,123,114.0,+ 69:12:38,,22.0,Charteau Anthony,18,Brioches La Boulangère,1:49:27 1:49:27,15,2004,▲4
22,47,118.0,+ 69:15:13,,17.0,Pozzato Filippo,19,Fassa Bortolo,1:52:02 1:52:02,15,2004,▼2
23,43,119.0,+ 69:15:30,,18.0,Cancellara Fabian,20,Fassa Bortolo,1:52:19 1:52:19,15,2004,▼2
23,103,124.0,+ 69:18:22,,20.0,Boonen Tom,21,Quickstep - Davitamon,1:55:11 1:55:11,15,2004,▼1
24,95,137.0,+ 69:26:20,,21.0,Engoulvent Jimmy,22,"Cofidis, le Crédit par Téléphone",2:03:09 2:03:09,15,2004,▼1
23,165,147.0,+ 69:31:41,,23.0,Eisel Bernhard,23,Fdjeux.com,2:08:30 2:08:30,15,2004,-
24,94,153.0,+ 69:43:25,,24.0,Edaleine Christophe,24,"Cofidis, le Crédit par Téléphone",2:20:14 2:20:14,15,2004,-
25,58,158.0,+ 70:12:50,,25.0,Joly Sébastien,25,Crédit Agricole,2:49:39 2:49:39,15,2004,-
25,129,14.0,+ 68:09:28,,1.0,Voeckler Thomas,1,Brioches La Boulangère,68:09:28 68:09:28,16,2004,-
23,75,18.0,+ 68:13:01,,3.0,Karpets Vladimir,2,Illes Balears - Banesto,3:33 3:33,16,2004,▲1
25,162,20.0,+ 68:13:52,,2.0,Casar Sandy,3,Fdjeux.com,4:24 4:24,16,2004,▼1
24,196,24.0,+ 68:20:29,,5.0,Scarponi Michele,4,Domina Vacanze,11:01 11:01,16,2004,▲1
25,121,25.0,+ 68:20:56,,6.0,Chavanel Sylvain,5,Brioches La Boulangère,11:28 11:28,16,2004,▲1
25,32,26.0,+ 68:21:04,,4.0,Camaño Iker,6,Euskaltel - Euskadi,11:36 11:36,16,2004,▼2
24,126,27.0,+ 68:22:23,,7.0,Pineau Jérôme,7,Brioches La Boulangère,12:55 12:55,16,2004,-
24,108,28.0,+ 68:22:46,,8.0,Rogers Michael,8,Quickstep - Davitamon,13:18 13:18,16,2004,-
24,142,62.0,+ 69:09:51,,9.0,Astarloza Mikel,9,AG2R Prévoyance,1:00:23 1:00:23,16,2004,-
25,7,73.0,+ 69:23:58,,10.0,Noval Benjamin,10,US Postal Service,1:14:30 1:14:30,16,2004,-
24,84,75.0,+ 69:29:18,,12.0,Lang Sebastian,11,Gerolsteiner,1:19:50 1:19:50,16,2004,▲1
25,205,77.0,+ 69:30:56,,11.0,Calzati Sylvain,12,R.a.g.t Semence - Mg Rover,1:21:28 1:21:28,16,2004,▼1
25,148,87.0,+ 69:40:48,,13.0,Portal Nicolas,13,AG2R Prévoyance,1:31:20 1:31:20,16,2004,-
23,149,92.0,+ 69:43:48,,14.0,Scanlon Mark,14,AG2R Prévoyance,1:34:20 1:34:20,16,2004,-
23,113,103.0,+ 69:50:32,,15.0,Davis Allan Howard,15,Liberty Seguros,1:41:04 1:41:04,16,2004,-
25,146,108.0,+ 69:53:46,,16.0,Krivtsov Yuriy,16,AG2R Prévoyance,1:44:18 1:44:18,16,2004,-
25,123,111.0,+ 69:56:37,,18.0,Charteau Anthony,17,Brioches La Boulangère,1:47:09 1:47:09,16,2004,▲1
24,176,113.0,+ 69:58:13,,17.0,Loosli David,18,Saeco,1:48:45 1:48:45,16,2004,▼1
23,43,117.0,+ 70:01:05,,20.0,Cancellara Fabian,19,Fassa Bortolo,1:51:37 1:51:37,16,2004,▲1
22,47,121.0,+ 70:03:13,,19.0,Pozzato Filippo,20,Fassa Bortolo,1:53:45 1:53:45,16,2004,▼1
23,103,124.0,+ 70:05:52,,21.0,Boonen Tom,21,Quickstep - Davitamon,1:56:24 1:56:24,16,2004,-
24,95,141.0,+ 70:15:26,,22.0,Engoulvent Jimmy,22,"Cofidis, le Crédit par Téléphone",2:05:58 2:05:58,16,2004,-
23,165,146.0,+ 70:20:10,,23.0,Eisel Bernhard,23,Fdjeux.com,2:10:42 2:10:42,16,2004,-
24,94,152.0,+ 70:30:54,,24.0,Edaleine Christophe,24,"Cofidis, le Crédit par Téléphone",2:21:26 2:21:26,16,2004,-
25,58,156.0,+ 70:59:57,,25.0,Joly Sébastien,25,Crédit Agricole,2:50:29 2:50:29,16,2004,-
25,129,16.0,+ 74:26:08,,1.0,Voeckler Thomas,1,Brioches La Boulangère,74:26:08 74:26:08,17,2004,-
23,75,18.0,+ 74:26:53,,2.0,Karpets Vladimir,2,Illes Balears - Banesto,0:45 0:45,17,2004,-
25,162,19.0,+ 74:28:04,,3.0,Casar Sandy,3,Fdjeux.com,1:56 1:56,17,2004,-
24,108,23.0,+ 74:39:26,,8.0,Rogers Michael,4,Quickstep - Davitamon,13:18 13:18,17,2004,▲4
24,126,25.0,+ 74:41:34,,7.0,Pineau Jérôme,5,Brioches La Boulangère,15:26 15:26,17,2004,▲2
25,32,27.0,+ 74:44:20,,6.0,Camaño Iker,6,Euskaltel - Euskadi,18:12 18:12,17,2004,-
25,121,31.0,+ 74:53:37,,5.0,Chavanel Sylvain,7,Brioches La Boulangère,27:29 27:29,17,2004,▼2
24,196,32.0,+ 74:59:59,,4.0,Scarponi Michele,8,Domina Vacanze,33:51 33:51,17,2004,▼4
24,142,63.0,+ 75:49:21,,9.0,Astarloza Mikel,9,AG2R Prévoyance,1:23:13 1:23:13,17,2004,-
25,7,68.0,+ 75:56:39,,10.0,Noval Benjamin,10,US Postal Service,1:30:31 1:30:31,17,2004,-
25,205,72.0,+ 76:03:37,,12.0,Calzati Sylvain,11,R.a.g.t Semence - Mg Rover,1:37:29 1:37:29,17,2004,▲1
25,148,73.0,+ 76:04:04,,13.0,Portal Nicolas,12,AG2R Prévoyance,1:37:56 1:37:56,17,2004,▲1
24,84,80.0,+ 76:14:00,,11.0,Lang Sebastian,13,Gerolsteiner,1:47:52 1:47:52,17,2004,▼2
23,149,87.0,+ 76:23:08,,14.0,Scanlon Mark,14,AG2R Prévoyance,1:57:00 1:57:00,17,2004,-
23,113,94.0,+ 76:30:02,,15.0,Davis Allan Howard,15,Liberty Seguros,2:03:54 2:03:54,17,2004,-
25,146,98.0,+ 76:33:06,,16.0,Krivtsov Yuriy,16,AG2R Prévoyance,2:06:58 2:06:58,17,2004,-
25,123,103.0,+ 76:35:57,,17.0,Charteau Anthony,17,Brioches La Boulangère,2:09:49 2:09:49,17,2004,-
24,176,105.0,+ 76:37:33,,18.0,Loosli David,18,Saeco,2:11:25 2:11:25,17,2004,-
23,43,116.0,+ 76:48:21,,19.0,Cancellara Fabian,19,Fassa Bortolo,2:22:13 2:22:13,17,2004,-
22,47,118.0,+ 76:50:29,,20.0,Pozzato Filippo,20,Fassa Bortolo,2:24:21 2:24:21,17,2004,-
23,103,122.0,+ 76:53:08,,21.0,Boonen Tom,21,Quickstep - Davitamon,2:27:00 2:27:00,17,2004,-
23,165,131.0,+ 76:59:30,,23.0,Eisel Bernhard,22,Fdjeux.com,2:33:22 2:33:22,17,2004,▲1
24,95,139.0,+ 77:07:19,,22.0,Engoulvent Jimmy,23,"Cofidis, le Crédit par Téléphone",2:41:11 2:41:11,17,2004,▼1
24,94,144.0,+ 77:18:10,,24.0,Edaleine Christophe,24,"Cofidis, le Crédit par Téléphone",2:52:02 2:52:02,17,2004,-
25,58,147.0,+ 77:47:20,,25.0,Joly Sébastien,25,Crédit Agricole,3:21:12 3:21:12,17,2004,-
25,129,16.0,+ 78:41:40,,1.0,Voeckler Thomas,1,Brioches La Boulangère,78:41:40 78:41:40,18,2004,-
23,75,18.0,+ 78:42:25,,2.0,Karpets Vladimir,2,Illes Balears - Banesto,0:45 0:45,18,2004,-
25,162,19.0,+ 78:43:36,,3.0,Casar Sandy,3,Fdjeux.com,1:56 1:56,18,2004,-
24,108,23.0,+ 78:54:58,,4.0,Rogers Michael,4,Quickstep - Davitamon,13:18 13:18,18,2004,-
24,126,25.0,+ 78:57:06,,5.0,Pineau Jérôme,5,Brioches La Boulangère,15:26 15:26,18,2004,-
25,32,27.0,+ 78:59:52,,6.0,Camaño Iker,6,Euskaltel - Euskadi,18:12 18:12,18,2004,-
25,121,31.0,+ 79:09:09,,7.0,Chavanel Sylvain,7,Brioches La Boulangère,27:29 27:29,18,2004,-
24,196,32.0,+ 79:15:31,,8.0,Scarponi Michele,8,Domina Vacanze,33:51 33:51,18,2004,-
