Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
27,109,88.0,+1:38:01,,124.0,Teklehaimanot Daniel,88,Team Dimension Data,1:38:01 1:38:01,+-2:08,,,\u25b236,12,2016
30,214,89.0,+1:38:19,,86.0,Feillu Brice,89,Fortuneo - Vital Concept,1:38:19 1:38:19,+19:36,,,\u25bc3,12,2016
24,83,90.0,+1:40:35,,88.0,Craddock Lawson,90,Cannondale-Drapac Pro Cycling Team,1:40:35 1:40:35,+20:52,,,\u25bc2,12,2016
24,39,91.0,+1:41:22,,91.0,Valgren Michael,91,Tinkoff,1:41:22 1:41:22,+18:32,,,-,12,2016
27,129,92.0,+1:41:29,,90.0,Vichot Arthur,92,FDJ,1:41:29 1:41:29,+20:20,,,\u25bc2,12,2016
28,155,93.0,+1:42:21,,95.0,Durasek Kristijan,93,Lampre - Merida,1:42:21 1:42:21,+17:35,,,\u25b22,12,2016
33,93,94.0,+1:42:31,,97.0,Burghardt Marcus,94,BMC Racing Team,1:42:31 1:42:31,+16:21,,,\u25b23,12,2016
26,213,95.0,+1:43:31,,112.0,Delaplace Anthony,95,Fortuneo - Vital Concept,1:43:31 1:43:31,+7:08,,,\u25b217,12,2016
23,26,96.0,+1:44:09,,96.0,Lutsenko Alexey,96,Astana Pro Team,1:44:09 1:44:09,+18:32,,,-,12,2016
25,203,97.0,+1:44:46,,98.0,Durbridge Luke,97,ORICA-BikeExchange,1:44:46 1:44:46,+18:32,,,\u25b21,12,2016
29,73,98.0,+1:44:53,,93.0,Coppel J\xe9rome,98,IAM Cycling,1:44:53 1:44:53,+20:20,,,\u25bc5,12,2016
29,97,99.0,+1:45:22,,102.0,Schar Michael,99,BMC Racing Team,1:45:22 1:45:22,+16:21,,,\u25b23,12,2016
27,54,100.0,+1:46:35,,142.0,Lindeman Bert-Jan,100,Team LottoNL-Jumbo,1:46:35 1:46:35,+-3:47,,,\u25b242,12,2016
31,219,101.0,+1:46:51,,113.0,Vachon Florian,101,Fortuneo - Vital Concept,1:46:51 1:46:51,+9:28,,,\u25b212,12,2016
35,166,102.0,+1:46:56,,114.0,Hansen Adam,102,Lotto Soudal,1:46:56 1:46:56,+9:28,,,\u25b212,12,2016
27,57,103.0,+1:47:38,,146.0,Vanmarcke Sep,103,Team LottoNL-Jumbo,1:47:38 1:47:38,+-2:21,,,\u25b243,12,2016
22,158,104.0,+1:47:47,,99.0,Pibernik Luka,104,Lampre - Merida,1:47:47 1:47:47,+20:20,,,\u25bc5,12,2016
36,201,105.0,+1:48:05,,94.0,Gerrans Simon,105,ORICA-BikeExchange,1:48:05 1:48:05,+23:19,,,\u25bc11,12,2016
30,139,106.0,+1:48:27,,105.0,Voss Paul,106,Bora - Argon 18,1:48:27 1:48:27,+17:35,,,\u25bc1,12,2016
37,179,107.0,+1:48:30,,100.0,Voeckler Thomas,107,Direct Energie,1:48:30 1:48:30,+20:20,,,\u25bc7,12,2016
31,133,108.0,+1:49:35,,103.0,B\xe1rta Jan,108,Bora - Argon 18,1:49:35 1:49:35,+20:20,,,\u25bc5,12,2016
29,217,109.0,+1:50:45,,109.0,Perichon Pierre-Luc,109,Fortuneo - Vital Concept,1:50:45 1:50:45,+16:21,,,-,12,2016
24,171,110.0,+1:50:49,,107.0,Coquard Bryan,110,Direct Energie,1:50:49 1:50:49,+18:32,,,\u25bc3,12,2016
28,194,111.0,+1:51:30,,101.0,Edet Nicolas,111,"Cofidis, Solutions Cr\xe9dits",1:51:30 1:51:30,+23:19,,,\u25bc10,12,2016
29,103,112.0,+1:52:49,,104.0,Boasson Hagen Edvald,112,Team Dimension Data,1:52:49 1:52:49,+23:19,,,\u25bc8,12,2016
24,173,113.0,+1:54:06,,116.0,Duchesne Antoine,113,Direct Energie,1:54:06 1:54:06,+16:21,,,\u25b23,12,2016
25,102,114.0,+1:54:25,,106.0,Berhane Natnael,114,Team Dimension Data,1:54:25 1:54:25,+23:19,,,\u25bc8,12,2016
32,55,115.0,+1:55:09,,110.0,Martens Paul,115,Team LottoNL-Jumbo,1:55:09 1:55:09,+20:20,,,\u25bc5,12,2016
27,106,116.0,+1:55:15,,115.0,Janse van Rensburg Reinardt,116,Team Dimension Data,1:55:15 1:55:15,+17:35,,,\u25bc1,12,2016
24,67,117.0,+1:55:35,,119.0,Stuyven Jasper,117,Trek - Segafredo,1:55:35 1:55:35,+16:21,,,\u25b22,12,2016
24,89,118.0,+1:55:51,,121.0,van Baarle Dylan,118,Cannondale-Drapac Pro Cycling Team,1:55:51 1:55:51,+16:21,,,\u25b23,12,2016
28,84,119.0,+1:55:59,,108.0,Howes Alex,119,Cannondale-Drapac Pro Cycling Team,1:55:59 1:55:59,+23:19,,,\u25bc11,12,2016
