Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,,141,65.0,+7:33,,Turgot S\xe9bastien,114,AG2R La Mondiale,",, 7:07",,2,2014
29,,55,63.0,+7:33,,Ladagnous Matthieu,115,FDJ.fr,",, 7:07",,2,2014
29,,164,146.0,+24:20,,Ile\u0161i\u010d Aldo Ino,116,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
27,,144,123.0,+17:45,,Gaudin Damien,117,AG2R La Mondiale,",, 7:07",,2,2014
23,,136,77.0,+9:31,,Schwarzmann Michael,118,Team NetApp \u2013 Endura,",, 7:07",,2,2014
33,,16,117.0,+17:45,,Roulston Hayden,119,Trek Factory Racing,",, 7:07",,2,2014
23,,131,54.0,+7:32,,Bennett Sam,120,Team NetApp \u2013 Endura,",, 7:07",,2,2014
32,,11,66.0,+7:33,,Cancellara Fabian,121,Trek Factory Racing,",, 7:07",,2,2014
23,,56,67.0,+7:33,,Le Bon Johan,122,FDJ.fr,",, 7:07",,2,2014
33,,73,118.0,+17:45,,Bozic Borut,123,Astana Pro Team,",, 7:07",,2,2014
24,,42,125.0,+17:45,,Bol Jetse,124,Belkin-Pro Cycling Team,",, 7:07",,2,2014
33,,148,147.0,+24:20,,Riblon Christophe,125,AG2R La Mondiale,",, 7:07",,2,2014
29,,93,69.0,+7:33,,Gatto Oscar,126,Cannondale,",, 7:07",,2,2014
34,,54,119.0,+17:45,,Fischer Murilo Antonio,127,FDJ.fr,",, 7:07",,2,2014
24,,64,122.0,+17:45,,Puccio Salvatore,128,Team Sky,",, 7:07",,2,2014
29,,167,72.0,+8:13,,Murphy John,129,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
27,,92,132.0,+17:45,,De Marchi Alessandro,130,Cannondale,",, 7:07",,2,2014
24,,177,150.0,+24:20,,Locatelli Stefano,131,Bardiani - CSF Pro Team,",, 7:07",,2,2014
31,,163,126.0,+17:45,,Hanson Ken,132,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
34,,77,79.0,+9:48,,Muravyev Dmitriy,133,Astana Pro Team,",, 7:07",,2,2014
23,,137,75.0,+9:13,,Thwaites Scott,134,Team NetApp \u2013 Endura,",, 7:07",,2,2014
31,,78,62.0,+7:33,,Westra Lieuwe,135,Astana Pro Team,",, 7:07",,2,2014
29,,162,64.0,+7:33,,Bazzana Alessandro,136,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
24,,172,129.0,+17:45,,Boem Nicola,137,Bardiani - CSF Pro Team,",, 7:07",,2,2014
24,,171,131.0,+17:45,,Battaglin Enrico,138,Bardiani - CSF Pro Team,",, 7:07",,2,2014
34,,15,133.0,+17:45,,Rast Gregory,139,Trek Factory Racing,",, 7:07",,2,2014
22,,82,88.0,+11:37,,Haller Marco,140,Team Katusha,",, 7:07",,2,2014
29,,106,148.0,+24:20,,Ista Kevyn,141,IAM Cycling,",, 7:07",,2,2014
30,,187,151.0,+24:20,,Pujol Oscar,142,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
23,,146,130.0,+17:45,,Houle Hugo,143,AG2R La Mondiale,",, 7:07",,2,2014
23,,102,149.0,+24:20,,Aregger Marcel,144,IAM Cycling,",, 7:07",,2,2014
34,,116,71.0,+7:33,,Lancaster Brett,145,Orica GreenEDGE,",, 7:07",,2,2014
33,,117,68.0,+7:33,,Mouris Jens,146,Orica GreenEDGE,",, 7:07",,2,2014
36,,118,127.0,+17:45,,Tuft Svein,147,Orica GreenEDGE,",, 7:07",,2,2014
34,,63,76.0,+9:13,,Pate Danny,148,Team Sky,",, 7:07",,2,2014
25,,24,70.0,+7:33,,Dockx Gert,149,Lotto Belisol,",, 7:07",,2,2014
