Rider,year,stages_cycled
de Greef Francis,2013,20
de Groot Bram,2008,20
de Groot Bram,2009,20
de Jongh Steven,2000,22
de Jongh Steven,2002,21
de Jongh Steven,2005,14
de Kort Koen,2006,20
de Kort Koen,2013,20
de Maar Marc,2006,20
de la Cruz David,2015,20
de la Cruz David,2016,16
le Boulanger Yoann,2006,20
le Boulanger Yoann,2007,20
le Boulanger Yoann,2008,20
ten Dam Laurens,2009,20
ten Dam Laurens,2017,21
van Baarle Dylan,2014,14
van Bon L\xe9on,2007,4
van Dijk Stefan,2002,13
van Emden Jos,2009,20
van Emden Jos,2010,20
van Emden Jos,2011,19
van Emden Jos,2014,20
van Emden Jos,2016,21
van Emden Jos,2017,21
van Garderen Tejay,2017,21
van Goolen Jurgen,2007,20
van Goolen Jurgen,2009,20
van Heeswijk Max,1999,17
van Heeswijk Max,2007,12
van Hout Russell,2004,21
van Hout Russell,2005,21
van Poppel Boy,2014,20
van Poppel Boy,2015,20
van Poppel Boy,2016,8
van Steen Martin,2000,13
van Velzen Jan,2004,21
van Winden Dennis,2011,19
van de Walle Jurgen,2004,4
van de Walle Jurgen,2006,20
van de Walle Jurgen,2007,12
van de Wouwer Kurt,2002,21
van der Lijke Nick,2015,20
