Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,169,37.0,+ 73:59:18,,3.0,Zubeldia Haimar,5,Euskaltel - Euskadi,53:49 53:49,,\u25bc2,17,2002
24,26,38.0,+ 73:59:19,,7.0,Nozal Isidro,6,O.N.C.E. - Eroski,53:50 53:50,,\u25b21,17,2002
25,84,43.0,+ 74:02:06,,6.0,Gustov Volodymyr,7,Fassa Bortolo,56:37 56:37,,\u25bc1,17,2002
23,129,63.0,+ 74:36:18,,8.0,Trampusch Gerhard,8,Mapei - Quickstep,1:30:49 1:30:49,,-,17,2002
25,47,71.0,+ 74:49:02,,9.0,Millar David,9,Cofidis,1:43:33 1:43:33,,-,17,2002
23,92,84.0,+ 74:57:56,,11.0,Casar Sandy,10,La Fran\xe7aise des Jeux,1:52:27 1:52:27,,\u25b21,17,2002
22,117,86.0,+ 74:59:54,,10.0,Pineau J\xe9rome,11,Bonjour,1:54:25 1:54:25,,\u25bc1,17,2002
24,167,88.0,+ 75:03:13,,17.0,Mayo Iban,12,Euskaltel - Euskadi,1:57:44 1:57:44,,\u25b25,17,2002
25,105,91.0,+ 75:03:37,,15.0,Engels Addy,13,Rabobank ProTeam,1:58:08 1:58:08,,\u25b22,17,2002
25,125,94.0,+ 75:07:26,,14.0,Hunter Robert,14,Mapei - Quickstep,2:01:57 2:01:57,,-,17,2002
24,131,95.0,+ 75:07:50,,12.0,Menchov Denis,15,Ibanesto.com,2:02:21 2:02:21,,\u25bc3,17,2002
23,185,100.0,+ 75:16:41,,13.0,Flickinger Andy,16,AG2R Pr\xe9voyance,2:11:12 2:11:12,,\u25bc3,17,2002
22,206,101.0,+ 75:17:22,,16.0,Edaleine Christophe,17,Jean Delatour,2:11:53 2:11:53,,\u25bc1,17,2002
24,39,115.0,+ 75:27:10,,18.0,Zaballa Constantino,18,Kelme - Costa Blanca,2:21:41 2:21:41,,-,17,2002
24,64,122.0,+ 75:35:50,,23.0,Hushovd Thor,19,Cr\xe9dit Agricole,2:30:21 2:30:21,,\u25b24,17,2002
23,94,126.0,+ 75:43:06,,19.0,Cooke Baden,20,La Fran\xe7aise des Jeux,2:37:37 2:37:37,,\u25bc1,17,2002
23,153,132.0,+ 75:46:56,,20.0,Bertogliati Rubens,21,Lampre - Daikin,2:41:27 2:41:27,,\u25bc1,17,2002
24,154,139.0,+ 75:54:12,,21.0,Cortinovis Alessandro,22,Lampre - Daikin,2:48:43 2:48:43,,\u25bc1,17,2002
25,162,141.0,+ 75:55:40,,22.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,2:50:11 2:50:11,,\u25bc1,17,2002
24,81,11.0,+ 77:45:39,,1.0,Basso Ivan,1,Fassa Bortolo,77:45:39 77:45:39,,-,18,2002
24,91,21.0,+ 77:57:18,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,11:39 11:39,,-,18,2002
25,144,34.0,+ 78:32:12,,3.0,Brandt Christophe,3,Lotto - Adecco,46:33 46:33,,-,18,2002
23,114,36.0,+ 78:35:14,,4.0,Chavanel Sylvain,4,Bonjour,49:35 49:35,,-,18,2002
25,169,37.0,+ 78:39:28,,5.0,Zubeldia Haimar,5,Euskaltel - Euskadi,53:49 53:49,,-,18,2002
24,26,38.0,+ 78:39:29,,6.0,Nozal Isidro,6,O.N.C.E. - Eroski,53:50 53:50,,-,18,2002
25,84,43.0,+ 78:42:16,,7.0,Gustov Volodymyr,7,Fassa Bortolo,56:37 56:37,,-,18,2002
