Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,86,117,+14:22,34.0,Tolhoek Antwan,34,Team LottoNL-Jumbo,13:05 13:05,-,5,2017
25,161,119,+15:49,35.0,Coquard Bryan,35,Direct Energie,14:32 14:32,-,5,2017
22,132,127,+18:13,37.0,Bauhaus Phil,36,Team Sunweb,16:56 16:56,\u25b21,5,2017
23,117,133,+19:07,36.0,Le Gac Olivier,37,FDJ,17:50 17:50,\u25bc1,5,2017
23,192,136,+19:31,40.0,Ackermann Pascal,38,BORA - hansgrohe,18:14 18:14,\u25b22,5,2017
25,74,143,+20:38,38.0,Kozhatayev Bakhtiyar,39,Astana Pro Team,19:21 19:21,\u25bc1,5,2017
24,26,153,+23:17,41.0,Vakoc Petr,40,Quick-Step Floors,22:00 22:00,\u25b21,5,2017
23,85,156,+24:36,42.0,Jansen Amund Grondahl,41,Team LottoNL-Jumbo,23:19 23:19,\u25b21,5,2017
23,188,157,+26:47,45.0,Zurlo Federico,42,UAE Team Emirates,25:30 25:30,\u25b23,5,2017
23,83,159,+27:58,39.0,Bouwman Koen,43,Team LottoNL-Jumbo,26:41 26:41,\u25bc4,5,2017
24,147,160,+28:17,43.0,Nibali Antonio,44,Bahrain Merida Pro Cycling Team,27:00 27:00,\u25bc1,5,2017
20,105,161,+28:22,44.0,Shaw James,45,Lotto Soudal,27:05 27:05,\u25bc1,5,2017
24,193,8,+2:30,4.0,Buchmann Emanuel,1,BORA - hansgrohe,20:55:04 20:55:04,\u25b23,6,2017
23,16,11,+3:20,2.0,Latour Pierre,2,AG2R La Mondiale,0:50 0:50,-,6,2017
24,68,12,+3:26,3.0,Yates Simon,3,ORICA-Scott,0:56 0:56,-,6,2017
25,181,13,+3:31,7.0,Meintjes Louis,4,UAE Team Emirates,1:01 1:01,\u25b23,6,2017
23,103,15,+3:46,5.0,Benoot Tiesj,5,Lotto Soudal,1:16 1:16,-,6,2017
21,138,16,+4:18,1.0,Oomen Sam,6,Team Sunweb,1:48 1:48,\u25bc5,6,2017
24,201,19,+5:11,9.0,Martin Guillaume,7,Wanty - Groupe Gobert,2:41 2:41,\u25b22,6,2017
22,24,21,+5:34,8.0,Mas Enric,8,Quick-Step Floors,3:04 3:04,-,6,2017
23,152,26,+7:16,13.0,Bettiol Alberto,9,Cannondale-Drapac Pro Cycling Team,4:46 4:46,\u25b24,6,2017
23,63,36,+9:07,15.0,Haig Jack,10,ORICA-Scott,6:37 6:37,\u25b25,6,2017
23,127,51,+14:27,17.0,Politt Nils,11,Team Katusha - Alpecin,11:57 11:57,\u25b26,6,2017
24,53,52,+14:36,11.0,Carapaz Richard,12,Movistar Team,12:06 12:06,\u25bc1,6,2017
