Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
17,17,-,186,Pearson Daniel,24,Aqua Blue Sport,120,+1:32:34,1:31:41 1:31:41,2018,8
18,18,-,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,124,+1:36:40,1:35:47 1:35:47,2018,8
19,19,-,176,Troia Oliviero,23,UAE-Team Emirates,125,+1:37:09,1:36:16 1:36:16,2018,8
20,20,-,166,Halvorsen Kristoffer,22,Team Sky,131,+1:42:00,1:41:07 1:41:07,2018,8
1,1,-,126,Mas Enric,23,Quick-Step Floors,4,+1:20,29:29:25 29:29:25,2018,9
2,2,-,33,Oomen Sam,22,Team Sunweb,7,+1:52,0:32 0:32,2018,9
3,5,\u25b22,163,Sivakov Pavel,20,Team Sky,14,+3:47,2:27 2:27,2018,9
4,4,-,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,18,+4:32,3:12 3:12,2018,9
5,3,\u25bc2,103,Lambrecht Bjorg,21,Lotto Soudal,20,+5:31,4:11 4:11,2018,9
6,7,\u25b21,134,Kudus Merhawi,24,Team Dimension Data,27,+12:18,10:58 10:58,2018,9
7,6,\u25bc1,74,M\xfchlberger Gregor,24,BORA - hansgrohe,28,+12:33,11:13 11:13,2018,9
8,8,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,38,+21:26,20:06 20:06,2018,9
9,9,-,44,Peters Nans,24,AG2R La Mondiale,45,+27:35,26:15 26:15,2018,9
10,10,-,7,Cras Steff,22,Team Katusha - Alpecin,47,+30:01,28:41 28:41,2018,9
11,12,\u25b21,35,Andersen S\xf8ren Kragh,23,Team Sunweb,59,+44:49,43:29 43:29,2018,9
12,11,\u25bc1,183,Dunbar Edward,21,Aqua Blue Sport,61,+46:20,45:00 45:00,2018,9
13,13,-,194,Ourselin Paul,24,Direct Energie,87,+1:10:51,1:09:31 1:09:31,2018,9
14,15,\u25b21,193,Grellier Fabien,23,Direct Energie,98,+1:17:40,1:16:20 1:16:20,2018,9
15,16,\u25b21,192,Boudat Thomas,24,Direct Energie,113,+1:29:29,1:28:09 1:28:09,2018,9
16,17,\u25b21,186,Pearson Daniel,24,Aqua Blue Sport,120,+1:39:46,1:38:26 1:38:26,2018,9
17,19,\u25b22,176,Troia Oliviero,23,UAE-Team Emirates,121,+1:40:04,1:38:44 1:38:44,2018,9
18,18,-,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,122,+1:40:34,1:39:14 1:39:14,2018,9
19,20,\u25b21,166,Halvorsen Kristoffer,22,Team Sky,128,+1:44:55,1:43:35 1:43:35,2018,9
