Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
28,52,,,18.0,28.0,Arashiro Yukiya,30,Team Europcar,,6,2013,▼2
20,68,,,17.0,30.0,Lutsenko Alexey,31,Astana Pro Team,,6,2013,▼1
25,58,,,17.0,31.0,Veilleux David,32,Team Europcar,,6,2013,▼1
30,209,,,17.0,32.0,Westra Lieuwe,33,Vacansoleil - DCM,,6,2013,▼1
30,34,,,17.0,29.0,Gilbert Philippe,34,BMC Racing Team,,6,2013,▼5
28,27,,,16.0,34.0,Roelandts Jürgen,35,Lotto Belisol Team,,6,2013,▼1
25,177,,,16.0,33.0,Navardauskas Ramūnas,36,Garmin Sharp,,6,2013,▼3
26,87,,,15.0,37.0,Kadri Blel,37,AG2R La Mondiale,,6,2013,-
25,54,,,15.0,35.0,Gautier Cyril,38,Team Europcar,,6,2013,▼3
23,212,,,15.0,36.0,Delaplace Anthony,39,Sojasun,,6,2013,▼3
26,184,,,15.0,40.0,Goss Matthew,40,Orica GreenEDGE,,6,2013,-
24,53,,,13.0,41.0,Cousin Jérôme,41,Team Europcar,,6,2013,-
31,118,,,13.0,39.0,Pérez Rubén,42,Euskaltel - Euskadi,,6,2013,▼3
25,219,,,13.0,38.0,Vuillermoz Alexis,43,Sojasun,,6,2013,▼5
26,183,,,11.0,43.0,Clarke Simon,44,Orica GreenEDGE,,6,2013,▼1
25,119,,,11.0,44.0,Sicard Romain,45,Euskaltel - Euskadi,,6,2013,▼1
25,57,,,10.0,47.0,Reza Kévin,46,Team Europcar,,6,2013,▲1
34,152,,,10.0,59.0,Chavanel Sylvain,47,Omega Pharma - Quick-Step,,6,2013,▲12
32,92,,,9.0,48.0,Bennati Daniele,48,Team Saxo - Tinkoff,,6,2013,-
24,144,,,8.0,49.0,Favilli Elia,49,Lampre - Merida,,6,2013,-
24,168,,,8.0,52.0,Vanmarcke Sep,50,Belkin-Pro Cycling Team,,6,2013,▲2
24,191,,,8.0,50.0,Degenkolb John,51,Team Argos - Shimano,,6,2013,▼1
28,199,,,8.0,54.0,Veelers Tom,52,Team Argos - Shimano,,6,2013,▲2
25,113,,,7.0,55.0,Izagirre Gorka,53,Euskaltel - Euskadi,,6,2013,▲2
28,159,,,5.0,,Velits Peter,54,Omega Pharma - Quick-Step,,6,2013,-
32,206,,,5.0,45.0,Lagutin Sergey,55,Vacansoleil - DCM,,6,2013,▼10
22,82,,,5.0,56.0,Bardet Romain,56,AG2R La Mondiale,,6,2013,-
36,31,,,4.0,58.0,Evans Cadel,57,BMC Racing Team,,6,2013,▲1
29,97,,,4.0,57.0,Roche Nicolas,58,Team Saxo - Tinkoff,,6,2013,▼1
29,32,,,4.0,,Bookwalter Brent,59,BMC Racing Team,,6,2013,-
36,189,,,3.0,,Tuft Svein,60,Orica GreenEDGE,,6,2013,-
34,166,,,3.0,60.0,Tankink Bram,61,Belkin-Pro Cycling Team,,6,2013,▼1
32,89,,,2.0,61.0,Riblon Christophe,62,AG2R La Mondiale,,6,2013,▼1
30,33,,,2.0,,Burghardt Marcus,63,BMC Racing Team,,6,2013,-
28,214,,,1.0,62.0,Hivert Jonathan,64,Sojasun,,6,2013,▼2
31,28,,,1.0,64.0,Sieberg Marcel,65,Lotto Belisol Team,,6,2013,▼1
33,186,,,1.0,,Lancaster Brett,66,Orica GreenEDGE,,6,2013,-
28,12,,,1.0,63.0,Bodnar Maciej,67,Cannondale Pro Cycling Team,,6,2013,▼4
23,11,,,224.0,1.0,Sagan Peter,1,Cannondale Pro Cycling Team,,7,2013,-
30,24,,,130.0,2.0,Greipel André,2,Lotto Belisol Team,,7,2013,-
28,151,,,119.0,3.0,Cavendish Mark,3,Omega Pharma - Quick-Step,,7,2013,-
26,103,,,111.0,4.0,Kristoff Alexander,4,Team Katusha,,7,2013,-
