Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
28.0,96.0,17.0,35,Jaksche Jörg,17,Liberty Seguros - Würth Team,11,2005,▲18
28.0,197.0,17.0,13,Landaluze Iñigo,18,Euskaltel - Euskadi,11,2005,▼5
37.0,143.0,16.0,14,Brochard Laurent,19,Bouygues Telecom,11,2005,▼5
27.0,21.0,16.0,15,Basso Ivan,20,CSC ProTeam,11,2005,▼5
25.0,7.0,16.0,,Popovych Yaroslav,21,Discovery Channel,11,2005,-
31.0,164.0,,16*,Leipheimer Levi,22*,Gerolsteiner,11,2005,-
27.0,198.0,14.0,,Martínez Egoi,23,Euskaltel - Euskadi,11,2005,-
34.0,3.0,14.0,,Beltrán Manuel,24,Discovery Channel,11,2005,-
32.0,8.0,14.0,,Rubiera José Luis,25,Discovery Channel,11,2005,-
24.0,56.0,13.0,17,Posthuma Joost,26,Rabobank ProTeam,11,2005,▼9
28.0,39.0,13.0,18,Zandio Xabier,27,Illes Balears - Caisse d'Epargne,11,2005,▼9
31.0,11.0,12.0,19,Ullrich Jan,28,T-Mobile Team,11,2005,▼9
31.0,151.0,12.0,20,Mazzoleni Eddy,29,Lampre-Caffita,11,2005,▼9
26.0,207.0,11.0,21,Krivtsov Yuriy,30,AG2R Prévoyance,11,2005,▼9
32.0,4.0,,34*,Hincapie George,31*,Discovery Channel,11,2005,-
25.0,167.0,10.0,22,Wegmann Fabian,32,Gerolsteiner,11,2005,▼10
33.0,23.0,10.0,24,Julich Bobby,33,CSC ProTeam,11,2005,▼9
25.0,108.0,10.0,25,Kashechkin Andrey,34,Crédit Agricole,11,2005,▼9
21.0,97.0,9.0,26,Sánchez Luis León,35,Liberty Seguros - Würth Team,11,2005,▼9
30.0,122.0,8.0,27,Augé Stéphane,36,"Cofidis, le Crédit par Téléphone",11,2005,▼9
