Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,2.0,\u25b21,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,5:37:54 5:37:54,2014,2
2,1.0,\u25bc1,152,Durbridge Luke,23,Orica GreenEDGE,2.0,+0:03,0:03 0:03,2014,2
3,3.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,12.0,+0:08,0:08 0:08,2014,2
4,4.0,-,53,Eijssen Yannick,24,BMC Racing Team,18.0,+0:12,0:12 0:12,2014,2
5,7.0,\u25b22,205,Poljanski Pawel,24,Tinkoff - Saxo,22.0,+0:26,0:26 0:26,2014,2
6,8.0,\u25b22,203,Majka Rafa\u0142,24,Tinkoff - Saxo,25.0,+0:26,",, 0:26",2014,2
7,6.0,\u25bc1,208,McCarthy Jay,21,Tinkoff - Saxo,26.0,+0:26,",, 0:26",2014,2
8,5.0,\u25bc3,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,29.0,+0:26,",, 0:26",2014,2
9,10.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,34.0,+0:38,0:38 0:38,2014,2
10,9.0,\u25bc1,197,Puccio Salvatore,24,Team Sky,35.0,+0:38,",, 0:38",2014,2
11,11.0,-,3,Aru Fabio,23,Astana Pro Team,39.0,+0:41,0:41 0:41,2014,2
12,12.0,-,7,Landa Mikel,24,Astana Pro Team,44.0,+0:41,",, 0:41",2014,2
13,13.0,-,69,Viviani Elia,25,Cannondale,48.0,+0:53,0:53 0:53,2014,2
14,21.0,\u25b27,216,Nizzolo Giacomo,25,Trek Factory Racing,50.0,+0:56,0:56 0:56,2014,2
15,16.0,\u25b21,66,Moser Moreno,23,Cannondale,51.0,+0:56,",, 0:56",2014,2
16,15.0,\u25bc1,67,Ratto Daniele,24,Cannondale,54.0,+0:56,",, 0:56",2014,2
17,14.0,\u25bc3,63,Koch Michel,22,Cannondale,55.0,+0:56,",, 0:56",2014,2
18,20.0,\u25b22,12,Appollonio Davide,24,AG2R La Mondiale,56.0,+0:58,0:58 0:58,2014,2
19,17.0,\u25bc2,121,Quintana Nairo,24,Movistar Team,57.0,+0:58,",, 0:58",2014,2
20,19.0,\u25bc1,176,Preidler Georg,23,Team Giant - Shimano,62.0,+0:59,0:59 0:59,2014,2
21,18.0,\u25bc3,174,Ludvigsson Tobias,23,Team Giant - Shimano,64.0,+0:59,",, 0:59",2014,2
22,24.0,\u25b22,42,Bol Jetse,24,Belkin-Pro Cycling Team,67.0,+1:01,1:01 1:01,2014,2
23,23.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,68.0,+1:01,",, 1:01",2014,2
24,22.0,\u25bc2,214,Felline Fabio,24,Trek Factory Racing,77.0,+1:03,1:03 1:03,2014,2
25,27.0,\u25b22,138,Monsalve Yonathan,24,Neri Sottoli,83.0,+1:04,1:04 1:04,2014,2
26,25.0,\u25bc1,44,Goos Marc,23,Belkin-Pro Cycling Team,86.0,+1:04,",, 1:04",2014,2
27,29.0,\u25b22,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,87.0,+1:07,1:07 1:07,2014,2
28,34.0,\u25b26,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,88.0,+1:07,",, 1:07",2014,2
29,30.0,\u25b21,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,90.0,+1:10,1:10 1:10,2014,2
30,35.0,\u25b25,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,91.0,+1:10,",, 1:10",2014,2
31,33.0,\u25b22,33,Boem Nicola,24,Bardiani - CSF Pro Team,92.0,+1:10,",, 1:10",2014,2
32,31.0,\u25bc1,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,93.0,+1:10,",, 1:10",2014,2
33,32.0,\u25bc1,37,Barbin Enrico,24,Bardiani - CSF Pro Team,95.0,+1:10,",, 1:10",2014,2
34,38.0,\u25b24,81,Bouhanni Nacer,23,FDJ.fr,96.0,+1:12,1:12 1:12,2014,2
35,37.0,\u25b22,28,Rosa Diego,25,Androni Giocattoli - Venezuela,97.0,+1:17,1:17 1:17,2014,2
36,36.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,99.0,+1:17,",, 1:17",2014,2
37,39.0,\u25b22,86,Le Bon Johan,23,FDJ.fr,107.0,+1:21,1:21 1:21,2014,2
38,42.0,\u25b24,73,Avila Edwin,24,Team Colombia,110.0,+1:23,1:23 1:23,2014,2
39,40.0,\u25b21,109,Ulissi Diego,24,Lampre - Merida,113.0,+1:23,",, 1:23",2014,2
40,41.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,114.0,+1:23,",, 1:23",2014,2
41,44.0,\u25b23,117,Van der Sande Tosh,23,Lotto Belisol,121.0,+1:34,1:34 1:34,2014,2
42,43.0,\u25b21,118,Wellens Tim,23,Lotto Belisol,129.0,+1:37,1:37 1:37,2014,2
43,26.0,\u25bc17,136,Fedi Andrea,22,Neri Sottoli,131.0,+1:40,1:40 1:40,2014,2
44,45.0,\u25b21,68,Villella Davide,22,Cannondale,133.0,+1:45,1:45 1:45,2014,2
45,46.0,\u25b21,103,Cattaneo Mattia,23,Lampre - Merida,147.0,+2:16,2:16 2:16,2014,2
46,28.0,\u25bc18,132,Cecchinel Giorgio,24,Neri Sottoli,149.0,+2:20,2:20 2:20,2014,2
47,48.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,158.0,+3:14,3:14 3:14,2014,2
48,49.0,\u25b21,98,van Baarle Dylan,21,Garmin Sharp,165.0,+3:29,3:29 3:29,2014,2
49,50.0,\u25b21,212,Alafaci Eugenio,23,Trek Factory Racing,173.0,+4:09,4:09 4:09,2014,2
50,51.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,178.0,+4:26,4:26 4:26,2014,2
51,53.0,\u25b22,163,Tulik Angelo,23,Team Europcar,183.0,+4:48,4:48 4:48,2014,2
52,52.0,-,78,Romero Jeffry,24,Team Colombia,190.0,+5:35,5:35 5:35,2014,2
53,47.0,\u25bc6,153,Hepburn Michael,22,Orica GreenEDGE,192.0,+5:55,5:55 5:55,2014,2
54,54.0,-,96,Haas Nathan,25,Garmin Sharp,194.0,+6:00,6:00 6:00,2014,2
55,55.0,-,133,Carretero Ramon,23,Neri Sottoli,196.0,+9:44,9:44 9:44,2014,2
1,1.0,-,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,10:06:37 10:06:37,2014,3
2,2.0,-,152,Durbridge Luke,23,Orica GreenEDGE,4.0,+0:14,0:14 0:14,2014,3
3,3.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,12.0,+0:19,0:19 0:19,2014,3
4,4.0,-,53,Eijssen Yannick,24,BMC Racing Team,17.0,+0:23,0:23 0:23,2014,3
5,6.0,\u25b21,203,Majka Rafa\u0142,24,Tinkoff - Saxo,19.0,+0:26,0:26 0:26,2014,3
6,5.0,\u25bc1,205,Poljanski Pawel,24,Tinkoff - Saxo,25.0,+0:37,0:37 0:37,2014,3
7,7.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,28.0,+0:37,",, 0:37",2014,3
8,8.0,-,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,31.0,+0:37,",, 0:37",2014,3
9,13.0,\u25b24,69,Viviani Elia,25,Cannondale,35.0,+0:49,0:49 0:49,2014,3
10,9.0,\u25bc1,195,Henao Sebasti\xe1n,20,Team Sky,37.0,+0:49,",, 0:49",2014,3
11,10.0,\u25bc1,197,Puccio Salvatore,24,Team Sky,39.0,+0:49,",, 0:49",2014,3
12,11.0,\u25bc1,3,Aru Fabio,23,Astana Pro Team,41.0,+0:52,0:52 0:52,2014,3
13,12.0,\u25bc1,7,Landa Mikel,24,Astana Pro Team,44.0,+0:52,",, 0:52",2014,3
14,14.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,46.0,+0:56,0:56 0:56,2014,3
15,18.0,\u25b23,12,Appollonio Davide,24,AG2R La Mondiale,47.0,+0:58,0:58 0:58,2014,3
16,24.0,\u25b28,214,Felline Fabio,24,Trek Factory Racing,51.0,+1:03,1:03 1:03,2014,3
17,28.0,\u25b211,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,53.0,+1:07,1:07 1:07,2014,3
18,27.0,\u25b29,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,54.0,+1:07,",, 1:07",2014,3
19,17.0,\u25bc2,63,Koch Michel,22,Cannondale,56.0,+1:07,",, 1:07",2014,3
20,16.0,\u25bc4,67,Ratto Daniele,24,Cannondale,57.0,+1:07,",, 1:07",2014,3
21,15.0,\u25bc6,66,Moser Moreno,23,Cannondale,58.0,+1:07,",, 1:07",2014,3
22,19.0,\u25bc3,121,Quintana Nairo,24,Movistar Team,59.0,+1:09,1:09 1:09,2014,3
23,20.0,\u25bc3,176,Preidler Georg,23,Team Giant - Shimano,64.0,+1:10,1:10 1:10,2014,3
24,21.0,\u25bc3,174,Ludvigsson Tobias,23,Team Giant - Shimano,65.0,+1:10,",, 1:10",2014,3
25,34.0,\u25b29,81,Bouhanni Nacer,23,FDJ.fr,68.0,+1:12,1:12 1:12,2014,3
26,23.0,\u25bc3,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,69.0,+1:12,",, 1:12",2014,3
27,25.0,\u25bc2,138,Monsalve Yonathan,24,Neri Sottoli,81.0,+1:15,1:15 1:15,2014,3
28,30.0,\u25b22,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,86.0,+1:21,1:21 1:21,2014,3
29,31.0,\u25b22,33,Boem Nicola,24,Bardiani - CSF Pro Team,87.0,+1:21,",, 1:21",2014,3
30,29.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,88.0,+1:21,",, 1:21",2014,3
31,32.0,\u25b21,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,90.0,+1:21,",, 1:21",2014,3
32,33.0,\u25b21,37,Barbin Enrico,24,Bardiani - CSF Pro Team,91.0,+1:21,",, 1:21",2014,3
33,38.0,\u25b25,73,Avila Edwin,24,Team Colombia,92.0,+1:23,1:23 1:23,2014,3
34,36.0,\u25b22,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,94.0,+1:26,1:26 1:26,2014,3
35,35.0,-,28,Rosa Diego,25,Androni Giocattoli - Venezuela,95.0,+1:28,1:28 1:28,2014,3
36,37.0,\u25b21,86,Le Bon Johan,23,FDJ.fr,104.0,+1:32,1:32 1:32,2014,3
37,39.0,\u25b22,109,Ulissi Diego,24,Lampre - Merida,107.0,+1:34,1:34 1:34,2014,3
38,40.0,\u25b22,107,Polanc Jan,22,Lampre - Merida,108.0,+1:34,",, 1:34",2014,3
39,41.0,\u25b22,117,Van der Sande Tosh,23,Lotto Belisol,115.0,+1:45,1:45 1:45,2014,3
40,42.0,\u25b22,118,Wellens Tim,23,Lotto Belisol,121.0,+1:48,1:48 1:48,2014,3
41,43.0,\u25b22,136,Fedi Andrea,22,Neri Sottoli,126.0,+1:51,1:51 1:51,2014,3
42,44.0,\u25b22,68,Villella Davide,22,Cannondale,128.0,+1:56,1:56 1:56,2014,3
43,45.0,\u25b22,103,Cattaneo Mattia,23,Lampre - Merida,140.0,+2:27,2:27 2:27,2014,3
44,47.0,\u25b23,15,Domont Axel,23,AG2R La Mondiale,151.0,+3:25,3:25 3:25,2014,3
45,48.0,\u25b23,98,van Baarle Dylan,21,Garmin Sharp,158.0,+3:40,3:40 3:40,2014,3
46,49.0,\u25b23,212,Alafaci Eugenio,23,Trek Factory Racing,166.0,+4:20,4:20 4:20,2014,3
47,51.0,\u25b24,163,Tulik Angelo,23,Team Europcar,174.0,+4:59,4:59 4:59,2014,3
48,46.0,\u25bc2,132,Cecchinel Giorgio,24,Neri Sottoli,182.0,+5:42,5:42 5:42,2014,3
49,52.0,\u25b23,78,Romero Jeffry,24,Team Colombia,183.0,+5:46,5:46 5:46,2014,3
50,54.0,\u25b24,96,Haas Nathan,25,Garmin Sharp,186.0,+6:11,6:11 6:11,2014,3
51,50.0,\u25bc1,83,Courteille Arnaud,25,FDJ.fr,188.0,+7:48,7:48 7:48,2014,3
52,22.0,\u25bc30,42,Bol Jetse,24,Belkin-Pro Cycling Team,191.0,+10:39,10:39 10:39,2014,3
53,26.0,\u25bc27,44,Goos Marc,23,Belkin-Pro Cycling Team,192.0,+10:42,10:42 10:42,2014,3
54,53.0,\u25bc1,153,Hepburn Michael,22,Orica GreenEDGE,195.0,+19:34,19:34 19:34,2014,3
55,55.0,-,133,Carretero Ramon,23,Neri Sottoli,196.0,+23:23,23:23 23:23,2014,3
1,1.0,-,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,12:28:43 12:28:43,2014,4
2,2.0,-,152,Durbridge Luke,23,Orica GreenEDGE,6.0,+0:14,0:14 0:14,2014,4
3,3.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,10.0,+0:19,0:19 0:19,2014,4
4,4.0,-,53,Eijssen Yannick,24,BMC Racing Team,17.0,+0:23,0:23 0:23,2014,4
5,5.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,19.0,+0:26,0:26 0:26,2014,4
6,6.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,24.0,+0:37,0:37 0:37,2014,4
7,7.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,28.0,+0:37,",, 0:37",2014,4
8,8.0,-,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,30.0,+0:37,",, 0:37",2014,4
9,9.0,-,69,Viviani Elia,25,Cannondale,34.0,+0:49,0:49 0:49,2014,4
10,10.0,-,195,Henao Sebasti\xe1n,20,Team Sky,35.0,+0:49,",, 0:49",2014,4
11,11.0,-,197,Puccio Salvatore,24,Team Sky,37.0,+0:49,",, 0:49",2014,4
12,12.0,-,3,Aru Fabio,23,Astana Pro Team,40.0,+0:52,0:52 0:52,2014,4
13,13.0,-,7,Landa Mikel,24,Astana Pro Team,43.0,+0:52,",, 0:52",2014,4
14,14.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,45.0,+0:56,0:56 0:56,2014,4
15,15.0,-,12,Appollonio Davide,24,AG2R La Mondiale,46.0,+0:58,0:58 0:58,2014,4
16,16.0,-,214,Felline Fabio,24,Trek Factory Racing,49.0,+1:03,1:03 1:03,2014,4
17,18.0,\u25b21,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,52.0,+1:07,1:07 1:07,2014,4
18,17.0,\u25bc1,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,53.0,+1:07,",, 1:07",2014,4
19,19.0,-,63,Koch Michel,22,Cannondale,55.0,+1:07,",, 1:07",2014,4
20,21.0,\u25b21,66,Moser Moreno,23,Cannondale,56.0,+1:07,",, 1:07",2014,4
21,20.0,\u25bc1,67,Ratto Daniele,24,Cannondale,57.0,+1:07,",, 1:07",2014,4
22,22.0,-,121,Quintana Nairo,24,Movistar Team,58.0,+1:09,1:09 1:09,2014,4
23,23.0,-,176,Preidler Georg,23,Team Giant - Shimano,62.0,+1:10,1:10 1:10,2014,4
24,24.0,-,174,Ludvigsson Tobias,23,Team Giant - Shimano,63.0,+1:10,",, 1:10",2014,4
25,25.0,-,81,Bouhanni Nacer,23,FDJ.fr,66.0,+1:12,1:12 1:12,2014,4
26,26.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,68.0,+1:12,",, 1:12",2014,4
27,27.0,-,138,Monsalve Yonathan,24,Neri Sottoli,78.0,+1:15,1:15 1:15,2014,4
28,29.0,\u25b21,33,Boem Nicola,24,Bardiani - CSF Pro Team,82.0,+1:21,1:21 1:21,2014,4
29,28.0,\u25bc1,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,85.0,+1:21,",, 1:21",2014,4
30,30.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,86.0,+1:21,",, 1:21",2014,4
31,31.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,87.0,+1:21,",, 1:21",2014,4
32,32.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,88.0,+1:21,",, 1:21",2014,4
33,33.0,-,73,Avila Edwin,24,Team Colombia,90.0,+1:23,1:23 1:23,2014,4
34,34.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,91.0,+1:26,1:26 1:26,2014,4
35,35.0,-,28,Rosa Diego,25,Androni Giocattoli - Venezuela,92.0,+1:28,1:28 1:28,2014,4
36,36.0,-,86,Le Bon Johan,23,FDJ.fr,99.0,+1:32,1:32 1:32,2014,4
37,37.0,-,109,Ulissi Diego,24,Lampre - Merida,103.0,+1:34,1:34 1:34,2014,4
38,39.0,\u25b21,117,Van der Sande Tosh,23,Lotto Belisol,112.0,+1:45,1:45 1:45,2014,4
39,40.0,\u25b21,118,Wellens Tim,23,Lotto Belisol,119.0,+1:48,1:48 1:48,2014,4
40,41.0,\u25b21,136,Fedi Andrea,22,Neri Sottoli,123.0,+1:51,1:51 1:51,2014,4
41,42.0,\u25b21,68,Villella Davide,22,Cannondale,125.0,+1:56,1:56 1:56,2014,4
42,38.0,\u25bc4,107,Polanc Jan,22,Lampre - Merida,135.0,+2:05,2:05 2:05,2014,4
43,43.0,-,103,Cattaneo Mattia,23,Lampre - Merida,139.0,+2:27,2:27 2:27,2014,4
44,44.0,-,15,Domont Axel,23,AG2R La Mondiale,150.0,+3:25,3:25 3:25,2014,4
45,45.0,-,98,van Baarle Dylan,21,Garmin Sharp,155.0,+3:40,3:40 3:40,2014,4
46,46.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,165.0,+4:20,4:20 4:20,2014,4
47,47.0,-,163,Tulik Angelo,23,Team Europcar,173.0,+4:59,4:59 4:59,2014,4
48,48.0,-,132,Cecchinel Giorgio,24,Neri Sottoli,181.0,+5:42,5:42 5:42,2014,4
49,49.0,-,78,Romero Jeffry,24,Team Colombia,182.0,+5:46,5:46 5:46,2014,4
50,50.0,-,96,Haas Nathan,25,Garmin Sharp,185.0,+6:11,6:11 6:11,2014,4
51,51.0,-,83,Courteille Arnaud,25,FDJ.fr,187.0,+7:48,7:48 7:48,2014,4
52,52.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,190.0,+10:39,10:39 10:39,2014,4
53,53.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,191.0,+10:42,10:42 10:42,2014,4
54,54.0,-,153,Hepburn Michael,22,Orica GreenEDGE,194.0,+19:34,19:34 19:34,2014,4
55,55.0,-,133,Carretero Ramon,23,Neri Sottoli,195.0,+24:16,24:16 24:16,2014,4
1,1.0,-,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,17:41:23 17:41:23,2014,5
2,5.0,\u25b23,203,Majka Rafa\u0142,24,Tinkoff - Saxo,5.0,+0:26,0:26 0:26,2014,5
3,12.0,\u25b29,3,Aru Fabio,23,Astana Pro Team,10.0,+0:52,0:52 0:52,2014,5
4,22.0,\u25b218,121,Quintana Nairo,24,Movistar Team,14.0,+1:09,1:09 1:09,2014,5
5,23.0,\u25b218,176,Preidler Georg,23,Team Giant - Shimano,15.0,+1:10,1:10 1:10,2014,5
6,26.0,\u25b220,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,17.0,+1:12,1:12 1:12,2014,5
7,37.0,\u25b230,109,Ulissi Diego,24,Lampre - Merida,22.0,+1:23,1:23 1:23,2014,5
8,24.0,\u25b216,174,Ludvigsson Tobias,23,Team Giant - Shimano,28.0,+1:32,1:32 1:32,2014,5
9,6.0,\u25bc3,205,Poljanski Pawel,24,Tinkoff - Saxo,29.0,+1:32,",, 1:32",2014,5
10,10.0,-,195,Henao Sebasti\xe1n,20,Team Sky,38.0,+1:39,1:39 1:39,2014,5
11,17.0,\u25b26,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,39.0,+1:46,1:46 1:46,2014,5
12,39.0,\u25b227,118,Wellens Tim,23,Lotto Belisol,41.0,+1:48,1:48 1:48,2014,5
