Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
10,11.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,45.0,+23:15,22:05 22:05,2014,9
11,14.0,\u25b23,195,Henao Sebasti\xe1n,20,Team Sky,51.0,+27:38,26:28 26:28,2014,9
12,6.0,\u25bc6,28,Rosa Diego,25,Androni Giocattoli - Venezuela,52.0,+29:27,28:17 28:17,2014,9
13,13.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,59.0,+33:08,31:58 31:58,2014,9
14,15.0,\u25b21,44,Goos Marc,23,Belkin-Pro Cycling Team,61.0,+34:59,33:49 33:49,2014,9
15,17.0,\u25b22,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,66.0,+38:41,37:31 37:31,2014,9
16,18.0,\u25b22,86,Le Bon Johan,23,FDJ.fr,67.0,+39:12,38:02 38:02,2014,9
17,10.0,\u25bc7,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,69.0,+40:39,39:29 39:29,2014,9
18,25.0,\u25b27,138,Monsalve Yonathan,24,Neri Sottoli,70.0,+41:05,39:55 39:55,2014,9
19,24.0,\u25b25,197,Puccio Salvatore,24,Team Sky,71.0,+41:33,40:23 40:23,2014,9
20,21.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,76.0,+44:47,43:37 43:37,2014,9
21,19.0,\u25bc2,103,Cattaneo Mattia,23,Lampre - Merida,80.0,+47:26,46:16 46:16,2014,9
22,16.0,\u25bc6,118,Wellens Tim,23,Lotto Belisol,86.0,+50:59,49:49 49:49,2014,9
23,27.0,\u25b24,149,Vermote Julien,24,Omega Pharma - Quick-Step,87.0,+51:40,50:30 50:30,2014,9
24,23.0,\u25bc1,98,van Baarle Dylan,21,Garmin Sharp,88.0,+52:55,51:45 51:45,2014,9
25,20.0,\u25bc5,155,Matthews Michael,23,Orica GreenEDGE,93.0,+55:52,54:42 54:42,2014,9
