Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
22.0,118,+10:45,,,Rodriguez Michael,118,Colombia - Coldeportes,10:45 10:45,+10:45,,,1,2012
23.0,119,+11:58,,,Tvetcov Serghei,119,Team Exergy,11:58 11:58,+11:58,,,1,2012
26.0,120,+11:58,,,Marentes Wilson Alexander,120,Colombia - Coldeportes,",, 11:58",+11:58,,,1,2012
21.0,121,+11:58,,,Rathe Jacob,121,Team Garmin - Barracuda,",, 11:58",+11:58,,,1,2012
26.0,122,+11:58,,,Quintero Carlos,122,Colombia - Coldeportes,",, 11:58",+11:58,,,1,2012
38.0,123,+11:58,,,McCartney Jason,123,UnitedHealthcare Presented by Maxxis,",, 11:58",+11:58,,,1,2012
29.0,124,+11:58,,,Alzate Carlos Eduardo,124,Team Exergy,",, 11:58",+11:58,,,1,2012
29.0,125,+11:58,,,Friedman Michael,125,Optum p/b Kelly Benefit Strategies,",, 11:58",+11:58,,,1,2012
23.0,126,+11:58,,,Young Eric,126,Bissell Pro Cycling,",, 11:58",+11:58,,,1,2012
22.0,127,+11:58,,,Meyer Travis,127,Orica GreenEDGE,",, 11:58",+11:58,,,1,2012
23.0,128,+16:33,,,Dahlheim Andrew,128,Bissell Pro Cycling,16:33 16:33,+16:33,,,1,2012
22.0,1,+0:00,,1.0,Sagan Peter,1,Liquigas - Cannondale,9:44:15 9:44:15,+0:00,10.0,-,2,2012
28.0,2,+0:08,,2.0,Haussler Heinrich,2,Team Garmin - Barracuda,0:08 0:08,+0:04,,-,2,2012
22.0,3,+0:13,,7.0,Howard Leigh,3,Orica GreenEDGE,0:13 0:13,+0:03,,\u25b24,2,2012
34.0,4,+0:14,,3.0,Louder Jeff,4,UnitedHealthcare Presented by Maxxis,0:14 0:14,+0:10,,\u25bc1,2,2012
38.0,5,+0:16,,4.0,Rodriguez Fred,5,Team Exergy,0:16 0:16,+0:10,,\u25bc1,2,2012
33.0,6,+0:16,,5.0,Jacques-Maynes Benjamin,6,Bissell Pro Cycling,",, 0:16",+0:10,,\u25bc1,2,2012
28.0,7,+0:17,,25.0,de Maar Marc,7,UnitedHealthcare Presented by Maxxis,0:17 0:17,+0:07,,\u25b218,2,2012
32.0,8,+0:19,,56.0,Irizar Markel,8,RadioShack - Nissan,0:19 0:19,+0:09,,\u25b248,2,2012
19.0,9,+0:19,,6.0,Atkins Joshua,9,Bontrager Livestrong Team,",, 0:19",+0:10,,\u25bc3,2,2012
26.0,10,+0:20,,8.0,Van Avermaet Greg,10,BMC Racing Team,0:20 0:20,+0:10,,\u25bc2,2,2012
