Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
26,,,+0:00,,Eltink Theo,114,Rabobank ProTeam,",, 9:52",1,2008
22,,,+0:00,,Delage Micka\xebl,115,Fran\xe7aise des Jeux,",, 9:52",1,2008
25,,,+0:00,,Musiol Daniel,116,Team Volksbank,",, 9:52",1,2008
28,,,+0:00,,Duclos-Lassalle Herv\xe9,117,Cofidis,",, 9:52",1,2008
22,,,+0:00,,Jacobs Pieter,118,Silence - Lotto,",, 9:52",1,2008
27,,,+0:00,,Napolitano Danilo,119,Lampre,",, 9:52",1,2008
23,,,+0:00,,Sonnery Blaise,120,AG2R La Mondiale,",, 9:52",1,2008
29,,,+0:00,,Galparsoro Dionisio,121,Euskaltel - Euskadi,",, 9:52",1,2008
29,,,+0:00,,Schreck Stephan,122,Gerolsteiner,",, 9:52",1,2008
33,,,+0:00,,Scarselli Leonardo,123,Quickstep - Innergetic,",, 9:52",1,2008
25,,,+0:00,,Corioni Claudio,124,Liquigas,",, 9:52",1,2008
30,,,+0:00,,Usov Alexandre,125,AG2R La Mondiale,",, 9:52",1,2008
23,,,+0:00,,Langeveld Sebastian,126,Rabobank ProTeam,",, 9:52",1,2008
28,,,+0:00,,Marzano Marco,127,Lampre,",, 9:52",1,2008
24,,,+0:00,,Santaromita Ivan,128,Liquigas,",, 9:52",1,2008
35,,,+0:00,,Morscher Harald,129,Team Volksbank,",, 9:52",1,2008
28,,,+0:00,,Calzati Sylvain,130,AG2R La Mondiale,",, 9:52",1,2008
21,,,+0:00,,Roux Anthony,131,Fran\xe7aise des Jeux,",, 9:52",1,2008
26,,,+0:00,,Fern\xe1ndez Koldo,132,Euskaltel - Euskadi,14:52 14:52,1,2008
34,,,+0:00,,de Jongh Steven,133,Quickstep - Innergetic,",, 14:52",1,2008
26,,,+0:00,,Garcia Jonathan,134,BMC Racing Team,",, 14:52",1,2008
25,,,+0:00,,Renshaw Mark,135,Cr\xe9dit Agricole,",, 14:52",1,2008
26,,,+0:00,,Reynes Vicente,136,Team Columbia,",, 14:52",1,2008
35,,,+0:00,,H\xf8j Frank,137,Cofidis,",, 14:52",1,2008
22,,,+0:00,,Gonzalez Baeza Hector,138,Scott - American Beef,",, 14:52",1,2008
24,,,+0:00,,Burghardt Marcus,139,Team Columbia,",, 14:52",1,2008
22,,,+0:00,,Alarc\xf3n Ra\xfal,140,Scott - American Beef,",, 14:52",1,2008
27,,,+0:00,,Blain Alexandre,141,Cofidis,",, 14:52",1,2008
21,,,+0:00,,Ciolek Gerald,142,Team Columbia,",, 14:52",1,2008
35,,,+0:00,,Korff Andre,143,Team Volksbank,",, 14:52",1,2008
26,,,+0:00,,Sieberg Marcel,144,Team Columbia,",, 14:52",1,2008
33,,,+0:00,,Arvesen Kurt-Asle,145,CSC ProTeam,",, 14:52",1,2008
34,,,+0:00,,Pollack Olaf,146,Team Volksbank,",, 14:52",1,2008
22,,,+0:00,,Lafuente Andoni,147,Euskaltel - Euskadi,",, 14:52",1,2008
21,,,+0:00,,Schmaeh Elias,148,Team Volksbank,",, 14:52",1,2008
38,,,+0:00,,Poitschke Enrico,149,Milram,",, 14:52",1,2008
30,,,+0:00,,F\xf6rster Robert,150,Gerolsteiner,",, 14:52",1,2008
35,,,+0:00,,McEwen Robbie,151,Silence - Lotto,",, 14:52",1,2008
23,,,+0:00,,Jur\u010do Matej,152,Milram,",, 14:52",1,2008
22,,,+0:00,,Intxausti Be\xf1at,153,Scott - American Beef,",, 14:52",1,2008
25,,,+0:00,,Belgy Julien,154,Bouygues Telecom,",, 14:52",1,2008
