Rider,year,stage_scores
Cimolai Davide,2017,0.0
Ciolek Gerald,2012,0.0
Cioni Dario,2008,15.0
Claeys Dimitri,2016,0.0
Claeys Dimitri,2017,0.0
Clain M\xe9d\xe9ric,2003,12.0
Clarke Simon,2012,0.0
Clarke Simon,2013,0.0
Clarke Simon,2017,23.0
Clarke Simon,2018,17.0
Clarke William,2013,0.0
Claude Mathieu,2006,0.0
Clement Stef,2007,55.0
Clement Stef,2008,20.0
Clement Stef,2009,69.0
Clement Stef,2013,50.0
Clement Stef,2015,0.0
Clement Stef,2016,26.0
Clement Stef,2017,32.0
Cobo Juan Jose,2008,36.0
Cobo Juan Jose,2010,0.0
Codol Massimo,2005,0.0
Colbrelli Sonny,2017,59.0
Colom Antonio,2007,45.0
Combaud Romain,2017,0.0
Contador Alberto,2005,19.0
Contador Alberto,2007,55.0
Contador Alberto,2009,102.0
Contador Alberto,2010,114.0
Contador Alberto,2013,81.0
Contador Alberto,2014,110.0
Contador Alberto,2016,92.0
Contador Alberto,2017,68.0
Conti Valerio,2014,23.0
Conti Valerio,2016,45.0
Conti Valerio,2018,34.0
Contreras Alberto,1998,25.0
Contreras Humberto,2000,0.0
Cooke Baden,2002,84.0
Cooke Baden,2003,26.0
Cooke Baden,2004,44.0
Cooke Baden,2010,0.0
Coppel J\xe9rome,2008,0.0
Coppel J\xe9rome,2009,21.0
Coppel J\xe9rome,2010,49.0
Coppel J\xe9rome,2011,70.0
Coppel J\xe9rome,2012,0.0
Coppel J\xe9rome,2013,0.0
Coppel J\xe9rome,2014,0.0
Coppel J\xe9rome,2016,0.0
Coquard Bryan,2017,60.0
Coquard Bryan,2018,6.0
Cordeel Sander,2013,0.0
Corioni Claudio,2006,0.0
Cornu Dominique,2007,0.0
Cort Nielsen Magnus,2015,0.0
Cortinovis Alessandro,2005,0.0
Costa Rui,2011,57.0
Costa Rui,2015,84.0
Courteille Arnaud,2015,7.0
Courteille Arnaud,2018,0.0
Cousin J\xe9r\xf4me,2014,0.0
Coutouly Cedric,2006,0.0
Coyot Arnaud,2008,0.0
Coyot Arnaud,2009,18.0
Cozza Steven,2009,0.0
Craddock Lawson,2015,8.0
Craddock Lawson,2018,10.0
Cretskens Wilfried,2001,0.0
Cretskens Wilfried,2002,0.0
Cretskens Wilfried,2003,0.0
Cretskens Wilfried,2006,0.0
Cueff Stiphane,1999,0.0
Cuesta \xcd\xf1igo,1998,0.0
Cuesta \xcd\xf1igo,2000,35.0
Cuesta \xcd\xf1igo,2007,0.0
Cuesta \xcd\xf1igo,2008,0.0
Cummings Stephen,2015,0.0
Cummings Stephen,2016,42.0
