Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
27,3,+1:11,160.0,3.0,Simoni Gilberto,3,,1:11 1:11,+0:00,-,9,1999
30,4,+1:16,140.0,4.0,Dufaux Laurent,4,Saeco - Cannondale,1:16 1:16,+0:00,-,9,1999
27,5,+1:45,120.0,5.0,Camenzind Oscar,5,Lampre - Daikin - Colnago,1:45 1:45,+0:00,-,9,1999
23,6,+3:57,110.0,6.0,Montgomery Sven,6,,3:57 3:57,+0:00,-,9,1999
25,7,+4:21,100.0,7.0,Sgambelluri Roberto,7,Cantina Tollo - Alexia Alluminio,4:21 4:21,+0:00,-,9,1999
29,8,+4:21,90.0,8.0,Guerini Giuseppe,8,Team Telekom,",, 4:21",+0:00,-,9,1999
29,9,+4:29,80.0,9.0,Zarrabeitia Mikel,9,O.N.C.E. - Deutsche Bank,4:29 4:29,+0:00,-,9,1999
30,10,+4:32,70.0,10.0,Tonkov Pavel,10,Mapei - Quickstep,4:32 4:32,+0:00,-,9,1999
28,11,+7:28,60.0,,Zberg Beat,11,Rabobank ProTeam,7:28 7:28,+2130:08,-,9,1999
28,12,+7:49,55.0,,Buschor Philipp,12,Post Swiss Team,7:49 7:49,+2130:29,-,9,1999
26,13,+9:01,50.0,,Celestino Mirko,13,Polti,9:01 9:01,+2131:41,-,9,1999
28,14,+9:24,45.0,,Gasperoni Cristian,14,Cantina Tollo - Alexia Alluminio,9:24 9:24,+2132:04,-,9,1999
29,15,+9:34,40.0,,Meier Armin,15,Saeco - Cannondale,9:34 9:34,+2132:14,-,9,1999
24,16,+9:44,36.0,,Atienza Daniel,16,Polti,9:44 9:44,+2132:24,-,9,1999
25,17,+10:03,32.0,,Piovaccari Giusvan,17,Cantina Tollo - Alexia Alluminio,10:03 10:03,+2132:43,-,9,1999
26,18,+10:09,28.0,,Nardello Daniele,18,Mapei - Quickstep,10:09 10:09,+2132:49,-,9,1999
33,19,+11:05,24.0,,Ekimov Viatcheslav,19,Amica Chips - Costa de Almeria,11:05 11:05,+2133:45,-,9,1999
27,20,+16:14,20.0,,Boogerd Michael,20,Rabobank ProTeam,16:14 16:14,+2138:54,-,9,1999
31,21,+19:33,18.0,,Puttini Felice,21,Amica Chips - Costa de Almeria,19:33 19:33,+2142:13,-,9,1999
25,22,+20:45,16.0,,Schnider Daniel,22,,20:45 20:45,+2143:25,-,9,1999
24,23,+20:55,14.0,,Commesso Salvatore,23,Saeco - Cannondale,20:55 20:55,+2143:35,-,9,1999
27,24,+23:47,12.0,,Tronca Amilcare,24,Amica Chips - Costa de Almeria,23:47 23:47,+2146:27,-,9,1999
