Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
42,117,86,+29:10,,109.0,Voigt Jens,86,Trek Factory Racing,29:10 29:10,+4:08,,\u25b223,5,2014
29,44,87,+29:36,,118.0,Impey Daryl,87,Orica GreenEDGE,29:36 29:36,+0:00,,\u25b231,5,2014
28,87,88,+30:32,,88.0,Roelandts Jurgen,88,Lotto Belisol,30:32 30:32,+10:28,,-,5,2014
27,67,89,+31:04,,113.0,Kadri Blel,89,AG2R La Mondiale,31:04 31:04,+4:08,,\u25b224,5,2014
35,54,90,+31:11,,91.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,90,Movistar Team,31:11 31:11,+10:28,,\u25b21,5,2014
34,41,91,+32:18,,94.0,Gerrans Simon,91,Orica GreenEDGE,32:18 32:18,+10:28,,\u25b23,5,2014
37,165,92,+32:46,,89.0,Millar David,92,Garmin Sharp,32:46 32:46,+12:37,,\u25bc3,5,2014
21,43,93,+32:58,,95.0,Howson Damien,93,Orica GreenEDGE,32:58 32:58,+10:28,,\u25b22,5,2014
26,62,94,+33:47,,100.0,Bonnafond Guillaume,94,AG2R La Mondiale,33:47 33:47,+10:28,,\u25b26,5,2014
33,25,95,+34:08,,103.0,Pires Bruno,95,Tinkoff - Saxo,34:08 34:08,+10:28,,\u25b28,5,2014
22,172,96,+34:15,,120.0,Arndt Nikias,96,Team Giant - Shimano,34:15 34:15,+4:08,,\u25b224,5,2014
27,18,97,+34:16,,121.0,Zeits Andrey,97,Astana Pro Team,34:16 34:16,+4:08,,\u25b224,5,2014
28,193,98,+35:59,,81.0,Boom Lars,98,Belkin-Pro Cycling Team,35:59 35:59,+18:35,,\u25bc17,5,2014
28,105,99,+36:40,,148.0,De Marchi Alessandro,99,Cannondale,36:40 36:40,+1:05,,\u25b249,5,2014
30,106,100,+37:29,,114.0,Marcato Marco,100,Cannondale,37:29 37:29,+10:28,,\u25b214,5,2014
28,14,101,+39:22,,112.0,Gruzdev Dmitriy,101,Astana Pro Team,39:22 39:22,+12:37,,\u25b211,5,2014
29,103,102,+40:00,,117.0,Bodnar Maciej,102,Cannondale,40:00 40:00,+10:28,,\u25b215,5,2014
22,198,103,+41:18,,129.0,van der Lijke Nick,103,Belkin-Pro Cycling Team,41:18 41:18,+10:28,,\u25b226,5,2014
32,181,104,+41:22,,130.0,Cunego Damiano,104,Lampre - Merida,41:22 41:22,+10:28,,\u25b226,5,2014
33,16,105,+41:28,,115.0,Vanotti Alessandro,105,Astana Pro Team,41:28 41:28,+12:37,,\u25b210,5,2014
26,206,106,+42:51,,97.0,Padour Franti\u0161ek,106,Team NetApp \u2013 Endura,42:51 42:51,+20:06,,\u25bc9,5,2014
26,203,107,+42:58,,140.0,Benedetti Cesare,107,Team NetApp \u2013 Endura,42:58 42:58,+10:28,,\u25b233,5,2014
29,174,108,+43:13,,124.0,Fr\xf6hlinger Johannes,108,Team Giant - Shimano,43:13 43:13,+12:37,,\u25b216,5,2014
26,77,109,+43:28,,86.0,R\xe9za K\xe9vin,109,Team Europcar,43:28 43:28,+24:20,,\u25bc23,5,2014
29,176,110,+43:33,,131.0,Hupond Thierry,110,Team Giant - Shimano,43:33 43:33,+12:37,,\u25b221,5,2014
32,28,111,+43:34,,101.0,Sutherland Rory,111,Tinkoff - Saxo,43:34 43:34,+20:06,,\u25bc10,5,2014
25,186,112,+43:52,,142.0,Favilli Elia,112,Lampre - Merida,43:52 43:52,+10:28,,\u25b230,5,2014
26,195,113,+43:59,,105.0,Keizer Martijn,113,Belkin-Pro Cycling Team,43:59 43:59,+20:06,,\u25bc8,5,2014
24,56,114,+45:55,,147.0,Sanz Enrique,114,Movistar Team,45:55 45:55,+10:28,,\u25b233,5,2014
32,98,115,+47:29,,98.0,Saramotins Aleksejs,115,IAM Cycling,47:29 47:29,+24:19,,\u25bc17,5,2014
30,107,116,+47:53,,102.0,Marino Jean-Marc,116,Cannondale,47:53 47:53,+24:20,,\u25bc14,5,2014
39,26,117,+48:07,,104.0,S\xf8rensen Nicki,117,Tinkoff - Saxo,48:07 48:07,+24:20,,\u25bc13,5,2014
27,157,118,+48:18,,106.0,Offredo Yoann,118,FDJ.fr,48:18 48:18,+24:20,,\u25bc12,5,2014
24,83,119,+48:30,,107.0,Broeckx Stig,119,Lotto Belisol,48:30 48:30,+24:20,,\u25bc12,5,2014
24,92,120,+50:17,,110.0,Br\xe4ndle Matthias,120,IAM Cycling,50:17 50:17,+24:20,,\u25bc10,5,2014
34,115,121,+50:44,,125.0,Popovych Yaroslav,121,Trek Factory Racing,50:44 50:44,+20:06,,\u25b24,5,2014
40,94,122,+50:47,,127.0,Hinault S\xe9bastien,122,IAM Cycling,50:47 50:47,+20:06,,\u25b25,5,2014
24,192,123,+50:47,,123.0,Bobridge Jack,123,Belkin-Pro Cycling Team,",, 50:47",+20:16,,-,5,2014
22,22,124,+52:03,,136.0,Valgren Michael,124,Tinkoff - Saxo,52:03 52:03,+20:06,,\u25b212,5,2014
26,76,125,+52:16,,84.0,Martinez Yannick,125,Team Europcar,52:16 52:16,+33:56,,\u25bc41,5,2014
34,88,126,+52:34,,139.0,Willems Frederik,126,Lotto Belisol,52:34 52:34,+20:06,,\u25b213,5,2014
26,167,127,+53:13,,116.0,Navardauskas Ramunas,127,Garmin Sharp,53:13 53:13,+24:20,,\u25bc11,5,2014
31,152,128,+54:11,,119.0,Bonnet William,128,FDJ.fr,54:11 54:11,+24:20,,\u25bc9,5,2014
25,177,129,+54:31,,122.0,Janse van Rensburg Reinardt,129,Team Giant - Shimano,54:31 54:31,+24:20,,\u25bc7,5,2014
23,138,130,+55:00,,126.0,Vorobyev Anton,130,Team Katusha,55:00 55:00,+24:20,,\u25bc4,5,2014
24,208,131,+55:31,,146.0,Thwaites Scott,131,Team NetApp \u2013 Endura,55:31 55:31,+20:06,,\u25b215,5,2014
22,155,132,+56:07,,133.0,D\xe9mare Arnaud,132,FDJ.fr,56:07 56:07,+24:20,,\u25b21,5,2014
28,154,133,+56:44,,138.0,Delage Micka\xebl,133,FDJ.fr,56:44 56:44,+24:20,,\u25b25,5,2014
32,187,134,+57:01,,141.0,Pozzato Filippo,134,Lampre - Merida,57:01 57:01,+24:20,,\u25b27,5,2014
24,183,135,+59:01,,144.0,Cimolai Davide,135,Lampre - Merida,59:01 59:01,+24:20,,\u25b29,5,2014
29,164,136,+59:14,,145.0,Langeveld Sebastian,136,Garmin Sharp,59:14 59:14,+24:20,,\u25b29,5,2014
