Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
23,61,11,+1:40,3.0,Bardet Romain,3,AG2R La Mondiale,1:28 1:28,,-,5,2014
25,97,12,+1:40,4.0,Reichenbach Sebastien,4,IAM Cycling,",, 1:28",,-,5,2014
22,151,29,+6:09,5.0,Elissonde Kenny,5,FDJ.fr,5:57 5:57,,-,5,2014
24,141,30,+6:45,6.0,Kwiatkowski Michal,6,Omega Pharma - Quick-Step,6:33 6:33,,-,5,2014
24,102,31,+6:45,7.0,Bennett George,7,Cannondale,",, 6:33",,-,5,2014
21,148,50,+12:20,9.0,Verona Carlos,8,Omega Pharma - Quick-Step,12:08 12:08,,\u25b21,5,2014
21,184,51,+13:52,8.0,Conti Valerio,9,Lampre - Merida,13:40 13:40,,\u25bc1,5,2014
24,27,68,+20:50,10.0,Beltran Edward,10,Tinkoff - Saxo,20:38 20:38,,-,5,2014
21,111,76,+24:47,11.0,Jungels Bob,11,Trek Factory Racing,24:35 24:35,,-,5,2014
25,171,81,+25:49,13.0,Damuseau Thomas,12,Team Giant - Shimano,25:37 25:37,,\u25b21,5,2014
22,142,83,+26:10,14.0,Alaphilippe Julian,13,Omega Pharma - Quick-Step,25:58 25:58,,\u25b21,5,2014
21,43,93,+32:58,15.0,Howson Damien,14,Orica GreenEDGE,32:46 32:46,,\u25b21,5,2014
22,172,96,+34:15,19.0,Arndt Nikias,15,Team Giant - Shimano,34:03 34:03,,\u25b24,5,2014
22,198,103,+41:18,23.0,van der Lijke Nick,16,Belkin-Pro Cycling Team,41:06 41:06,,\u25b27,5,2014
25,186,112,+43:52,28.0,Favilli Elia,17,Lampre - Merida,43:40 43:40,,\u25b211,5,2014
24,56,114,+45:55,31.0,Sanz Enrique,18,Movistar Team,45:43 45:43,,\u25b213,5,2014
24,83,119,+48:30,16.0,Broeckx Stig,19,Lotto Belisol,48:18 48:18,,\u25bc3,5,2014
24,92,120,+50:17,17.0,Br\xe4ndle Matthias,20,IAM Cycling,50:05 50:05,,\u25bc3,5,2014
24,192,123,+50:47,21.0,Bobridge Jack,21,Belkin-Pro Cycling Team,50:35 50:35,,-,5,2014
22,22,124,+52:03,27.0,Valgren Michael,22,Tinkoff - Saxo,51:51 51:51,,\u25b25,5,2014
25,177,129,+54:31,20.0,Janse van Rensburg Reinardt,23,Team Giant - Shimano,54:19 54:19,,\u25bc3,5,2014
