Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
33,19,6,40.0,Montaguti Matteo,47,AG2R La Mondiale,,\u25bc7,6,2017
27,111,5,,Quintana Nairo,48,Movistar Team,,-,6,2017
23,56,5,42.0,M\xfchlberger Gregor,49,BORA - hansgrohe,,\u25bc7,6,2017
29,146,5,43.0,Janse van Rensburg Jacques,50,Team Dimension Data,,\u25bc7,6,2017
25,68,4,45.0,Villella Davide,51,Cannondale-Drapac Pro Cycling Team,,\u25bc6,6,2017
32,2,4,46.0,Agnoli Valerio,52,Bahrain Merida Pro Cycling Team,,\u25bc6,6,2017
27,99,4,47.0,Tsatevich Alexey,53,Gazprom-RusVelo,,\u25bc6,6,2017
26,149,4,48.0,Van Zyl Johann,54,Team Dimension Data,,\u25bc6,6,2017
30,132,3,49.0,Capecchi Eros,55,Quick-Step Floors,,\u25bc6,6,2017
34,136,3,50.0,Keisse Iljo,56,Quick-Step Floors,,\u25bc6,6,2017
28,139,3,51.0,Serry Pieter,57,Quick-Step Floors,,\u25bc6,6,2017
32,51,3,52.0,B\xe1rta Jan,58,BORA - hansgrohe,,\u25bc6,6,2017
29,161,2,,Kruijswijk Steven,59,Team LottoNL-Jumbo,,-,6,2017
34,142,2,54.0,Anton Igor,60,Team Dimension Data,,\u25bc6,6,2017
30,76,2,55.0,Ponzi Simone,61,CCC Sprandi Polkowice,,\u25bc6,6,2017
30,104,2,56.0,De Clercq Bart,62,Lotto Soudal,,\u25bc6,6,2017
23,103,2,,de Buyst Jasper,63,Lotto Soudal,,-,6,2017
40,128,2,57.0,Tuft Svein,64,ORICA-Scott,,\u25bc7,6,2017
30,112,1,,Amador Andrey,65,Movistar Team,,-,6,2017
25,54,1,58.0,Konrad Patrick,66,BORA - hansgrohe,,\u25bc8,6,2017
35,49,1,,Ventoso Francisco,67,BMC Racing Team,,-,6,2017
37,101,1,59.0,Bak Lars Ytting,68,Lotto Soudal,,\u25bc9,6,2017
27,125,1,60.0,Juul-Jensen Christopher,69,ORICA-Scott,,\u25bc9,6,2017
22,135,191,1.0,Gaviria Fernando,1,Quick-Step Floors,,-,7,2017
25,199,160,2.0,Stuyven Jasper,2,Trek - Segafredo,,-,7,2017
34,100,129,3.0,Greipel Andr\xe9,3,Lotto Soudal,,-,7,2017
22,123,100,10.0,Ewan Caleb,4,ORICA-Scott,,\u25b26,7,2017
25,58,92,4.0,P\xf6stlberger Lukas,5,BORA - hansgrohe,,\u25bc1,7,2017
28,148,78,6.0,Teklehaimanot Daniel,6,Team Dimension Data,,-,7,2017
27,147,76,5.0,Sbaragli Kristian,7,Team Dimension Data,,\u25bc2,7,2017
26,43,68,7.0,Dillier Silvan,8,BMC Racing Team,,\u25bc1,7,2017
27,219,60,8.0,Zhupa Eugert,9,Wilier Triestina - Selle Italia,,\u25bc1,7,2017
26,53,57,18.0,Bennett Sam,10,BORA - hansgrohe,,\u25b28,7,2017
23,33,52,9.0,Andreetta Simone,11,Bardiani - CSF,,\u25bc2,7,2017
34,203,46,11.0,Ferrari Roberto,12,UAE Team Emirates,,\u25bc1,7,2017
28,59,43,15.0,Selig R\xfcdiger,13,BORA - hansgrohe,,\u25b22,7,2017
28,196,43,12.0,Nizzolo Giacomo,14,Trek - Segafredo,,\u25bc2,7,2017
22,145,42,19.0,Gibbons Ryan,15,Team Dimension Data,,\u25b24,7,2017
30,75,40,13.0,Paterski Maciej,16,CCC Sprandi Polkowice,,\u25bc3,7,2017
33,94,40,,Kozonchuk Dmitry,17,Gazprom-RusVelo,,-,7,2017
25,98,36,14.0,Shalunov Evgeny,18,Gazprom-RusVelo,,\u25bc4,7,2017
23,216,35,16.0,Mareczko Jakub,19,Wilier Triestina - Selle Italia,,\u25bc3,7,2017
35,92,34,17.0,Brutt Pavel,20,Gazprom-RusVelo,,\u25bc3,7,2017
27,162,31,25.0,Battaglin Enrico,21,Team LottoNL-Jumbo,,\u25b24,7,2017
34,138,28,24.0,Richeze Ariel Maximiliano,22,Quick-Step Floors,,\u25b22,7,2017
30,179,27,23.0,Thomas Geraint,23,Team Sky,,-,7,2017
22,182,25,20.0,Bauhaus Phil,24,Team Sunweb,,\u25bc4,7,2017
28,141,24,21.0,Haas Nathan,25,Team Dimension Data,,\u25bc4,7,2017
25,214,24,,Fonzi Giuseppe,26,Wilier Triestina - Selle Italia,,-,7,2017
24,131,23,22.0,Jungels Bob,27,Quick-Step Floors,,\u25bc5,7,2017
