Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
24,3,97.0,+14:36,,90.0,Kennaugh Peter,97,Sky Procycling,14:36 14:36,+5:18,,6,2013,▼7
41,48,98.0,+14:38,,112.0,Voigt Jens,98,RadioShack - Leopard,14:38 14:38,+0:05,,6,2013,▲14
22,194,99.0,+14:52,,114.0,Dumoulin Tom,99,Team Argos - Shimano,14:52 14:52,+0:05,,6,2013,▲15
22,17,100.0,+15:07,,93.0,Moser Moreno,100,Cannondale Pro Cycling Team,15:07 15:07,+5:18,,6,2013,▼7
26,107,101.0,+15:26,,115.0,Smukulis Gatis,101,Team Katusha,15:26 15:26,+0:05,,6,2013,▲14
33,37,102.0,+15:26,,113.0,Quinziato Manuel,102,BMC Racing Team,",, 15:26",+0:40,,6,2013,▲11
29,32,103.0,+15:27,,106.0,Bookwalter Brent,103,BMC Racing Team,15:27 15:27,+1:40,,6,2013,▲3
36,176,104.0,+15:43,,95.0,Millar David,104,Garmin Sharp,15:43 15:43,+5:18,,6,2013,▼9
37,179,105.0,+15:43,,96.0,Vande Velde Christian,105,Garmin Sharp,",, 15:43",+5:18,,6,2013,▼9
23,212,106.0,+16:14,,116.0,Delaplace Anthony,106,Sojasun,16:14 16:14,+0:05,,6,2013,▲10
31,105,107.0,+16:42,,100.0,Losada Alberto,107,Team Katusha,16:42 16:42,+5:18,,6,2013,▼7
29,142,108.0,+17:11,,117.0,Bono Matteo,108,Lampre - Merida,17:11 17:11,+1:02,,6,2013,▲9
28,214,109.0,+17:39,,97.0,Hivert Jonathan,109,Sojasun,17:39 17:39,+7:10,,6,2013,▼12
28,159,110.0,+17:40,,118.0,Velits Peter,110,Omega Pharma - Quick-Step,17:40 17:40,+0:05,,6,2013,▲8
28,154,111.0,+17:40,,119.0,Martin Tony,111,Omega Pharma - Quick-Step,",, 17:40",+0:05,,6,2013,▲8
26,183,112.0,+17:41,,120.0,Clarke Simon,112,Orica GreenEDGE,17:41 17:41,+0:05,,6,2013,▲8
24,144,113.0,+18:06,,99.0,Favilli Elia,113,Lampre - Merida,18:06 18:06,+7:10,,6,2013,▼14
