Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,49,63.0,+9:19,,11.0,Zardini Edoardo,11,Bardiani Valvole - CSF Inox,8:04 8:04,-,6,2013
24,88,65.0,+10:26,,12.0,Pantano Jarlinson,12,Team Colombia,9:11 9:11,-,6,2013
24,164,75.0,+14:39,,13.0,Keukeleire Jens,13,Orica GreenEDGE,13:24 13:24,-,6,2013
23,186,86.0,+21:13,,14.0,Puccio Salvatore,14,Sky Procycling,19:58 19:58,-,6,2013
25,213,88.0,+22:49,,16.0,Keizer Martijn,15,Vacansoleil - DCM,21:34 21:34,\u25b21,6,2013
24,176,91.0,+24:45,,17.0,Oliveira Nelson,16,RadioShack - Leopard,23:30 23:30,\u25b21,6,2013
24,78,94.0,+25:28,,18.0,Viviani Elia,17,Cannondale Pro Cycling Team,24:13 24:13,\u25b21,6,2013
23,158,98.0,+26:09,,20.0,Trentin Matteo,18,Omega Pharma - Quick-Step,24:54 24:54,\u25b22,6,2013
24,191,99.0,+26:14,,21.0,Degenkolb John,19,Team Argos - Shimano,24:59 24:59,\u25b22,6,2013
25,7,102.0,+26:23,,15.0,Navardauskas Ramunas,20,Garmin Sharp,25:08 25:08,\u25bc5,6,2013
22,46,103.0,+26:25,,22.0,Colbrelli Sonny,21,Bardiani Valvole - CSF Inox,25:10 25:10,\u25b21,6,2013
23,171,104.0,+26:30,,23.0,Bennett George,22,RadioShack - Leopard,25:15 25:15,\u25b21,6,2013
22,122,108.0,+27:25,,24.0,Cattaneo Mattia,23,Lampre - Merida,26:10 26:10,\u25b21,6,2013
24,192,112.0,+27:49,,25.0,Damuseau Thomas,24,Team Argos - Shimano,26:34 26:34,\u25b21,6,2013
23,43,113.0,+27:51,,19.0,Boem Nicola,25,Bardiani Valvole - CSF Inox,26:36 26:36,\u25bc6,6,2013
24,136,116.0,+28:42,,27.0,Dockx Gert,26,Lotto Belisol Team,27:27 27:27,\u25b21,6,2013
22,104,121.0,+30:52,,29.0,Le Bon Johan,27,FDJ.fr,29:37 29:37,\u25b22,6,2013
24,175,124.0,+31:54,,30.0,Nizzolo Giacomo,28,RadioShack - Leopard,30:39 30:39,\u25b22,6,2013
24,198,129.0,+32:24,,31.0,Mezgec Luka,29,Team Argos - Shimano,31:09 31:09,\u25b22,6,2013
24,45,137.0,+33:34,,26.0,Canola Marco,30,Bardiani Valvole - CSF Inox,32:19 32:19,\u25bc4,6,2013
22,214,139.0,+34:47,,28.0,Lammertink Maurits,31,Vacansoleil - DCM,33:32 33:32,\u25bc3,6,2013
23,159,145.0,+36:56,,33.0,Vermote Julien,32,Omega Pharma - Quick-Step,35:41 35:41,\u25b21,6,2013
22,162,154.0,+38:29,,34.0,Durbridge Luke,33,Orica GreenEDGE,37:14 37:14,\u25b21,6,2013
23,219,155.0,+38:29,,35.0,Wauters Willem,34,Vacansoleil - DCM,",, 37:14",\u25b21,6,2013
22,197,157.0,+39:16,,32.0,Ludvigsson Tobias,35,Team Argos - Shimano,38:01 38:01,\u25bc3,6,2013
24,143,160.0,+40:23,,36.0,Dowsett Alex,36,Movistar Team,39:08 39:08,-,6,2013
