Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
28.0,165.0,93.0,+1:01:28,,115.0,Gallopin Tony,93.0,Lotto Soudal,1:01:28 1:01:28,+26:04,,,8,2016,▲22
28.0,155.0,94.0,+1:01:37,,117.0,Đurasek Kristijan,94.0,Lampre - Merida,1:01:37 1:01:37,+26:04,,,8,2016,▲23
28.0,84.0,95.0,+1:01:42,,82.0,Howes Alex,95.0,Cannondale-Drapac Pro Cycling Team,1:01:42 1:01:42,+34:53,,,8,2016,▼13
29.0,97.0,96.0,+1:04:14,,132.0,Schär Michael,96.0,BMC Racing Team,1:04:14 1:04:14,+25:52,,,8,2016,▲36
22.0,158.0,97.0,+1:04:22,,89.0,Pibernik Luka,97.0,Lampre - Merida,1:04:22 1:04:22,+34:53,,,8,2016,▼8
30.0,139.0,98.0,+1:04:34,,90.0,Voss Paul,98.0,Bora - Argon 18,1:04:34 1:04:34,+34:53,,,8,2016,▼8
29.0,217.0,99.0,+1:04:41,,78.0,Périchon Pierre-Luc,99.0,Fortuneo - Vital Concept,1:04:41 1:04:41,+39:34,,,8,2016,▼21
32.0,55.0,100.0,+1:04:43,,91.0,Martens Paul,100.0,Team LottoNL-Jumbo,1:04:43 1:04:43,+34:53,,,8,2016,▼9
24.0,156.0,101.0,+1:04:58,,80.0,Grmay Tsgabu,101.0,Lampre - Merida,1:04:58 1:04:58,+39:34,,,8,2016,▼21
27.0,19.0,102.0,+1:07:03,,170.0,Oliveira Nelson,102.0,Movistar Team,1:07:03 1:07:03,+21:04,,,8,2016,▲68
29.0,73.0,103.0,+1:07:41,,96.0,Coppel Jérôme,103.0,IAM Cycling,1:07:41 1:07:41,+34:53,,,8,2016,▼7
31.0,82.0,104.0,+1:07:45,,84.0,Breschel Matti,104.0,Cannondale-Drapac Pro Cycling Team,1:07:45 1:07:45,+39:34,,,8,2016,▼20
27.0,13.0,105.0,+1:07:59,,145.0,Anacona Winner,105.0,Movistar Team,1:07:59 1:07:59,+25:52,,,8,2016,▲40
23.0,26.0,106.0,+1:08:05,,166.0,Lutsenko Alexey,106.0,Astana Pro Team,1:08:05 1:08:05,+22:43,,,8,2016,▲60
31.0,219.0,107.0,+1:08:14,,87.0,Vachon Florian,107.0,Fortuneo - Vital Concept,1:08:14 1:08:14,+39:34,,,8,2016,▼20
25.0,203.0,108.0,+1:08:19,,146.0,Durbridge Luke,108.0,ORICA-BikeExchange,1:08:19 1:08:19,+26:04,,,8,2016,▲38
27.0,106.0,109.0,+1:08:37,,99.0,Janse van Rensburg Reinardt,109.0,Team Dimension Data,1:08:37 1:08:37,+34:53,,,8,2016,▼10
30.0,76.0,110.0,+1:08:38,,118.0,Hollenstein Reto,110.0,IAM Cycling,1:08:38 1:08:38,+32:58,,,8,2016,▲8
24.0,171.0,111.0,+1:08:57,,102.0,Coquard Bryan,111.0,Direct Energie,1:08:57 1:08:57,+34:53,,,8,2016,▼9
36.0,63.0,112.0,+1:09:38,,107.0,Irizar Markel,112.0,Trek - Segafredo,1:09:38 1:09:38,+34:53,,,8,2016,▼5
26.0,32.0,113.0,+1:09:41,,108.0,Sagan Peter,113.0,Tinkoff,1:09:41 1:09:41,+34:53,,,8,2016,▼5
27.0,109.0,114.0,+1:09:47,,153.0,Teklehaimanot Daniel,114.0,Team Dimension Data,1:09:47 1:09:47,+26:04,,,8,2016,▲39
29.0,103.0,115.0,+1:10:10,,113.0,Boasson Hagen Edvald,115.0,Team Dimension Data,1:10:10 1:10:10,+34:53,,,8,2016,▼2
24.0,67.0,116.0,+1:10:11,,92.0,Stuyven Jasper,116.0,Trek - Segafredo,1:10:11 1:10:11,+39:34,,,8,2016,▼24
35.0,62.0,117.0,+1:10:12,,114.0,Cancellara Fabian,117.0,Trek - Segafredo,1:10:12 1:10:12,+34:53,,,8,2016,▼3
31.0,168.0,118.0,+1:10:39,,94.0,Roelandts Jürgen,118.0,Lotto Soudal,1:10:39 1:10:39,+39:34,,,8,2016,▼24
26.0,213.0,119.0,+1:10:46,,95.0,Delaplace Anthony,119.0,Fortuneo - Vital Concept,1:10:46 1:10:46,+39:34,,,8,2016,▼24
24.0,89.0,120.0,+1:10:59,,169.0,van Baarle Dylan,120.0,Cannondale-Drapac Pro Cycling Team,1:10:59 1:10:59,+25:24,,,8,2016,▲49
25.0,207.0,121.0,+1:11:28,,119.0,Matthews Michael,121.0,ORICA-BikeExchange,1:11:28 1:11:28,+34:53,,,8,2016,▼2
28.0,194.0,122.0,+1:11:28,,120.0,Edet Nicolas,122.0,"Cofidis, Solutions Crédits",",, 1:11:28",+34:53,,,8,2016,▼2
