stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Stage 1 - Rotterdam › Brussel,PETACCHI Alessandro,Cancellara Fabian,2010,1,0,0,0,1
0.0,Stage 2 - Brussel › Spa,CHAVANEL Sylvain,Chavanel Sylvain,2010,2,0,0,0,1
0.0,Stage 3 - Wanze › Arenberg Porte du Hainaut,HUSHOVD Thor,Cancellara Fabian,2010,3,0,0,0,1
0.0,Stage 4 - Cambrai › Reims,PETACCHI Alessandro,Cancellara Fabian,2010,4,0,0,0,1
1.0,Stage 5 - Épernay › Montargis,CAVENDISH Mark,Cancellara Fabian,2010,5,0,0,0,1
1.0,Stage 6 - Montargis › Gueugnon,CAVENDISH Mark,Cancellara Fabian,2010,6,0,0,0,1
0.0,Stage 7 - Tournus › Station des Rousses,CHAVANEL Sylvain,Chavanel Sylvain,2010,7,0,0,0,1
0.0,Stage 8 - Station des Rousses › Morzine-Avoriaz,SCHLECK Andy,Evans Cadel,2010,8,0,0,0,1
0.0,Stage 9 - Morzine-Avoriaz › Saint-Jean-de-Maurienne,CASAR Sandy,Schleck Andy,2010,9,0,0,0,1
0.0,Stage 10 - Chambéry › Gap,PAULINHO Sérgio,Schleck Andy,2010,10,0,0,0,1
1.0,Stage 11 - Sisteron › Bourg-lès-Valence,CAVENDISH Mark,Schleck Andy,2010,11,0,0,0,1
0.0,Stage 12 - Bourg-de-Péage  › Mende,RODRÍGUEZ Joaquim,Schleck Andy,2010,12,0,0,0,1
1.0,Stage 13 - Rodez › Revel,VINOKOUROV Alexandre,Schleck Andy,2010,13,0,0,0,1
0.0,Stage 14 - Revel › Ax 3 Domaines,RIBLON Christophe,Schleck Andy,2010,14,0,0,0,1
0.0,Stage 15 - Pamiers › Bagnères-de-Luchon,VOECKLER Thomas,Schleck Andy,2010,15,0,0,0,1
0.0,Stage 16 - Bagnères-de-Luchon › Pau,FEDRIGO Pierrick,Schleck Andy,2010,16,0,0,0,1
0.0,Stage 17 - Pau › Col du Tourmalet,SCHLECK Andy,Schleck Andy,2010,17,0,0,0,1
0.0,Stage 18 - Salies-de-Béarn › Bordeaux,CAVENDISH Mark,Schleck Andy,2010,18,0,0,0,1
0.0,Stage 19 (ITT) - Bordeaux › Pauillac,CANCELLARA Fabian,Schleck Andy,2010,19,1,0,0,0
1.0,Stage 20 - Longjumeau  › Paris,CAVENDISH Mark,Schleck Andy,2010,20,0,0,0,1
