Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,,101.0,,+0:00,,Axelsson Niklas,95,Navigare - Gaerne,",, ,,",2,1999
26,,169.0,,+0:00,,Zanetti Mauro,96,Vini Caldirola - Sidermec,",, ,,",2,1999
25,,85.0,,+0:00,,Muller Dirk,97,Mapei - Quickstep,",, ,,",2,1999
28,,4.0,,+0:00,,Forconi Riccardo,98,Mercatone Uno - Bianchi,",, ,,",2,1999
31,,72.0,,+0:00,,Teteriouk Andrei,99,,",, ,,",2,1999
38,,29.0,,+0:00,,Ugrumov Piotr,100,,",, ,,",2,1999
32,,173.0,,+0:00,,Buenahora Hernan,101,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
25,,36.0,,+0:00,,Osa Aitor,102,Banesto,",, ,,",2,1999
29,,96.0,,+0:00,,Strazzer Massimo,103,Mobilvetta Design - Northwave,",, ,,",2,1999
24,,107.0,,+0:00,,Glomser Gerrit,104,Navigare - Gaerne,",, ,,",2,1999
28,,38.0,,+0:00,,Pe\xf1a Miguel \xc1ngel,105,Banesto,",, ,,",2,1999
24,,47.0,,+0:00,,Magnani Marco,106,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
31,,167.0,,+0:00,,Radaelli Mauro,107,Vini Caldirola - Sidermec,",, ,,",2,1999
29,,161.0,,+0:00,,Apollonio Massimo,108,Vini Caldirola - Sidermec,",, ,,",2,1999
25,,113.0,,+0:00,,Gonzalez Santos,109,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
21,,123.0,,+0:00,,Basso Ivan,110,Riso Scotti - Vinavil,",, ,,",2,1999
24,,166.0,,+0:00,,Sironi Gianluca,111,Vini Caldirola - Sidermec,",, ,,",2,1999
28,,94.0,,+0:00,,Valoti Paolo,112,Mobilvetta Design - Northwave,",, ,,",2,1999
24,,178.0,,+0:00,,Pe\xf1a Victor Hugo,113,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
30,,5.0,,+0:00,,Borgheresi Simone,114,Mercatone Uno - Bianchi,",, ,,",2,1999
25,,52.0,,+0:00,,Heras Roberto,115,Kelme - Costa Blanca,",, ,,",2,1999
27,,127.0,,+0:00,,Simeoni Filippo,116,Riso Scotti - Vinavil,",, ,,",2,1999
23,,108.0,,+0:00,,Panetta Stefano,117,Navigare - Gaerne,",, ,,",2,1999
24,,65.0,,+0:00,,Frutti Matteo,118,,",, ,,",2,1999
26,,139.0,,+0:00,,Secchiari Francesco,119,Saeco - Cannondale,",, ,,",2,1999
28,,121.0,,+0:00,,Bianchi Carlo,120,Riso Scotti - Vinavil,",, ,,",2,1999
26,,89.0,,+0:00,,van Heeswijk Max,121,Mapei - Quickstep,",, ,,",2,1999
25,,28.0,,+0:00,,Tosatto Matteo,122,,",, ,,",2,1999
30,,69.0,,+0:00,,Svorada Jan,123,,",, ,,",2,1999
23,,48.0,,+0:00,,Di Luca Danilo,124,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
24,,118.0,,+0:00,,Sastre Carlos,125,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
