Team,Rank_team,stage,year
Lampre - Farnese Vini,22,7,2010
Rabobank ProTeam,1,8,2010
Astana,2,8,2010
RadioShack,3,8,2010
Caisse d'Epargne,4,8,2010
AG2R La Mondiale,5,8,2010
Liquigas - Doimo,6,8,2010
Team HTC - Columbia,7,8,2010
BMC Racing Team,8,8,2010
Cofidis Le Credit en Ligne,9,8,2010
Omega Pharma-Lotto,10,8,2010
Euskaltel - Euskadi,11,8,2010
Bbox Bouygues Telecom,12,8,2010
Sky Procycling,13,8,2010
Quickstep - Innergetic,14,8,2010
Footon-Servetto,15,8,2010
Saxo Bank,16,8,2010
Francaise des Jeux,17,8,2010
Team Garmin - Transitions,18,8,2010
Team Katusha,19,8,2010
Cervelo Test Team,20,8,2010
Milram,21,8,2010
Lampre - Farnese Vini,22,8,2010
Caisse d'Epargne,1,9,2010
RadioShack,2,9,2010
Astana,3,9,2010
Rabobank ProTeam,4,9,2010
AG2R La Mondiale,5,9,2010
Liquigas - Doimo,6,9,2010
Omega Pharma-Lotto,7,9,2010
Sky Procycling,8,9,2010
Cofidis Le Credit en Ligne,9,9,2010
Euskaltel - Euskadi,10,9,2010
Saxo Bank,11,9,2010
BMC Racing Team,12,9,2010
Bbox Bouygues Telecom,13,9,2010
Team HTC - Columbia,14,9,2010
Quickstep - Innergetic,15,9,2010
Francaise des Jeux,16,9,2010
Team Garmin - Transitions,17,9,2010
Cervelo Test Team,18,9,2010
Team Katusha,19,9,2010
Footon-Servetto,20,9,2010
Milram,21,9,2010
Lampre - Farnese Vini,22,9,2010
Caisse d'Epargne,1,10,2010
RadioShack,2,10,2010
Astana,3,10,2010
Rabobank ProTeam,4,10,2010
AG2R La Mondiale,5,10,2010
Omega Pharma-Lotto,6,10,2010
Liquigas - Doimo,7,10,2010
Bbox Bouygues Telecom,8,10,2010
Sky Procycling,9,10,2010
Cofidis Le Credit en Ligne,10,10,2010
Euskaltel - Euskadi,11,10,2010
Quickstep - Innergetic,12,10,2010
Saxo Bank,13,10,2010
BMC Racing Team,14,10,2010
Team HTC - Columbia,15,10,2010
Francaise des Jeux,16,10,2010
Team Garmin - Transitions,17,10,2010
Cervelo Test Team,18,10,2010
Team Katusha,19,10,2010
Footon-Servetto,20,10,2010
Milram,21,10,2010
Lampre - Farnese Vini,22,10,2010
Caisse d'Epargne,1,11,2010
RadioShack,2,11,2010
Astana,3,11,2010
Rabobank ProTeam,4,11,2010
AG2R La Mondiale,5,11,2010
Omega Pharma-Lotto,6,11,2010
Liquigas - Doimo,7,11,2010
Bbox Bouygues Telecom,8,11,2010
Sky Procycling,9,11,2010
Cofidis Le Credit en Ligne,10,11,2010
Euskaltel - Euskadi,11,11,2010
Quickstep - Innergetic,12,11,2010
BMC Racing Team,13,11,2010
Saxo Bank,14,11,2010
Team HTC - Columbia,15,11,2010
Francaise des Jeux,16,11,2010
Team Garmin - Transitions,17,11,2010
Cervelo Test Team,18,11,2010
Team Katusha,19,11,2010
Footon-Servetto,20,11,2010
Milram,21,11,2010
Lampre - Farnese Vini,22,11,2010
RadioShack,1,12,2010
Caisse d'Epargne,2,12,2010
Astana,3,12,2010
Rabobank ProTeam,4,12,2010
AG2R La Mondiale,5,12,2010
Omega Pharma-Lotto,6,12,2010
Liquigas - Doimo,7,12,2010
Bbox Bouygues Telecom,8,12,2010
Sky Procycling,9,12,2010
Euskaltel - Euskadi,10,12,2010
Quickstep - Innergetic,11,12,2010
Cofidis Le Credit en Ligne,12,12,2010
BMC Racing Team,13,12,2010
Saxo Bank,14,12,2010
Team HTC - Columbia,15,12,2010
Francaise des Jeux,16,12,2010
Cervelo Test Team,17,12,2010
Team Garmin - Transitions,18,12,2010
Team Katusha,19,12,2010
Footon-Servetto,20,12,2010
Milram,21,12,2010
Lampre - Farnese Vini,22,12,2010
RadioShack,1,13,2010
Caisse d'Epargne,2,13,2010
Rabobank ProTeam,3,13,2010
Astana,4,13,2010
AG2R La Mondiale,5,13,2010
Omega Pharma-Lotto,6,13,2010
Liquigas - Doimo,7,13,2010
Bbox Bouygues Telecom,8,13,2010
Sky Procycling,9,13,2010
Euskaltel - Euskadi,10,13,2010
Quickstep - Innergetic,11,13,2010
Cofidis Le Credit en Ligne,12,13,2010
BMC Racing Team,13,13,2010
Team HTC - Columbia,14,13,2010
Saxo Bank,15,13,2010
Francaise des Jeux,16,13,2010
Cervelo Test Team,17,13,2010
Team Garmin - Transitions,18,13,2010
Team Katusha,19,13,2010
Footon-Servetto,20,13,2010
Milram,21,13,2010
Lampre - Farnese Vini,22,13,2010
Caisse d'Epargne,1,14,2010
RadioShack,2,14,2010
Rabobank ProTeam,3,14,2010
AG2R La Mondiale,4,14,2010
Astana,5,14,2010
Omega Pharma-Lotto,6,14,2010
Liquigas - Doimo,7,14,2010
Euskaltel - Euskadi,8,14,2010
Quickstep - Innergetic,9,14,2010
Cofidis Le Credit en Ligne,10,14,2010
Sky Procycling,11,14,2010
Bbox Bouygues Telecom,12,14,2010
Saxo Bank,13,14,2010
Team HTC - Columbia,14,14,2010
BMC Racing Team,15,14,2010
Francaise des Jeux,16,14,2010
Team Katusha,17,14,2010
Team Garmin - Transitions,18,14,2010
Cervelo Test Team,19,14,2010
Footon-Servetto,20,14,2010
Lampre - Farnese Vini,21,14,2010
Milram,22,14,2010
RadioShack,1,15,2010
Caisse d'Epargne,2,15,2010
Rabobank ProTeam,3,15,2010
AG2R La Mondiale,4,15,2010
Astana,5,15,2010
Omega Pharma-Lotto,6,15,2010
Liquigas - Doimo,7,15,2010
Quickstep - Innergetic,8,15,2010
Euskaltel - Euskadi,9,15,2010
Sky Procycling,10,15,2010
Bbox Bouygues Telecom,11,15,2010
Cofidis Le Credit en Ligne,12,15,2010
BMC Racing Team,13,15,2010
Saxo Bank,14,15,2010
Team HTC - Columbia,15,15,2010
Francaise des Jeux,16,15,2010
Team Katusha,17,15,2010
Team Garmin - Transitions,18,15,2010
Cervelo Test Team,19,15,2010
Footon-Servetto,20,15,2010
Lampre - Farnese Vini,21,15,2010
Milram,22,15,2010
RadioShack,1,16,2010
Caisse d'Epargne,2,16,2010
Rabobank ProTeam,3,16,2010
AG2R La Mondiale,4,16,2010
Astana,5,16,2010
Omega Pharma-Lotto,6,16,2010
Quickstep - Innergetic,7,16,2010
Euskaltel - Euskadi,8,16,2010
Liquigas - Doimo,9,16,2010
Sky Procycling,10,16,2010
Bbox Bouygues Telecom,11,16,2010
Cofidis Le Credit en Ligne,12,16,2010
BMC Racing Team,13,16,2010
Saxo Bank,14,16,2010
Francaise des Jeux,15,16,2010
Team HTC - Columbia,16,16,2010
Team Garmin - Transitions,17,16,2010
Cervelo Test Team,18,16,2010
Team Katusha,19,16,2010
Footon-Servetto,20,16,2010
Lampre - Farnese Vini,21,16,2010
Milram,22,16,2010
RadioShack,1,17,2010
Caisse d'Epargne,2,17,2010
Rabobank ProTeam,3,17,2010
AG2R La Mondiale,4,17,2010
Omega Pharma-Lotto,5,17,2010
Astana,6,17,2010
Quickstep - Innergetic,7,17,2010
Euskaltel - Euskadi,8,17,2010
Liquigas - Doimo,9,17,2010
Bbox Bouygues Telecom,10,17,2010
Sky Procycling,11,17,2010
Cofidis Le Credit en Ligne,12,17,2010
Saxo Bank,13,17,2010
BMC Racing Team,14,17,2010
Francaise des Jeux,15,17,2010
Team Garmin - Transitions,16,17,2010
Team Katusha,17,17,2010
Team HTC - Columbia,18,17,2010
Cervelo Test Team,19,17,2010
Footon-Servetto,20,17,2010
Lampre - Farnese Vini,21,17,2010
Milram,22,17,2010
RadioShack,1,18,2010
Caisse d'Epargne,2,18,2010
Rabobank ProTeam,3,18,2010
AG2R La Mondiale,4,18,2010
Omega Pharma-Lotto,5,18,2010
Astana,6,18,2010
Quickstep - Innergetic,7,18,2010
Euskaltel - Euskadi,8,18,2010
Liquigas - Doimo,9,18,2010
Bbox Bouygues Telecom,10,18,2010
Sky Procycling,11,18,2010
Cofidis Le Credit en Ligne,12,18,2010
Saxo Bank,13,18,2010
BMC Racing Team,14,18,2010
Francaise des Jeux,15,18,2010
Team Garmin - Transitions,16,18,2010
Team Katusha,17,18,2010
Team HTC - Columbia,18,18,2010
Cervelo Test Team,19,18,2010
Footon-Servetto,20,18,2010
Lampre - Farnese Vini,21,18,2010
Milram,22,18,2010
RadioShack,1,19,2010
Caisse d'Epargne,2,19,2010
Rabobank ProTeam,3,19,2010
AG2R La Mondiale,4,19,2010
Omega Pharma-Lotto,5,19,2010
Astana,6,19,2010
Quickstep - Innergetic,7,19,2010
Euskaltel - Euskadi,8,19,2010
Liquigas - Doimo,9,19,2010
Bbox Bouygues Telecom,10,19,2010
Sky Procycling,11,19,2010
Saxo Bank,12,19,2010
Cofidis Le Credit en Ligne,13,19,2010
BMC Racing Team,14,19,2010
Francaise des Jeux,15,19,2010
Team Garmin - Transitions,16,19,2010
Team HTC - Columbia,17,19,2010
Team Katusha,18,19,2010
Cervelo Test Team,19,19,2010
Footon-Servetto,20,19,2010
Lampre - Farnese Vini,21,19,2010
Milram,22,19,2010
RadioShack,1,20,2010
Caisse d'Epargne,2,20,2010
Rabobank ProTeam,3,20,2010
AG2R La Mondiale,4,20,2010
Omega Pharma-Lotto,5,20,2010
Astana,6,20,2010
Quickstep - Innergetic,7,20,2010
Euskaltel - Euskadi,8,20,2010
Liquigas - Doimo,9,20,2010
Bbox Bouygues Telecom,10,20,2010
Sky Procycling,11,20,2010
Saxo Bank,12,20,2010
Cofidis Le Credit en Ligne,13,20,2010
BMC Racing Team,14,20,2010
Francaise des Jeux,15,20,2010
Team Garmin - Transitions,16,20,2010
Team HTC - Columbia,17,20,2010
Team Katusha,18,20,2010
Cervelo Test Team,19,20,2010
Footon-Servetto,20,20,2010
Lampre - Farnese Vini,21,20,2010
Milram,22,20,2010
Omega Pharma-Lotto,1,1,2011
BMC Racing Team,2,1,2011
Leopard Trek,3,1,2011
HTC - High Road,4,1,2011
RadioShack,5,1,2011
Cofidis Le Credit en Ligne,6,1,2011
Lampre - ISD,7,1,2011
Sky Procycling,8,1,2011
Team Katusha,9,1,2011
Pro Team Astana,10,1,2011
Movistar Team,11,1,2011
Quickstep Cycling Team,12,1,2011
Team Europcar,13,1,2011
Team Garmin - Cerv\xe9lo,14,1,2011
Liquigas - Cannondale,15,1,2011
FDJ,16,1,2011
Rabobank Cycling Team,17,1,2011
Saur - Sojasun,18,1,2011
AG2R La Mondiale,19,1,2011
Vacansoleil - DCM,20,1,2011
Euskaltel - Euskadi,21,1,2011
Saxo Bank - Sungard,22,1,2011
Team Garmin - Cerv\xe9lo,1,2,2011
BMC Racing Team,2,2,2011
Leopard Trek,3,2,2011
Sky Procycling,4,2,2011
HTC - High Road,5,2,2011
RadioShack,6,2,2011
Pro Team Astana,7,2,2011
Omega Pharma-Lotto,8,2,2011
Team Europcar,9,2,2011
Quickstep Cycling Team,10,2,2011
Liquigas - Cannondale,11,2,2011
Lampre - ISD,12,2,2011
Team Katusha,13,2,2011
Movistar Team,14,2,2011
Cofidis Le Credit en Ligne,15,2,2011
Rabobank Cycling Team,16,2,2011
FDJ,17,2,2011
Vacansoleil - DCM,18,2,2011
AG2R La Mondiale,19,2,2011
Saur - Sojasun,20,2,2011
Saxo Bank - Sungard,21,2,2011
Euskaltel - Euskadi,22,2,2011
Team Garmin - Cerv\xe9lo,1,3,2011
BMC Racing Team,2,3,2011
Leopard Trek,3,3,2011
Sky Procycling,4,3,2011
HTC - High Road,5,3,2011
RadioShack,6,3,2011
Pro Team Astana,7,3,2011
Omega Pharma-Lotto,8,3,2011
Team Europcar,9,3,2011
Quickstep Cycling Team,10,3,2011
Liquigas - Cannondale,11,3,2011
Team Katusha,12,3,2011
Lampre - ISD,13,3,2011
Movistar Team,14,3,2011
Cofidis Le Credit en Ligne,15,3,2011
Rabobank Cycling Team,16,3,2011
FDJ,17,3,2011
Vacansoleil - DCM,18,3,2011
AG2R La Mondiale,19,3,2011
Saur - Sojasun,20,3,2011
Saxo Bank - Sungard,21,3,2011
Euskaltel - Euskadi,22,3,2011
Team Garmin - Cerv\xe9lo,1,4,2011
Sky Procycling,2,4,2011
Leopard Trek,3,4,2011
RadioShack,4,4,2011
HTC - High Road,5,4,2011
Pro Team Astana,6,4,2011
Movistar Team,7,4,2011
Team Europcar,8,4,2011
Quickstep Cycling Team,9,4,2011
Rabobank Cycling Team,10,4,2011
Team Katusha,11,4,2011
Omega Pharma-Lotto,12,4,2011
BMC Racing Team,13,4,2011
Cofidis Le Credit en Ligne,14,4,2011
Liquigas - Cannondale,15,4,2011
FDJ,16,4,2011
Vacansoleil - DCM,17,4,2011
AG2R La Mondiale,18,4,2011
Lampre - ISD,19,4,2011
Saur - Sojasun,20,4,2011
Euskaltel - Euskadi,21,4,2011
Saxo Bank - Sungard,22,4,2011
Team Garmin - Cerv\xe9lo,1,5,2011
Sky Procycling,2,5,2011
Leopard Trek,3,5,2011
RadioShack,4,5,2011
HTC - High Road,5,5,2011
Pro Team Astana,6,5,2011
Movistar Team,7,5,2011
Team Europcar,8,5,2011
Quickstep Cycling Team,9,5,2011
Rabobank Cycling Team,10,5,2011
Team Katusha,11,5,2011
Omega Pharma-Lotto,12,5,2011
BMC Racing Team,13,5,2011
Cofidis Le Credit en Ligne,14,5,2011
Liquigas - Cannondale,15,5,2011
FDJ,16,5,2011
Vacansoleil - DCM,17,5,2011
AG2R La Mondiale,18,5,2011
Lampre - ISD,19,5,2011
Saur - Sojasun,20,5,2011
Euskaltel - Euskadi,21,5,2011
Saxo Bank - Sungard,22,5,2011
Team Garmin - Cerv\xe9lo,1,6,2011
Sky Procycling,2,6,2011
Leopard Trek,3,6,2011
RadioShack,4,6,2011
HTC - High Road,5,6,2011
Quickstep Cycling Team,6,6,2011
Rabobank Cycling Team,7,6,2011
Pro Team Astana,8,6,2011
Team Europcar,9,6,2011
Team Katusha,10,6,2011
Cofidis Le Credit en Ligne,11,6,2011
Movistar Team,12,6,2011
Omega Pharma-Lotto,13,6,2011
FDJ,14,6,2011
Vacansoleil - DCM,15,6,2011
AG2R La Mondiale,16,6,2011
BMC Racing Team,17,6,2011
Liquigas - Cannondale,18,6,2011
Lampre - ISD,19,6,2011
Euskaltel - Euskadi,20,6,2011
Saur - Sojasun,21,6,2011
Saxo Bank - Sungard,22,6,2011
Team Garmin - Cerv\xe9lo,1,7,2011
Leopard Trek,2,7,2011
RadioShack,3,7,2011
HTC - High Road,4,7,2011
Quickstep Cycling Team,5,7,2011
Rabobank Cycling Team,6,7,2011
Team Katusha,7,7,2011
Team Europcar,8,7,2011
Movistar Team,9,7,2011
Omega Pharma-Lotto,10,7,2011
FDJ,11,7,2011
Vacansoleil - DCM,12,7,2011
AG2R La Mondiale,13,7,2011
BMC Racing Team,14,7,2011
Liquigas - Cannondale,15,7,2011
Lampre - ISD,16,7,2011
Cofidis Le Credit en Ligne,17,7,2011
Euskaltel - Euskadi,18,7,2011
Pro Team Astana,19,7,2011
Sky Procycling,20,7,2011
Saur - Sojasun,21,7,2011
Saxo Bank - Sungard,22,7,2011
Team Garmin - Cerv\xe9lo,1,8,2011
Leopard Trek,2,8,2011
RadioShack,3,8,2011
HTC - High Road,4,8,2011
Team Katusha,5,8,2011
Team Europcar,6,8,2011
AG2R La Mondiale,7,8,2011
Quickstep Cycling Team,8,8,2011
Omega Pharma-Lotto,9,8,2011
Vacansoleil - DCM,10,8,2011
Movistar Team,11,8,2011
Rabobank Cycling Team,12,8,2011
Liquigas - Cannondale,13,8,2011
Euskaltel - Euskadi,14,8,2011
Cofidis Le Credit en Ligne,15,8,2011
Pro Team Astana,16,8,2011
Sky Procycling,17,8,2011
BMC Racing Team,18,8,2011
Saxo Bank - Sungard,19,8,2011
Lampre - ISD,20,8,2011
FDJ,21,8,2011
Saur - Sojasun,22,8,2011
Team Europcar,1,9,2011
Leopard Trek,2,9,2011
RadioShack,3,9,2011
Rabobank Cycling Team,4,9,2011
Team Garmin - Cerv\xe9lo,5,9,2011
AG2R La Mondiale,6,9,2011
Team Katusha,7,9,2011
HTC - High Road,8,9,2011
Quickstep Cycling Team,9,9,2011
Omega Pharma-Lotto,10,9,2011
Euskaltel - Euskadi,11,9,2011
Movistar Team,12,9,2011
Cofidis Le Credit en Ligne,13,9,2011
Pro Team Astana,14,9,2011
Liquigas - Cannondale,15,9,2011
Sky Procycling,16,9,2011
BMC Racing Team,17,9,2011
Saxo Bank - Sungard,18,9,2011
Vacansoleil - DCM,19,9,2011
FDJ,20,9,2011
Lampre - ISD,21,9,2011
Saur - Sojasun,22,9,2011
Team Europcar,1,10,2011
Leopard Trek,2,10,2011
RadioShack,3,10,2011
Rabobank Cycling Team,4,10,2011
Team Garmin - Cerv\xe9lo,5,10,2011
AG2R La Mondiale,6,10,2011
Team Katusha,7,10,2011
HTC - High Road,8,10,2011
Quickstep Cycling Team,9,10,2011
Omega Pharma-Lotto,10,10,2011
Euskaltel - Euskadi,11,10,2011
Cofidis Le Credit en Ligne,12,10,2011
Pro Team Astana,13,10,2011
Liquigas - Cannondale,14,10,2011
Sky Procycling,15,10,2011
Movistar Team,16,10,2011
Vacansoleil - DCM,17,10,2011
BMC Racing Team,18,10,2011
FDJ,19,10,2011
Saxo Bank - Sungard,20,10,2011
Lampre - ISD,21,10,2011
Saur - Sojasun,22,10,2011
Team Europcar,1,11,2011
Leopard Trek,2,11,2011
RadioShack,3,11,2011
Rabobank Cycling Team,4,11,2011
Team Garmin - Cerv\xe9lo,5,11,2011
AG2R La Mondiale,6,11,2011
Team Katusha,7,11,2011
HTC - High Road,8,11,2011
Quickstep Cycling Team,9,11,2011
Omega Pharma-Lotto,10,11,2011
Euskaltel - Euskadi,11,11,2011
Cofidis Le Credit en Ligne,12,11,2011
Pro Team Astana,13,11,2011
Liquigas - Cannondale,14,11,2011
Sky Procycling,15,11,2011
Movistar Team,16,11,2011
Vacansoleil - DCM,17,11,2011
BMC Racing Team,18,11,2011
FDJ,19,11,2011
Saxo Bank - Sungard,20,11,2011
Lampre - ISD,21,11,2011
Saur - Sojasun,22,11,2011
Leopard Trek,1,12,2011
Team Europcar,2,12,2011
AG2R La Mondiale,3,12,2011
RadioShack,4,12,2011
Team Katusha,5,12,2011
Team Garmin - Cerv\xe9lo,6,12,2011
Euskaltel - Euskadi,7,12,2011
Sky Procycling,8,12,2011
Cofidis Le Credit en Ligne,9,12,2011
Quickstep Cycling Team,10,12,2011
HTC - High Road,11,12,2011
FDJ,12,12,2011
Saxo Bank - Sungard,13,12,2011
Omega Pharma-Lotto,14,12,2011
Rabobank Cycling Team,15,12,2011
BMC Racing Team,16,12,2011
Pro Team Astana,17,12,2011
Liquigas - Cannondale,18,12,2011
Saur - Sojasun,19,12,2011
Vacansoleil - DCM,20,12,2011
Lampre - ISD,21,12,2011
Movistar Team,22,12,2011
Team Garmin - Cerv\xe9lo,1,13,2011
Leopard Trek,2,13,2011
Team Europcar,3,13,2011
AG2R La Mondiale,4,13,2011
Team Katusha,5,13,2011
RadioShack,6,13,2011
Cofidis Le Credit en Ligne,7,13,2011
Sky Procycling,8,13,2011
Euskaltel - Euskadi,9,13,2011
FDJ,10,13,2011
Quickstep Cycling Team,11,13,2011
HTC - High Road,12,13,2011
Omega Pharma-Lotto,13,13,2011
Saxo Bank - Sungard,14,13,2011
Rabobank Cycling Team,15,13,2011
BMC Racing Team,16,13,2011
Pro Team Astana,17,13,2011
Liquigas - Cannondale,18,13,2011
Lampre - ISD,19,13,2011
Vacansoleil - DCM,20,13,2011
Saur - Sojasun,21,13,2011
Movistar Team,22,13,2011
Leopard Trek,1,14,2011
Team Europcar,2,14,2011
AG2R La Mondiale,3,14,2011
Team Garmin - Cerv\xe9lo,4,14,2011
Team Katusha,5,14,2011
Cofidis Le Credit en Ligne,6,14,2011
Euskaltel - Euskadi,7,14,2011
RadioShack,8,14,2011
Sky Procycling,9,14,2011
Saxo Bank - Sungard,10,14,2011
Quickstep Cycling Team,11,14,2011
FDJ,12,14,2011
Omega Pharma-Lotto,13,14,2011
BMC Racing Team,14,14,2011
HTC - High Road,15,14,2011
Rabobank Cycling Team,16,14,2011
Pro Team Astana,17,14,2011
Saur - Sojasun,18,14,2011
Liquigas - Cannondale,19,14,2011
Vacansoleil - DCM,20,14,2011
Lampre - ISD,21,14,2011
Movistar Team,22,14,2011
Leopard Trek,1,15,2011
Team Europcar,2,15,2011
AG2R La Mondiale,3,15,2011
Team Garmin - Cerv\xe9lo,4,15,2011
Cofidis Le Credit en Ligne,5,15,2011
Euskaltel - Euskadi,6,15,2011
Sky Procycling,7,15,2011
Quickstep Cycling Team,8,15,2011
FDJ,9,15,2011
Omega Pharma-Lotto,10,15,2011
BMC Racing Team,11,15,2011
HTC - High Road,12,15,2011
Rabobank Cycling Team,13,15,2011
Pro Team Astana,14,15,2011
Saur - Sojasun,15,15,2011
Liquigas - Cannondale,16,15,2011
Movistar Team,17,15,2011
Team Garmin - Cerv\xe9lo,1,16,2011
Leopard Trek,2,16,2011
Team Europcar,3,16,2011
AG2R La Mondiale,4,16,2011
Team Katusha,5,16,2011
Euskaltel - Euskadi,6,16,2011
RadioShack,7,16,2011
Sky Procycling,8,16,2011
Cofidis Le Credit en Ligne,9,16,2011
Saxo Bank - Sungard,10,16,2011
FDJ,11,16,2011
Quickstep Cycling Team,12,16,2011
HTC - High Road,13,16,2011
Omega Pharma-Lotto,14,16,2011
BMC Racing Team,15,16,2011
Pro Team Astana,16,16,2011
Rabobank Cycling Team,17,16,2011
Saur - Sojasun,18,16,2011
Vacansoleil - DCM,19,16,2011
Liquigas - Cannondale,20,16,2011
Lampre - ISD,21,16,2011
Team Garmin - Cerv\xe9lo,1,17,2011
Leopard Trek,2,17,2011
AG2R La Mondiale,3,17,2011
Team Europcar,4,17,2011
Euskaltel - Euskadi,5,17,2011
Team Katusha,6,17,2011
Sky Procycling,7,17,2011
RadioShack,8,17,2011
Cofidis Le Credit en Ligne,9,17,2011
FDJ,10,17,2011
Saxo Bank - Sungard,11,17,2011
Quickstep Cycling Team,12,17,2011
Omega Pharma-Lotto,13,17,2011
BMC Racing Team,14,17,2011
Pro Team Astana,15,17,2011
HTC - High Road,16,17,2011
Rabobank Cycling Team,17,17,2011
Vacansoleil - DCM,18,17,2011
Saur - Sojasun,19,17,2011
Liquigas - Cannondale,20,17,2011
Lampre - ISD,21,17,2011
Movistar Team,22,17,2011
Team Garmin - Cerv\xe9lo,1,18,2011
AG2R La Mondiale,2,18,2011
Leopard Trek,3,18,2011
Team Katusha,4,18,2011
Team Europcar,5,18,2011
Sky Procycling,6,18,2011
Euskaltel - Euskadi,7,18,2011
Saxo Bank - Sungard,8,18,2011
RadioShack,9,18,2011
FDJ,10,18,2011
Cofidis Le Credit en Ligne,11,18,2011
Quickstep Cycling Team,12,18,2011
BMC Racing Team,13,18,2011
Vacansoleil - DCM,14,18,2011
Pro Team Astana,15,18,2011
Liquigas - Cannondale,16,18,2011
Rabobank Cycling Team,17,18,2011
Omega Pharma-Lotto,18,18,2011
Saur - Sojasun,19,18,2011
Lampre - ISD,20,18,2011
HTC - High Road,21,18,2011
Movistar Team,22,18,2011
Team Garmin - Cerv\xe9lo,1,19,2011
AG2R La Mondiale,2,19,2011
Leopard Trek,3,19,2011
Team Europcar,4,19,2011
Euskaltel - Euskadi,5,19,2011
Sky Procycling,6,19,2011
Team Katusha,7,19,2011
Saxo Bank - Sungard,8,19,2011
FDJ,9,19,2011
Cofidis Le Credit en Ligne,10,19,2011
RadioShack,11,19,2011
Quickstep Cycling Team,12,19,2011
Vacansoleil - DCM,13,19,2011
BMC Racing Team,14,19,2011
Rabobank Cycling Team,15,19,2011
Liquigas - Cannondale,16,19,2011
Saur - Sojasun,17,19,2011
Pro Team Astana,18,19,2011
Lampre - ISD,19,19,2011
Omega Pharma-Lotto,20,19,2011
HTC - High Road,21,19,2011
Movistar Team,22,19,2011
Team Garmin - Cerv\xe9lo,1,20,2011
Leopard Trek,2,20,2011
AG2R La Mondiale,3,20,2011
Team Europcar,4,20,2011
Euskaltel - Euskadi,5,20,2011
Sky Procycling,6,20,2011
Team Katusha,7,20,2011
Saxo Bank - Sungard,8,20,2011
FDJ,9,20,2011
Cofidis Le Credit en Ligne,10,20,2011
RadioShack,11,20,2011
Quickstep Cycling Team,12,20,2011
Vacansoleil - DCM,13,20,2011
BMC Racing Team,14,20,2011
Rabobank Cycling Team,15,20,2011
Liquigas - Cannondale,16,20,2011
Saur - Sojasun,17,20,2011
Lampre - ISD,18,20,2011
Pro Team Astana,19,20,2011
Omega Pharma-Lotto,20,20,2011
HTC - High Road,21,20,2011
Movistar Team,22,20,2011
Team Garmin - Cerv\xe9lo,1,21,2011
Leopard Trek,2,21,2011
AG2R La Mondiale,3,21,2011
Team Europcar,4,21,2011
Euskaltel - Euskadi,5,21,2011
Sky Procycling,6,21,2011
Team Katusha,7,21,2011
Saxo Bank - Sungard,8,21,2011
FDJ,9,21,2011
Cofidis Le Credit en Ligne,10,21,2011
RadioShack,11,21,2011
Quickstep Cycling Team,12,21,2011
Vacansoleil - DCM,13,21,2011
BMC Racing Team,14,21,2011
Rabobank Cycling Team,15,21,2011
Liquigas - Cannondale,16,21,2011
Saur - Sojasun,17,21,2011
Lampre - ISD,18,21,2011
Pro Team Astana,19,21,2011
Omega Pharma-Lotto,20,21,2011
HTC - High Road,21,21,2011
Movistar Team,22,21,2011
Sky Procycling,1,0,2012
RadioShack - Nissan,2,0,2012
BMC Racing Team,3,0,2012
Omega Pharma - Quick-Step,4,0,2012
Orica GreenEDGE,5,0,2012
Garmin Sharp,6,0,2012
Argos - Shimano,7,0,2012
Astana Pro Team,8,0,2012
Liquigas - Cannondale,9,0,2012
FDJ - BigMat,10,0,2012
Vacansoleil - DCM,11,0,2012
Team Saxo Bank - Tinkoff Bank,12,0,2012
Movistar Team,13,0,2012
Lotto Belisol Team,14,0,2012
Rabobank Cycling Team,15,0,2012
Team Katusha,16,0,2012
AG2R La Mondiale,17,0,2012
Saur - Sojasun,18,0,2012
Euskaltel - Euskadi,19,0,2012
Cofidis Le Credit en Ligne,20,0,2012
Lampre - ISD,21,0,2012
Team Europcar,22,0,2012
Sky Procycling,1,1,2012
RadioShack - Nissan,2,1,2012
BMC Racing Team,3,1,2012
Omega Pharma - Quick-Step,4,1,2012
Garmin Sharp,5,1,2012
Liquigas - Cannondale,6,1,2012
Orica GreenEDGE,7,1,2012
Team Katusha,8,1,2012
AG2R La Mondiale,9,1,2012
Vacansoleil - DCM,10,1,2012
Astana Pro Team,11,1,2012
Rabobank Cycling Team,12,1,2012
FDJ - BigMat,13,1,2012
Movistar Team,14,1,2012
Team Europcar,15,1,2012
Euskaltel - Euskadi,16,1,2012
Cofidis Le Credit en Ligne,17,1,2012
Argos - Shimano,18,1,2012
Lampre - ISD,19,1,2012
Team Saxo Bank - Tinkoff Bank,20,1,2012
Lotto Belisol Team,21,1,2012
Saur - Sojasun,22,1,2012
Sky Procycling,1,2,2012
RadioShack - Nissan,2,2,2012
BMC Racing Team,3,2,2012
Omega Pharma - Quick-Step,4,2,2012
Garmin Sharp,5,2,2012
Liquigas - Cannondale,6,2,2012
Orica GreenEDGE,7,2,2012
Team Katusha,8,2,2012
AG2R La Mondiale,9,2,2012
Vacansoleil - DCM,10,2,2012
Astana Pro Team,11,2,2012
Rabobank Cycling Team,12,2,2012
FDJ - BigMat,13,2,2012
Movistar Team,14,2,2012
Team Europcar,15,2,2012
Euskaltel - Euskadi,16,2,2012
Cofidis Le Credit en Ligne,17,2,2012
Argos - Shimano,18,2,2012
Lampre - ISD,19,2,2012
Team Saxo Bank - Tinkoff Bank,20,2,2012
Lotto Belisol Team,21,2,2012
Saur - Sojasun,22,2,2012
Sky Procycling,1,3,2012
