Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
Calcaterra Giuseppe,2000,30.0,22,30.0
Cali Vincent,1998,14.0,17,14.0
Calvente Corbas Manuel,2002,0.0,21,0.0
Calzati Sylvain,2006,19.0,20,19.0
Calzavara Leonardo,1998,24.0,23,24.0
Cama\xf1o Iker,2008,0.0,20,0.0
Cama\xf1o Iker,2009,0.0,20,0.0
Camenzind Oscar,1998,184.0,23,184.0
Camenzind Oscar,1999,200.0,22,200.0
Camenzind Oscar,2001,26.0,21,200.0
Campagnari Simone,1999,0.0,1,0.0
Campenaerts Victor,2017,0.0,16,0.0
Cancellara Fabian,2007,0.0,10,0.0
Cancellara Fabian,2009,0.0,10,0.0
Cancellara Fabian,2016,42.0,10,42.0
Canola Marco,2013,37.0,20,37.0
Canola Marco,2014,64.0,20,64.0
Canuti Federico,2010,22.0,16,22.0
Canuti Federico,2011,0.0,19,22.0
Canzonieri Angelo,1998,0.0,23,0.0
Capecchi Eros,2008,0.0,20,0.0
Capecchi Eros,2009,0.0,13,0.0
Capecchi Eros,2010,0.0,6,0.0
Capecchi Eros,2011,35.0,19,35.0
Capecchi Eros,2012,0.0,1,35.0
Capecchi Eros,2013,30.0,20,35.0
Capecchi Eros,2014,0.0,20,35.0
Capecchi Eros,2016,0.0,21,35.0
Capecchi Eros,2017,0.0,21,35.0
Capelli Ermano,2008,0.0,14,0.0
Capelli Ermano,2010,0.0,15,0.0
Carcia Quesada Carlos,2003,18.0,12,18.0
Cardoso Andr\xe9,2014,16.0,20,16.0
Cardoso Andr\xe9,2015,0.0,20,16.0
Cardoso Andr\xe9,2016,22.0,21,22.0
Cardoso Manuel,2011,36.0,13,36.0
Carlstr\xf6m Kjell,2008,0.0,20,0.0
Carlstr\xf6m Kjell,2009,0.0,20,0.0
Carlstr\xf6m Kjell,2011,0.0,19,0.0
Carrara Matteo,2001,36.0,21,36.0
Carrara Matteo,2002,38.0,21,38.0
Carrara Matteo,2003,46.0,18,46.0
Carrara Matteo,2011,77.0,19,77.0
Carrara Matteo,2012,0.0,1,77.0
Carrasco Gamiz Jos\xe9 Luis,2005,0.0,21,0.0
Carrasco Gamiz Jos\xe9 Luis,2006,30.0,20,30.0
Carretero Ramon,2014,0.0,6,0.0
Carthy Hugh,2017,0.0,21,0.0
Caruso Damiano,2012,0.0,1,0.0
Caruso Damiano,2013,129.0,20,129.0
Caruso Damiano,2015,150.0,20,150.0
Caruso Giampaolo,2005,66.0,21,66.0
Caruso Giampaolo,2006,113.0,20,113.0
Caruso Giampaolo,2010,0.0,20,113.0
Caruso Giampaolo,2011,0.0,19,113.0
Caruso Giampaolo,2013,57.0,20,113.0
Caruso Giampaolo,2014,0.0,5,113.0
Casagranda Stefano,1998,6.0,18,6.0
Casagranda Stefano,2001,46.0,21,46.0
Casagrande Filippo,1998,39.0,23,39.0
Casagrande Filippo,1999,8.0,22,39.0
Casagrande Filippo,2000,61.0,22,61.0
Casagrande Francesco,2000,185.0,22,185.0
Casagrande Francesco,2001,0.0,3,185.0
Casagrande Francesco,2002,153.0,16,185.0
Casagrande Francesco,2003,130.0,18,185.0
Casar Sandy,2003,79.0,21,79.0
Casar Sandy,2005,20.0,21,79.0
Casar Sandy,2006,86.0,20,86.0
Casar Sandy,2012,0.0,1,86.0
Casar Sandy,2013,0.0,4,86.0
Casarotto Davide,1998,20.0,18,20.0
Casarotto Davide,1999,0.0,13,20.0
Casarotto Davide,2001,46.0,21,46.0
Casper Jimmy,2000,0.0,8,0.0
Casper Jimmy,2003,75.0,18,75.0
Cassani Enrico,1998,51.0,18,51.0
Cassani Enrico,1999,0.0,22,51.0
Cassani Enrico,2000,48.0,22,51.0
Castaneda Luis Oran,2000,0.0,22,0.0
