,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
3970,35,204.0,Flecha Juan Antonio,2013,0.0,2.0,5.0,54.0,0.0,0.0,56.0,0.0,0.0,117.0
3971,35,206.0,Goubert Stephane,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3972,35,209.0,Seigneur Eddy,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3973,36,2.0,Ekimov Viatcheslav,2002,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
3974,36,3.0,Kiryienka Vasil,2017,0.0,15.0,0.0,8.0,0.0,0.0,34.0,0.0,0.0,57.0
3975,36,4.0,Knees Christian,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3976,36,6.0,McEwen Robbie,2008,0.0,0.0,3.0,34.0,0.0,0.0,127.0,0.0,0.0,164.0
3977,36,7.0,S\xf8rensen Nicki,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3978,36,9.0,Vansevenant Wim,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3979,36,9.0,Vinokourov Alexandre,2010,22.0,30.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,178.0
3980,36,12.0,Valverde Alejandro,2016,35.0,108.0,0.0,1.0,0.0,0.0,182.0,0.0,0.0,326.0
3981,36,14.0,Heppner Jens,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3982,36,15.0,O'Grady Stuart,2010,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0
3983,36,19.0,Voigt Jens,2008,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
3984,36,22.0,Guerini Giuseppe,2006,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
3985,36,23.0,Bennati Daniele,2017,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0
3986,36,23.0,Honchar Serhiy,2006,0.0,46.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,116.0
3987,36,24.0,Lombardi Giovanni,2005,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0
3988,36,25.0,Leipheimer Levi,2010,28.0,70.0,0.0,4.0,0.0,0.0,100.0,0.0,0.0,202.0
3989,36,26.0,Henderson Gregory,2013,0.0,4.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,49.0
3990,36,28.0,Podenzana Massimo,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3991,36,31.0,Evans Cadel,2013,0.0,3.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,51.0
3992,36,38.0,Goubert Stephane,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3993,36,46.0,Moinard Ama\xebl,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3994,36,49.0,Zubeldia Haimar,2013,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
3995,36,53.0,Dean Julian,2011,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
3996,36,58.0,Wauters Marc,2005,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
3997,36,61.0,Moreau Christophe,2007,0.0,14.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,71.0
3998,36,62.0,Arrieta Jose Luis,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3999,36,63.0,Elli Alberto,2000,0.0,40.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,83.0
4000,36,63.0,Irizar Markel,2016,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
4001,36,64.0,Rast Gregory,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4002,36,65.0,Schleck Fr\xe4nk,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4003,36,66.0,Martinello Silvio,1999,0.0,0.0,1.0,52.0,0.0,0.0,165.0,0.0,0.0,218.0
4004,36,67.0,Mori Manuele,2017,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
4005,36,68.0,Vande Velde Christian,2012,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0
4006,36,74.0,Hincapie George,2009,18.0,9.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,105.0
4007,36,74.0,Kl\xf6den Andr\xe9as,2011,0.0,47.0,0.0,3.0,0.0,0.0,89.0,0.0,0.0,139.0
4008,36,81.0,Peraud Jean-Christophe,2013,0.0,10.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,54.0
4009,36,82.0,Albasini Michael,2017,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0
4010,36,91.0,Rodr\xedguez Joaquim,2015,0.0,0.0,0.0,7.0,0.0,61.0,125.0,0.0,4.0,197.0
4011,36,93.0,Cummings Stephen,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
