Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
29,48.247,173,150,+0:39,,Etxebarria David,150,Euskaltel - Euskadi,",, 0:39",0,2003
26,48.247,176,151,+0:39,,Landaluze Inigo,151,Euskaltel - Euskadi,",, 0:39",0,2003
31,48.247,177,152,+0:39,,Lopez De Munain Alberto,152,Euskaltel - Euskadi,",, 0:39",0,2003
36,48.247,192,153,+0:39,,Bolts Udo,153,Gerolsteiner,",, 0:39",0,2003
24,48.247,25,154,+0:39,,Kessler Matthias,154,Team Telekom,",, 0:39",0,2003
27,48.247,54,155,+0:39,,Di Luca Danilo,155,Saeco,",, 0:39",0,2003
35,48.247,113,156,+0:40,,Bramati Davide,156,Quickstep - Davitamon,",, 0:39",0,2003
27,48.247,87,157,+0:40,,Montgomery Sven,157,Fassa Bortolo,",, 0:39",0,2003
30,48.247,18,158,+0:40,,Serrano Marcos Antonio,158,O.N.C.E. - Eroski,",, 0:39",0,2003
24,48.148,105,159,+0:40,,Munoz David,159,Kelme - Costa Blanca,0:40 0:40,0,2003
31,48.148,86,160,+0:40,,Loda Nicola,160,Fassa Bortolo,",, 0:40",0,2003
34,48.148,175,161,+0:40,,Laiseka jaio Roberto,161,Euskaltel - Euskadi,",, 0:40",0,2003
34,48.148,23,162,+0:41,,Aldag Rolf,162,Team Telekom,",, 0:40",0,2003
28,48.148,164,163,+0:41,,Hauptman Andrej,163,Vini Calderola - So.di,",, 0:40",0,2003
26,48.049,128,164,+0:41,,Poilvet Benoit,164,Cr\xe9dit Agricole,0:41 0:41,0,2003
27,48.049,57,165,+0:41,,Ludewig Jorg,165,Saeco,",, 0:41",0,2003
33,48.049,142,166,+0:41,,Baguet Serge,166,Lotto - Domo,",, 0:41",0,2003
26,48.049,169,167,+0:41,,Zampieri Steve,167,Vini Calderola - So.di,",, 0:41",0,2003
28,47.951,22,169,+0:42,,Aerts Mario,168,Team Telekom,0:42 0:42,0,2003
29,47.951,46,168,+0:42,,Lotz Marc,169,Rabobank ProTeam,",, 0:42",0,2003
25,47.951,206,170,+0:42,,Furlan Angelo,170,Alessio,",, 0:42",0,2003
30,47.951,77,171,+0:42,,Piil Jakob,171,CSC ProTeam,",, 0:42",0,2003
30,47.853,146,172,+0:43,,Merckx Axel,172,Lotto - Domo,0:43 0:43,0,2003
30,47.853,75,173,+0:43,,Luttenberger Peter,173,CSC ProTeam,",, 0:43",0,2003
34,47.853,59,174,+0:43,,Zanini Stefano,174,Saeco,",, 0:43",0,2003
32,47.755,3,175,+0:45,,Beltran Manuel,175,US Postal Service,0:44 0:44,0,2003
33,47.755,212,176,+0:45,,Bourquenoud Pierre,176,Jean Delatour,",, 0:44",0,2003
34,47.658,208,177,+0:45,,Noe Andrea,177,Alessio,0:45 0:45,0,2003
26,47.56100000000001,109,178,+0:46,,Usano martinez Julian,178,Kelme - Costa Blanca,0:46 0:46,0,2003
29,47.56100000000001,124,179,+0:46,,Hinault S\xe9bastien,179,Cr\xe9dit Agricole,",, 0:46",0,2003
29,47.56100000000001,186,180,+0:46,,Nazon Damien,180,Brioches La Boulang\xe8re,",, 0:46",0,2003
33,47.56100000000001,216,181,+0:46,,Goubert Stephane,181,Jean Delatour,",, 0:46",0,2003
26,47.465,172,182,+0:47,,Artetxe Mikel,182,Euskaltel - Euskadi,0:47 0:47,0,2003
32,47.465,69,183,+0:47,,Vasseur C\xe9dric,183,Cofidis,",, 0:47",0,2003
34,47.465,63,184,+0:48,,Cuesta \xcd\xf1igo,184,Cofidis,",, 0:47",0,2003
26,47.368,143,185,+0:48,,Brandt Christophe,185,Lotto - Domo,0:48 0:48,0,2003
22,47.273,213,186,+0:49,,Dumoulin Samuel,186,Jean Delatour,0:49 0:49,0,2003
23,47.273,184,187,+0:49,,Geslin Anthony,187,Brioches La Boulang\xe8re,",, 0:49",0,2003
32,47.273,55,188,+0:50,,Fornaciari Paolo,188,Saeco,",, 0:49",0,2003
28,47.177,56,189,+0:50,,Glomser Gerrit,189,Saeco,0:50 0:50,0,2003
26,47.082,205,190,+0:51,,Ferrara Raffaele,190,Alessio,0:51 0:51,0,2003
27,47.082,126,191,+0:51,,Jegou Lilian,191,Cr\xe9dit Agricole,",, 0:51",0,2003
24,46.988,189,192,+0:52,,Voeckler Thomas,192,Brioches La Boulang\xe8re,0:52 0:52,0,2003
34,46.707,144,193,+0:55,,De Clercq Hans,193,Lotto - Domo,0:55 0:55,0,2003
26,46.614,62,194,+0:57,,Clain M\xe9d\xe9ric,194,Cofidis,0:56 0:56,0,2003
29,46.521,67,195,+0:57,,Perez Luis,195,Cofidis,0:57 0:57,0,2003
28,45.972,122,196,+1:03,,Auge St\xe9phane,196,Cr\xe9dit Agricole,1:03 1:03,0,2003
31,45.882,145,197,+1:04,,Gates Nick,197,Lotto - Domo,1:04 1:04,0,2003
31,45.703,203,198,+1:06,,Bertolini Alessandro,198,Alessio,1:06 1:06,0,2003
29,,88,27,+0:19,100.0,Petacchi Alessandro,1,Fassa Bortolo,3:44:33 3:44:33,1,2003
