Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
31,83,+8:57,100,Wegmann Fabian,83,Team Garmin - Barracuda,8:57 8:57,+0:00,\u25b217,2,2012
28,84,+8:59,87,Dall'Antonia Tiziano,84,Liquigas - Cannondale,8:59 8:59,+1:03,\u25b23,2,2012
30,85,+8:59,101,Wynants Maarten,85,Rabobank Cycling Team,",, 8:59",+0:00,\u25b216,2,2012
24,86,+9:03,108,Swift Ben,86,Sky Procycling,9:03 9:03,+-1:53,\u25b222,2,2012
32,87,+9:06,106,Rast Gregory,87,RadioShack - Nissan,9:06 9:06,+0:00,\u25b219,2,2012
32,88,+9:07,94,Nuyens Nick,88,Team Saxo Bank - Tinkoff Bank,9:07 9:07,+0:24,\u25b26,2,2012
24,89,+9:15,96,Howes Alex,89,Team Garmin - Barracuda,9:15 9:15,+0:28,\u25b27,2,2012
31,90,+9:19,109,Davis Allan,90,Orica GreenEDGE,9:19 9:19,+0:00,\u25b219,2,2012
32,91,+9:21,24,Kessiakoff Fredrik,91,Astana Pro Team,9:21 9:21,+7:42,\u25bc67,2,2012
24,92,+9:25,110,Bonnafond Guillaume,92,AG2R La Mondiale,9:25 9:25,+-1:55,\u25b218,2,2012
27,93,+9:52,34,K\xfcnzli Raimond,93,Spidertech Powered by C10,9:52 9:52,+7:42,\u25bc59,2,2012
33,94,+9:55,112,Elmiger Martin,94,AG2R La Mondiale,9:55 9:55,+0:00,\u25b218,2,2012
27,95,+10:08,40,Possoni Morris,95,Lampre - ISD,10:08 10:08,+7:42,\u25bc55,2,2012
33,96,+10:25,120,Cooke Baden,96,Orica GreenEDGE,10:25 10:25,+-1:51,\u25b224,2,2012
28,97,+10:33,117,Montaguti Matteo,97,AG2R La Mondiale,10:33 10:33,+0:00,\u25b220,2,2012
28,98,+10:33,118,Haussler Heinrich,98,Team Garmin - Barracuda,",, 10:33",+0:00,\u25b220,2,2012
31,99,+10:34,119,Bazayev Assan,99,Astana Pro Team,10:34 10:34,+0:00,\u25b220,2,2012
30,100,+10:35,121,Mondory Lloyd,100,AG2R La Mondiale,10:35 10:35,+0:00,\u25b221,2,2012
35,101,+10:36,48,Zandio Xabier,101,Sky Procycling,10:36 10:36,+7:42,\u25bc53,2,2012
38,102,+10:39,122,Petacchi Alessandro,102,Lampre - ISD,10:39 10:39,+0:00,\u25b220,2,2012
27,103,+10:44,113,Langeveld Sebastian,103,Orica GreenEDGE,10:44 10:44,+0:24,\u25b210,2,2012
34,104,+10:51,125,Hayman Mathew,104,Sky Procycling,10:51 10:51,+0:00,\u25b221,2,2012
31,105,+10:52,126,Boonen Tom,105,Omega Pharma - Quick-Step,10:52 10:52,+0:00,\u25b221,2,2012
30,106,+10:54,127,Perez Ruben,106,Euskaltel - Euskadi,10:54 10:54,+0:00,\u25b221,2,2012
30,107,+10:57,50,Vandborg Brian,107,Spidertech Powered by C10,10:57 10:57,+7:42,\u25bc57,2,2012
24,108,+11:09,124,Sicard Romain,108,Euskaltel - Euskadi,11:09 11:09,+0:28,\u25b216,2,2012
28,109,+11:16,128,Hutarovich Yauheni,109,FDJ - BigMat,11:16 11:16,+0:00,\u25b219,2,2012
22,110,+12:39,129,Sagan Peter,110,Liquigas - Cannondale,12:39 12:39,+-1:47,\u25b219,2,2012
24,111,+12:40,63,Bille Gaetan,111,Lotto Belisol Team,12:40 12:40,+7:42,\u25bc48,2,2012
28,112,+12:47,66,Megias Javier,112,Team Type 1 - SANOFI,12:47 12:47,+7:42,\u25bc46,2,2012
28,113,+12:57,90,Nordhaug Lars Petter,113,Sky Procycling,12:57 12:57,+4:23,\u25bc23,2,2012
30,114,+13:09,70,Efimkin Alexander,114,Team Type 1 - SANOFI,13:09 13:09,+7:42,\u25bc44,2,2012
31,115,+13:30,130,Cancellara Fabian,115,RadioShack - Nissan,13:30 13:30,+0:28,\u25b215,2,2012
25,116,+13:39,131,Boeckmans Kris,116,Vacansoleil - DCM,13:39 13:39,+0:00,\u25b215,2,2012
36,117,+13:46,132,Kroon Karsten,117,Team Saxo Bank - Tinkoff Bank,13:46 13:46,+0:00,\u25b215,2,2012
27,118,+13:50,134,Breschel Matti,118,Rabobank Cycling Team,13:50 13:50,+0:00,\u25b216,2,2012
22,119,+13:53,136,Rowe Luke,119,Sky Procycling,13:53 13:53,+0:00,\u25b217,2,2012
29,120,+13:53,137,King Edward,120,Liquigas - Cannondale,",, 13:53",+0:00,\u25b217,2,2012
28,121,+14:02,140,Farrar Tyler,121,Team Garmin - Barracuda,14:02 14:02,+0:00,\u25b219,2,2012
27,122,+14:03,141,Bazzana Alessandro,122,Team Type 1 - SANOFI,14:03 14:03,+0:00,\u25b219,2,2012
