Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,,87,119.0,+13:35,,Venter Jaco,116,MTN - Qhubeka,12:09 12:09,,2,2015
31,,73,120.0,+16:13,,Chainel Steve,117,"Cofidis, Solutions Cr\xe9dits",",, 12:09",,2,2015
31,,74,121.0,+16:23,,Lemoine Cyril,118,"Cofidis, Solutions Cr\xe9dits",",, 12:09",,2,2015
21,,77,118.0,+13:09,,S\xe9n\xe9chal Florian,119,"Cofidis, Solutions Cr\xe9dits",",, 12:09",,2,2015
34,,35,116.0,+12:19,,Steegmans Gert,120,Trek Factory Racing,",, 12:09",,2,2015
35,,34,117.0,+12:19,,Rast Gregory,121,Trek Factory Racing,",, 12:09",,2,2015
31,,148,122.0,+18:03,,Richeze Ariel Maximiliano,122,Lampre - Merida,",, 12:09",,2,2015
27,,174,135.0,+26:27,,Pirazzi Stefano,123,Bardiani - CSF Pro Team,23:48 23:48,,2,2015
31,,154,128.0,+24:44,,Devenyns Dries,124,IAM Cycling,",, 23:48",,2,2015
35,,33,129.0,+24:48,,Popovych Yaroslav,125,Trek Factory Racing,",, 23:48",,2,2015
24,,166,130.0,+24:50,,Schwarzmann Michael,126,Bora - Argon 18,",, 23:48",,2,2015
24,,25,133.0,+25:14,,Hansen Jesper,127,Tinkoff - Saxo,",, 23:48",,2,2015
34,,137,139.0,+30:32,,Mouris Jens,128,Orica GreenEDGE,",, 23:48",,2,2015
32,,98,123.0,+23:58,,Westra Lieuwe,129,Astana Pro Team,",, 23:48",,2,2015
24,,85,126.0,+24:23,,Sbaragli Kristian,130,MTN - Qhubeka,",, 23:48",,2,2015
