Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
39,36,Schar Michael,26,BMC Racing Team,,,7.0,+0:25,",, ,,",2013,5
40,48,Soupe Geoffrey,24,FDJ.fr,,,71.0,+16:50,",, ,,",2013,5
41,86,Sinkeldam Ramon,23,Team Argos - Shimano,,,56.0,+2:42,",, ,,",2013,5
42,68,Muravyev Dmitriy,33,Astana Pro Team,,,61.0,+3:32,",, ,,",2013,5
43,94,Dall'Antonia Tiziano,29,Cannondale Pro Cycling Team,,,24.0,+0:49,",, ,,",2013,5
44,42,Boucher David,32,FDJ.fr,,,92.0,+18:02,",, ,,",2013,5
45,3,Stybar Zdenek,27,Omega Pharma - Quick-Step,,,12.0,+0:35,",, ,,",2013,5
46,134,Eichler Markus,30,Team NetApp \u2013 Endura,,,94.0,+18:12,",, ,,",2013,5
47,132,Dempster Zakkari,25,Team NetApp \u2013 Endura,,,47.0,+1:51,",, ,,",2013,5
48,75,Goddaert Kristof,26,IAM Cycling,,,79.0,+17:04,",, ,,",2013,5
49,18,Thomas Geraint,26,Sky Procycling,,,10.0,+0:30,",, ,,",2013,5
50,11,Boasson Hagen Edvald,25,Sky Procycling,,,8.0,+0:29,",, ,,",2013,5
51,73,Elmiger Martin,34,IAM Cycling,,,28.0,+0:53,",, ,,",2013,5
52,125,Markus Barry,21,Vacansoleil - DCM,,,80.0,+17:06,",, ,,",2013,5
53,176,Suzuki Yuzuru,27,Japan,,,105.0,+18:30,",, ,,",2013,5
54,92,Bodnar Maciej,27,Cannondale Pro Cycling Team,,,73.0,+16:59,",, ,,",2013,5
55,173,Mori Kazuhiro,30,Japan,,,98.0,+18:15,",, ,,",2013,5
56,106,Houle Hugo,22,AG2R La Mondiale,,,111.0,+19:12,",, ,,",2013,5
57,146,Porsev Alexander,26,Team Katusha,,,17.0,+0:40,",, ,,",2013,5
58,148,Smukulis Gatis,25,Team Katusha,,,34.0,+0:58,",, ,,",2013,5
59,54,Jorgensen Jonas Aaen,26,Team Saxo - Tinkoff,,,25.0,+0:51,",, ,,",2013,5
60,16,Stannard Ian,25,Sky Procycling,,,26.0,+0:51,",, ,,",2013,5
61,26,Rast Gregory,33,RadioShack - Leopard,,,46.0,+1:47,",, ,,",2013,5
62,14,Rasch Gabriel,36,Sky Procycling,,,59.0,+3:07,",, ,,",2013,5
63,83,Curvers Roy,33,Team Argos - Shimano,,,40.0,+1:16,",, ,,",2013,5
64,155,Jiao Pengda,26,Champion System Pro Cycling Team,,,101.0,+18:25,",, ,,",2013,5
65,63,Grivko Andrei,29,Astana Pro Team,,,19.0,+0:47,",, ,,",2013,5
66,96,Koren Kristijan,26,Cannondale Pro Cycling Team,,,91.0,+17:58,",, ,,",2013,5
67,25,Popovych Yaroslav,33,RadioShack - Leopard,,,45.0,+1:38,",, ,,",2013,5
68,174,Nishitani Taiji,32,Japan,,,97.0,+18:15,",, ,,",2013,5
69,93,Boivin Guillaume,23,Cannondale Pro Cycling Team,,,114.0,+19:20,",, ,,",2013,5
