Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
30,54,+3:45,46.0,Knees Christian,54,Sky Procycling,",, 3:45",+1:58,,\u25bc8,4,2012
26,55,+3:49,48.0,Sabatini Fabio,55,Liquigas - Cannondale,3:49 3:49,+1:58,,\u25bc7,4,2012
27,56,+3:49,49.0,Marangoni Alan,56,Liquigas - Cannondale,",, 3:49",+1:58,,\u25bc7,4,2012
32,57,+3:50,59.0,Bak Lars Ytting,57,Lotto Belisol Team,3:50 3:50,+1:55,,\u25b22,4,2012
32,58,+3:50,53.0,Irizar Markel,58,RadioShack - Nissan,",, 3:50",+1:58,,\u25bc5,4,2012
28,59,+3:52,54.0,Beppu Fumiyuki,59,Orica GreenEDGE,3:52 3:52,+1:58,,\u25bc5,4,2012
26,60,+3:52,55.0,Kohler Martin,60,BMC Racing Team,",, 3:52",+1:58,,\u25bc5,4,2012
31,61,+3:52,56.0,Mouris Jens,61,Orica GreenEDGE,",, 3:52",+1:58,,\u25bc5,4,2012
26,62,+3:53,89.0,Wyss Danilo,62,BMC Racing Team,3:53 3:53,+1:07,,\u25b227,4,2012
25,63,+3:53,90.0,Schar Michael,63,BMC Racing Team,",, 3:53",+1:07,,\u25b227,4,2012
32,64,+3:53,61.0,Brown Graeme,64,Rabobank Cycling Team,",, 3:53",+1:58,,\u25bc3,4,2012
23,65,+3:59,64.0,Soupe Geoffrey,65,FDJ - BigMat,3:59 3:59,+1:58,,\u25bc1,4,2012
35,66,+3:59,68.0,Rasch Gabriel,66,FDJ - BigMat,",, 3:59",+1:58,,\u25b22,4,2012
27,67,+3:59,70.0,Ladagnous Matthieu,67,FDJ - BigMat,",, 3:59",+1:58,,\u25b23,4,2012
31,68,+4:05,94.0,Davis Allan,68,Orica GreenEDGE,4:05 4:05,+1:07,,\u25b226,4,2012
22,69,+4:07,75.0,Guardini Andrea,69,Farnese Vini-Neri-Sottoli,4:07 4:07,+1:58,,\u25b26,4,2012
30,70,+4:07,78.0,Caccia Diego,70,Farnese Vini-Neri-Sottoli,",, 4:07",+1:58,,\u25b28,4,2012
30,71,+4:14,80.0,Sohrabi Mehdi,71,Lotto Belisol Team,4:14 4:14,+1:58,,\u25b29,4,2012
26,72,+4:20,82.0,Bauer Jack,72,Team Garmin - Barracuda,4:20 4:20,+1:58,,\u25b210,4,2012
26,73,+4:21,72.0,Kluge Roger,73,Argos - Shimano,4:21 4:21,+2:19,,\u25bc1,4,2012
23,74,+4:28,83.0,Bertolini Thomas,74,Farnese Vini-Neri-Sottoli,4:28 4:28,+1:58,,\u25b29,4,2012
25,75,+4:30,84.0,De Negri Pier Paolo,75,Farnese Vini-Neri-Sottoli,4:30 4:30,+1:58,,\u25b29,4,2012
30,76,+4:33,81.0,Da Dalto Mauro,76,Liquigas - Cannondale,4:33 4:33,+2:14,,\u25b25,4,2012
20,77,+4:36,97.0,Rathe Jacob,77,Team Garmin - Barracuda,4:36 4:36,+1:13,,\u25b220,4,2012
28,78,+4:39,85.0,Kemps Aaron,78,Champion System Pro Cycling Team,4:39 4:39,+1:58,,\u25b27,4,2012
26,79,+4:39,87.0,van Emden Jos,79,Rabobank Cycling Team,",, 4:39",+1:58,,\u25b28,4,2012
31,80,+4:39,86.0,Gardeyn Gorik,80,Champion System Pro Cycling Team,",, 4:39",+1:58,,\u25b26,4,2012
31,81,+4:44,88.0,Longo Borghini Paolo,81,Liquigas - Cannondale,4:44 4:44,+1:58,,\u25b27,4,2012
26,82,+4:47,92.0,Lebas Thomas,82,Team Bridgestone Anchor,4:47 4:47,+1:58,,\u25b210,4,2012
26,83,+4:49,66.0,Delage Micka\xebl,83,FDJ - BigMat,4:49 4:49,+2:48,,\u25bc17,4,2012
33,84,+4:54,93.0,Hulsmans Kevin,84,Farnese Vini-Neri-Sottoli,4:54 4:54,+1:58,,\u25b29,4,2012
25,85,+5:05,104.0,van Genechten Jonas,85,Lotto Belisol Team,5:05 5:05,+1:07,,\u25b219,4,2012
25,86,+5:05,42.0,Isaychev Vladimir,86,Team Katusha,",, 5:05",+3:18,,\u25bc44,4,2012
38,87,+5:10,96.0,McCann David,87,RTS Racing Team,5:10 5:10,+1:58,,\u25b29,4,2012
32,88,+5:22,74.0,Curvers Roy,88,Argos - Shimano,5:22 5:22,+3:18,,\u25bc14,4,2012
37,89,+5:23,98.0,Hunt Jeremy,89,Sky Procycling,5:23 5:23,+1:58,,\u25b29,4,2012
32,90,+5:28,99.0,Rast Gregory,90,RadioShack - Nissan,5:28 5:28,+1:58,,\u25b29,4,2012
30,91,+5:29,101.0,Posthuma Joost,91,RadioShack - Nissan,5:29 5:29,+1:58,,\u25b210,4,2012
27,92,+5:44,103.0,Vandenbergh Stijn,92,Omega Pharma - Quick-Step,5:44 5:44,+1:57,,\u25b211,4,2012
24,93,+6:42,106.0,Galimzyanov Denis,93,Team Katusha,6:42 6:42,+1:58,,\u25b213,4,2012
28,94,+6:48,76.0,Ascani Luca,94,Farnese Vini-Neri-Sottoli,6:48 6:48,+4:39,,\u25bc18,4,2012
30,95,+7:17,22.0,Hansen Adam,95,Lotto Belisol Team,7:17 7:17,+6:51,,\u25bc73,4,2012
22,96,+7:29,107.0,Debusschere Jens,96,Lotto Belisol Team,7:29 7:29,+1:58,,\u25b211,4,2012
30,97,+8:12,34.0,Ojavee Mart,97,Champion System Pro Cycling Team,8:12 8:12,+6:51,,\u25bc63,4,2012
23,98,+8:20,35.0,Lemair Alexandre,98,Team Bridgestone Anchor,8:20 8:20,+6:51,,\u25bc63,4,2012
28,99,+8:29,17.0,Wagner Robert,99,RadioShack - Nissan,8:29 8:29,+8:06,,\u25bc82,4,2012
24,100,+8:38,41.0,Smukulis Gatis,100,Team Katusha,8:38 8:38,+6:51,,\u25bc59,4,2012
26,101,+8:42,50.0,Bodnar Maciej,101,Liquigas - Cannondale,8:42 8:42,+6:51,,\u25bc51,4,2012
31,102,+8:42,51.0,Vanotti Alessandro,102,Liquigas - Cannondale,",, 8:42",+6:51,,\u25bc51,4,2012
30,103,+9:38,91.0,Shimizu Miyataka,103,Team Bridgestone Anchor,9:38 9:38,+6:49,,\u25bc12,4,2012
32,104,+11:37,100.0,Popovych Yaroslav,104,RadioShack - Nissan,11:37 11:37,+8:06,,\u25bc4,4,2012
