Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
30,75,3.0,27.0,Paterski Maciej,27,CCC Sprandi Polkowice,,-,10,2017
27,79,3.0,28.0,Tratnik Jan,28,CCC Sprandi Polkowice,,-,10,2017
25,214,3.0,29.0,Fonzi Giuseppe,29,Wilier Triestina - Selle Italia,,-,10,2017
29,96,3.0,30.0,Rovny Ivan,30,Gazprom-RusVelo,,-,10,2017
24,131,2.0,31.0,Jungels Bob,31,Quick-Step Floors,,-,10,2017
30,26,2.0,32.0,Kangert Tanel,32,Astana Pro Team,,-,10,2017
24,202,2.0,33.0,Conti Valerio,33,UAE Team Emirates,,-,10,2017
33,19,2.0,34.0,Montaguti Matteo,34,AG2R La Mondiale,,-,10,2017
25,199,2.0,35.0,Stuyven Jasper,35,Trek - Segafredo,,-,10,2017
33,94,2.0,36.0,Kozonchuk Dmitry,36,Gazprom-RusVelo,,-,10,2017
24,121,1.0,37.0,Yates Adam,37,ORICA-Scott,,-,10,2017
30,3,1.0,38.0,Boaro Manuele,38,Bahrain Merida Pro Cycling Team,,-,10,2017
31,77,1.0,39.0,Samoilau Branislau,39,CCC Sprandi Polkowice,,-,10,2017
26,215,1.0,40.0,Koshevoy Ilia,40,Wilier Triestina - Selle Italia,,-,10,2017
33,72,1.0,41.0,Bialoblocki Marcin,41,CCC Sprandi Polkowice,,-,10,2017
25,209,44.0,1.0,Polanc Jan,1,UAE Team Emirates,,-,11,2017
26,144,44.0,13.0,Fraile Omar,2,Team Dimension Data,,\u25b211,11,2017
27,111,35.0,2.0,Quintana Nairo,3,Movistar Team,,\u25bc1,11,2017
26,81,27.0,3.0,Pinot Thibaut,4,FDJ,,\u25bc1,11,2017
28,148,23.0,4.0,Teklehaimanot Daniel,5,Team Dimension Data,,\u25bc1,11,2017
21,133,22.0,,De Plus Laurens,6,Quick-Step Floors,,-,11,2017
27,151,19.0,5.0,Zakarin Ilnur,7,Team Katusha - Alpecin,,\u25bc2,11,2017
33,27,18.0,6.0,Sanchez Luis Leon,8,Astana Pro Team,,\u25bc2,11,2017
30,61,17.0,20.0,Rolland Pierre,9,Cannondale-Drapac Pro Cycling Team,,\u25b211,11,2017
26,181,16.0,7.0,Dumoulin Tom,10,Team Sunweb,,\u25bc3,11,2017
29,146,15.0,8.0,Janse van Rensburg Jacques,11,Team Dimension Data,,\u25bc3,11,2017
23,33,15.0,9.0,Andreetta Simone,12,Bardiani - CSF,,\u25bc3,11,2017
30,179,12.0,10.0,Thomas Geraint,13,Team Sky,,\u25bc3,11,2017
29,52,9.0,11.0,Benedetti Cesare,14,BORA - hansgrohe,,\u25bc3,11,2017
30,191,9.0,12.0,Mollema Bauke,15,Trek - Segafredo,,\u25bc3,11,2017
25,58,8.0,14.0,P\xf6stlberger Lukas,16,BORA - hansgrohe,,\u25bc2,11,2017
32,22,8.0,19.0,Cataldo Dario,17,Astana Pro Team,,\u25b22,11,2017
34,9,8.0,15.0,Visconti Giovanni,18,Bahrain Merida Pro Cycling Team,,\u25bc3,11,2017
27,171,8.0,,Landa Mikel,19,Team Sky,,-,11,2017
34,142,8.0,,Anton Igor,20,Team Dimension Data,,-,11,2017
25,68,7.0,17.0,Villella Davide,21,Cannondale-Drapac Pro Cycling Team,,\u25bc4,11,2017
35,92,7.0,16.0,Brutt Pavel,22,Gazprom-RusVelo,,\u25bc6,11,2017
32,1,6.0,18.0,Nibali Vincenzo,23,Bahrain Merida Pro Cycling Team,,\u25bc5,11,2017
30,201,6.0,,Costa Rui,24,UAE Team Emirates,,-,11,2017
26,43,6.0,21.0,Dillier Silvan,25,BMC Racing Team,,\u25bc4,11,2017
27,219,6.0,22.0,Zhupa Eugert,26,Wilier Triestina - Selle Italia,,\u25bc4,11,2017
25,98,6.0,23.0,Shalunov Evgeny,27,Gazprom-RusVelo,,\u25bc4,11,2017
34,11,4.0,24.0,Pozzovivo Domenico,28,AG2R La Mondiale,,\u25bc4,11,2017
37,127,4.0,,Plaza Rub\xe9n,29,ORICA-Scott,,-,11,2017
29,96,4.0,30.0,Rovny Ivan,30,Gazprom-RusVelo,,-,11,2017
26,192,4.0,26.0,Alafaci Eugenio,31,Trek - Segafredo,,\u25bc5,11,2017
27,79,3.0,28.0,Tratnik Jan,32,CCC Sprandi Polkowice,,\u25bc4,11,2017
30,75,3.0,27.0,Paterski Maciej,33,CCC Sprandi Polkowice,,\u25bc6,11,2017
25,214,3.0,29.0,Fonzi Giuseppe,34,Wilier Triestina - Selle Italia,,\u25bc5,11,2017
30,26,3.0,32.0,Kangert Tanel,35,Astana Pro Team,,\u25bc3,11,2017
24,131,2.0,31.0,Jungels Bob,36,Quick-Step Floors,,\u25bc5,11,2017
33,19,2.0,34.0,Montaguti Matteo,37,AG2R La Mondiale,,\u25bc3,11,2017
31,118,2.0,,Rojas Jos\xe9 Joaqu\xedn,38,Movistar Team,,-,11,2017
24,202,2.0,33.0,Conti Valerio,39,UAE Team Emirates,,\u25bc6,11,2017
25,199,2.0,35.0,Stuyven Jasper,40,Trek - Segafredo,,\u25bc5,11,2017
33,94,2.0,36.0,Kozonchuk Dmitry,41,Gazprom-RusVelo,,\u25bc5,11,2017
24,121,1.0,37.0,Yates Adam,42,ORICA-Scott,,\u25bc5,11,2017
30,3,1.0,38.0,Boaro Manuele,43,Bahrain Merida Pro Cycling Team,,\u25bc5,11,2017
31,77,1.0,39.0,Samoilau Branislau,44,CCC Sprandi Polkowice,,\u25bc5,11,2017
33,72,1.0,41.0,Bialoblocki Marcin,45,CCC Sprandi Polkowice,,\u25bc4,11,2017
26,215,1.0,40.0,Koshevoy Ilia,46,Wilier Triestina - Selle Italia,,\u25bc6,11,2017
26,144,49.0,2.0,Fraile Omar,1,Team Dimension Data,,\u25b21,12,2017
25,209,46.0,1.0,Polanc Jan,2,UAE Team Emirates,,\u25bc1,12,2017
27,111,35.0,3.0,Quintana Nairo,3,Movistar Team,,-,12,2017
26,81,27.0,4.0,Pinot Thibaut,4,FDJ,,-,12,2017
28,148,23.0,5.0,Teklehaimanot Daniel,5,Team Dimension Data,,-,12,2017
21,133,22.0,6.0,De Plus Laurens,6,Quick-Step Floors,,-,12,2017
27,151,19.0,7.0,Zakarin Ilnur,7,Team Katusha - Alpecin,,-,12,2017
