Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
32,41,29.0,9.0,Gilbert Philippe,12,BMC Racing Team,\u25bc3,7,2015
27,94,29.0,14.0,Modolo Sacha,13,Lampre - Merida,\u25b21,7,2015
22,156,27.0,8.0,Formolo Davide,14,Team Cannondale - Garmin,\u25bc6,7,2015
26,161,26.0,12.0,Mezgec Luka,15,Team Giant - Alpecin,\u25bc3,7,2015
41,148,26.0,11.0,Petacchi Alessandro,16,Southeast,\u25bc5,7,2015
28,134,26.0,10.0,Clarke Simon,17,Orica GreenEDGE,\u25bc7,7,2015
24,131,25.0,13.0,Matthews Michael,18,Orica GreenEDGE,\u25bc5,7,2015
34,136,25.0,,Gerrans Simon,19,Orica GreenEDGE,-,7,2015
22,126,24.0,15.0,Grosu Eduard Michael,20,Nippo - Vini Fantini,\u25bc5,7,2015
34,57,24.0,16.0,Rutkiewicz Marek,21,CCC Sprandi Polkowice,\u25bc5,7,2015
25,34,24.0,,Boem Nicola,22,Bardiani - CSF Pro Team,-,7,2015
35,81,23.0,17.0,Chavanel Sylvain,23,IAM Cycling,\u25bc6,7,2015
24,36,22.0,30.0,Colbrelli Sonny,24,Bardiani - CSF Pro Team,\u25b26,7,2015
25,215,22.0,29.0,Felline Fabio,25,Trek Factory Racing,\u25b24,7,2015
24,21,21.0,18.0,Aru Fabio,26,Astana Pro Team,\u25bc8,7,2015
26,18,20.0,19.0,Tvetcov Serghei,27,Androni Giocattoli - Sidermec,\u25bc8,7,2015
25,186,20.0,21.0,Lindeman Bert-Jan,28,Team LottoNL-Jumbo,\u25bc7,7,2015
25,149,20.0,22.0,Zhupa Eugert,29,Southeast,\u25bc7,7,2015
25,12,19.0,27.0,Appollonio Davide,30,Androni Giocattoli - Sidermec,\u25bc3,7,2015
33,48,17.0,24.0,Moinard Ama\xebl,31,BMC Racing Team,\u25bc7,7,2015
25,33,17.0,52.0,Battaglin Enrico,32,Bardiani - CSF Pro Team,\u25b220,7,2015
28,125,16.0,,De Negri Pier Paolo,33,Nippo - Vini Fantini,-,7,2015
25,147,16.0,25.0,Monsalve Yonathan,34,Southeast,\u25bc9,7,2015
32,119,14.0,26.0,Visconti Giovanni,35,Movistar Team,\u25bc9,7,2015
29,52,14.0,42.0,Bole Grega,36,CCC Sprandi Polkowice,\u25b26,7,2015
34,175,13.0,38.0,Lagutin Sergey,37,Team Katusha,\u25b21,7,2015
27,55,12.0,,Mihaylov Nikolay,38,CCC Sprandi Polkowice,-,7,2015
37,28,12.0,28.0,Tiralongo Paolo,39,Astana Pro Team,\u25bc11,7,2015
26,77,11.0,49.0,R\xe9za K\xe9vin,40,FDJ,\u25b29,7,2015
32,201,10.0,31.0,Contador Alberto,41,Tinkoff - Saxo,\u25bc10,7,2015
25,56,10.0,33.0,Owsian Lukasz,42,CCC Sprandi Polkowice,\u25bc9,7,2015
23,122,10.0,32.0,Berlato Giacomo,43,Nippo - Vini Fantini,\u25bc11,7,2015
27,128,8.0,35.0,Malaguti Alessandro,44,Nippo - Vini Fantini,\u25bc9,7,2015
24,4,8.0,34.0,Domont Axel,45,AG2R La Mondiale,\u25bc11,7,2015
30,191,7.0,36.0,Porte Richie,46,Team Sky,\u25bc10,7,2015
30,22,7.0,37.0,Cataldo Dario,47,Astana Pro Team,\u25bc10,7,2015
24,38,7.0,39.0,Ruffoni Nicola,48,Bardiani - CSF Pro Team,\u25bc9,7,2015
25,133,6.0,40.0,Chaves Johan Esteban,49,Orica GreenEDGE,\u25bc9,7,2015
27,185,6.0,41.0,Keizer Martijn,50,Team LottoNL-Jumbo,\u25bc9,7,2015
30,146,6.0,46.0,Gavazzi Francesco,51,Southeast,\u25bc5,7,2015
30,157,6.0,43.0,Marangoni Alan,52,Team Cannondale - Garmin,\u25bc9,7,2015
