Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,,,+0:00,,Sanchez Luis Leon,15,Rabobank Cycling Team,",, 0:25",,1,2011
28,,,+0:00,,Siutsou Kanstantsin,16,HTC - High Road,",, 0:25",,1,2011
26,,,+0:00,,S\xf8rensen Chris Anker,17,Saxo Bank - Sungard,0:33 0:33,,1,2011
30,,,+0:00,,Kern Christophe,18,Team Europcar,0:35 0:35,,1,2011
34,,,+0:00,,Peraud Jean-Christophe,19,AG2R La Mondiale,",, 0:35",,1,2011
26,,,+0:00,,Vanendert Jelle,20,Omega Pharma-Lotto,0:53 0:53,,1,2011
24,,,+0:00,,Kadri Blel,21,AG2R La Mondiale,",, 0:53",,1,2011
29,,,+0:00,,Pauriol R\xe9mi,22,FDJ,0:54 0:54,,1,2011
31,,,+0:00,,Niemiec Przemyslaw,23,Lampre - ISD,",, 0:54",,1,2011
21,,,+0:00,,Landa Mikel,24,Euskaltel - Euskadi,",, 0:54",,1,2011
24,,,+0:00,,Martin Daniel,25,Team Garmin - Cerv\xe9lo,",, 0:54",,1,2011
32,,,+0:00,,Pate Danny,26,HTC - High Road,",, 0:54",,1,2011
28,,,+0:00,,Rohregger Thomas,27,Leopard Trek,",, 0:54",,1,2011
36,,,+0:00,,Moncouti\xe9 David,28,Cofidis Le Credit en Ligne,",, 0:54",,1,2011
33,,,+0:00,,Martinez Egoi,29,Euskaltel - Euskadi,0:58 0:58,,1,2011
23,,,+0:00,,Gautier Cyril,30,Team Europcar,",, 0:58",,1,2011
33,,,+0:00,,Flecha Juan Antonio,31,Sky Procycling,",, 0:58",,1,2011
25,,,+0:00,,Jeannesson Arnold,32,FDJ,",, 0:58",,1,2011
24,,,+0:00,,Coppel J\xe9rome,33,Saur - Sojasun,",, 0:58",,1,2011
30,,,+0:00,,Zaugg Oliver,34,Leopard Trek,",, 0:58",,1,2011
25,,,+0:00,,Thomas Geraint,35,Sky Procycling,",, 0:58",,1,2011
25,,,+0:00,,Di Gr\xe9gorio R\xe9my,36,Pro Team Astana,",, 0:58",,1,2011
34,,,+0:00,,van de Walle Jurgen,37,Omega Pharma-Lotto,",, 0:58",,1,2011
33,,,+0:00,,S\xe1nchez Samuel,38,Euskaltel - Euskadi,",, 0:58",,1,2011
30,,,+0:00,,Pires Bruno,39,Leopard Trek,",, 0:58",,1,2011
31,,,+0:00,,Velasco Ivan,40,Euskaltel - Euskadi,",, 0:58",,1,2011
23,,,+0:00,,Silin Egor,41,Team Katusha,",, 0:58",,1,2011
26,,,+0:00,,Jeandesboz Fabrice,42,Saur - Sojasun,1:19 1:19,,1,2011
24,,,+0:00,,Uran Rigoberto,43,Sky Procycling,",, 1:19",,1,2011
31,,,+0:00,,Bellotti Francesco,44,Liquigas - Cannondale,1:24 1:24,,1,2011
29,,,+0:00,,Valentin Tristan,45,Cofidis Le Credit en Ligne,",, 1:24",,1,2011
30,,,+0:00,,Riblon Christophe,46,AG2R La Mondiale,",, 1:24",,1,2011
31,,,+0:00,,Kessiakoff Fredrik,47,Pro Team Astana,",, 1:24",,1,2011
25,,,+0:00,,Gesink Robert,48,Rabobank Cycling Team,1:31 1:31,,1,2011
25,,,+0:00,,Feillu Brice,49,Leopard Trek,1:32 1:32,,1,2011
26,,,+0:00,,Didier Laurent,50,Saxo Bank - Sungard,",, 1:32",,1,2011
24,,,+0:00,,Zeits Andrey,51,Pro Team Astana,1:35 1:35,,1,2011
28,,,+0:00,,Morabito Steve,52,BMC Racing Team,",, 1:35",,1,2011
21,,,+0:00,,Bilbao Pello,53,Euskaltel - Euskadi,",, 1:35",,1,2011
24,,,+0:00,,Taaram\xe4e Rein,54,Cofidis Le Credit en Ligne,1:40 1:40,,1,2011
30,,,+0:00,,Lopez David,55,Movistar Team,1:46 1:46,,1,2011
33,,,+0:00,,Vogondy Nicolas,56,Cofidis Le Credit en Ligne,1:48 1:48,,1,2011
25,,,+0:00,,Bole Grega,57,Lampre - ISD,",, 1:48",,1,2011
26,,,+0:00,,Busche Matthew,58,RadioShack,1:59 1:59,,1,2011
30,,,+0:00,,Anza Santo,59,Vacansoleil - DCM,",, 1:59",,1,2011
25,,,+0:00,,Simon Julien,60,Saur - Sojasun,",, 1:59",,1,2011
24,,,+0:00,,Koren Kristijan,61,Liquigas - Cannondale,",, 1:59",,1,2011
24,,,+0:00,,Paterski Maciej,62,Liquigas - Cannondale,",, 1:59",,1,2011
29,,,+0:00,,Talabardon Yannick,63,Saur - Sojasun,",, 1:59",,1,2011
26,,,+0:00,,Finetto Mauro,64,Liquigas - Cannondale,",, 1:59",,1,2011
26,,,+0:00,,Perget Mathieu,65,AG2R La Mondiale,",, 1:59",,1,2011
27,,,+0:00,,Santaromita Ivan,66,BMC Racing Team,",, 1:59",,1,2011
27,,,+0:00,,Quemeneur Perrig,67,Team Europcar,",, 1:59",,1,2011
27,,,+0:00,,Martens Paul,68,Rabobank Cycling Team,",, 1:59",,1,2011
26,,,+0:00,,Selvaggi Mirko,69,Vacansoleil - DCM,",, 1:59",,1,2011
30,,,+0:00,,Karpets Vladimir,70,Team Katusha,2:07 2:07,,1,2011
32,,,+0:00,,Casar Sandy,71,FDJ,2:13 2:13,,1,2011
36,,,+0:00,,S\xf8rensen Nicki,72,Saxo Bank - Sungard,",, 2:13",,1,2011
21,,,+0:00,,Majka Rafa\u0142,73,Saxo Bank - Sungard,",, 2:13",,1,2011
31,,,+0:00,,Paulinho S\xe9rgio,74,RadioShack,",, 2:13",,1,2011
24,,,+0:00,,Amador Andrey,75,Movistar Team,",, 2:13",,1,2011
29,,,+0:00,,Lequatre Geoffroy,76,RadioShack,",, 2:13",,1,2011
28,,,+0:00,,Txurruka Amets,77,Euskaltel - Euskadi,",, 2:13",,1,2011
32,,,+0:00,,Zabriskie David,78,Team Garmin - Cerv\xe9lo,2:19 2:19,,1,2011
29,,,+0:00,,Moinard Ama\xebl,79,BMC Racing Team,2:21 2:21,,1,2011
30,,,+0:00,,Wegmann Fabian,80,Leopard Trek,2:24 2:24,,1,2011
34,,,+0:00,,Fofonov Dimitri,81,Pro Team Astana,",, 2:24",,1,2011
25,,,+0:00,,Boom Lars,82,Rabobank Cycling Team,2:27 2:27,,1,2011
24,,,+0:00,,Bouet Maxime,83,AG2R La Mondiale,",, 2:27",,1,2011
26,,,+0:00,,Arashiro Yukiya,84,Team Europcar,",, 2:27",,1,2011
23,,,+0:00,,Malori Adriano,85,Lampre - ISD,",, 2:27",,1,2011
21,,,+0:00,,Vermote Julien,86,Quickstep Cycling Team,2:33 2:33,,1,2011
24,,,+0:00,,Smukulis Gatis,87,HTC - High Road,2:36 2:36,,1,2011
26,,,+0:00,,Hivert Jonathan,88,Saur - Sojasun,",, 2:36",,1,2011
34,,,+0:00,,Zandio Xabier,89,Sky Procycling,2:38 2:38,,1,2011
30,,,+0:00,,Posthuma Joost,90,Leopard Trek,2:40 2:40,,1,2011
26,,,+0:00,,Cataldo Dario,91,Quickstep Cycling Team,",, 2:40",,1,2011
31,,,+0:00,,Joly S\xe9bastien,92,Saur - Sojasun,",, 2:40",,1,2011
26,,,+0:00,,Martin Tony,93,HTC - High Road,",, 2:40",,1,2011
32,,,+0:00,,Verdugo Gorka,94,Euskaltel - Euskadi,",, 2:40",,1,2011
29,,,+0:00,,Vandborg Brian,95,Saxo Bank - Sungard,",, 2:40",,1,2011
30,,,+0:00,,Mourey Francis,96,FDJ,",, 2:40",,1,2011
27,,,+0:00,,Erviti Imanol,97,Movistar Team,",, 2:40",,1,2011
26,,,+0:00,,Lund Anders,98,Leopard Trek,",, 2:40",,1,2011
27,,,+0:00,,Trofimov Yuri,99,Team Katusha,",, 2:40",,1,2011
30,,,+0:00,,Kolobnev Alexandr,100,Team Katusha,",, 2:40",,1,2011
24,,,+0:00,,Seeldraeyers Kevin,101,Quickstep Cycling Team,",, 2:40",,1,2011
34,,,+0:00,,Zubeldia Haimar,102,RadioShack,",, 2:40",,1,2011
31,,,+0:00,,Irizar Markel,103,RadioShack,",, 2:40",,1,2011
27,,,+0:00,,Wurf Cameron,104,Liquigas - Cannondale,",, 2:40",,1,2011
27,,,+0:00,,Roy J\xe9r\xe9my,105,FDJ,",, 2:40",,1,2011
30,,,+0:00,,Knees Christian,106,Sky Procycling,2:47 2:47,,1,2011
23,,,+0:00,,Denifl Stefan,107,Leopard Trek,",, 2:47",,1,2011
31,,,+0:00,,Kashechkin Andrey,108,Lampre - ISD,",, 2:47",,1,2011
34,,,+0:00,,Gustov Volodymyr,109,Saxo Bank - Sungard,",, 2:47",,1,2011
30,,,+0:00,,Iglinskiy Maxim,110,Pro Team Astana,",, 2:47",,1,2011
30,,,+0:00,,Lloyd Daniel,111,Team Garmin - Cerv\xe9lo,2:49 2:49,,1,2011
