Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
25,Demarbaix Sebastien,27.0,AG2R Pr\xe9voyance,25,+14:57,14:57 14:57,+14:57,2001,5
26,Mayo Iban,23.0,Euskaltel - Euskadi,26,+16:56,16:56 16:56,+16:56,2001,5
27,Julich Bobby,29.0,Cr\xe9dit Agricole,27,+17:30,17:30 17:30,+17:30,2001,5
28,Brard Florent,25.0,Festina,28,+18:11,18:11 18:11,+18:11,2001,5
29,Lino Pascal,34.0,Festina,29,+18:29,18:29 18:29,+18:29,2001,5
30,Halgand Patrice,27.0,Jean Delatour,30,+18:37,18:37 18:37,+18:37,2001,5
31,Rous Didier,30.0,Bonjour,31,+18:52,18:52 18:52,+18:52,2001,5
32,Bessy Fr\xe9d\xe9ric,29.0,Cr\xe9dit Agricole,32,+18:55,18:55 18:55,+18:55,2001,5
33,Bruylandts Dave,24.0,Domo - Farm Frites,33,+19:38,19:38 19:38,+19:38,2001,5
34,Mancebo Francisco,25.0,Ibanesto.com,34,+19:50,19:50 19:50,+19:50,2001,5
35,Beneteau Walter,28.0,Bonjour,35,+22:25,22:25 22:25,+22:25,2001,5
36,Brochard Laurent,33.0,Jean Delatour,36,+23:50,23:50 23:50,+23:50,2001,5
37,Roux Laurent,28.0,Jean Delatour,37,+24:34,24:34 24:34,+24:34,2001,5
38,Jenner Christopher,26.0,Cr\xe9dit Agricole,38,+25:05,25:05 25:05,+25:05,2001,5
39,Kleynen Steven,23.0,Domo - Farm Frites,39,+25:14,25:14 25:14,+25:14,2001,5
40,Javier Vila Francisco,25.0,Ibanesto.com,40,+26:21,26:21 26:21,+26:21,2001,5
41,Lelli Massimiliano,33.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",41,+27:16,27:16 27:16,+27:16,2001,5
42,Voigt Jens,29.0,Cr\xe9dit Agricole,42,+28:15,28:15 28:15,+28:15,2001,5
43,Casar Sandy,22.0,La Fran\xe7aise des Jeux,43,+28:41,28:41 28:41,+28:41,2001,5
44,Barbosa Candido,26.0,Ibanesto.com,44,+29:18,29:18 29:18,+29:18,2001,5
45,Guilbert Charles,29.0,Bonjour,45,+29:19,29:19 29:19,+29:19,2001,5
46,De Wolf Steve,25.0,Domo - Farm Frites,46,+30:10,30:10 30:10,+30:10,2001,5
47,Jan Xavier,31.0,,47,+30:28,30:28 30:28,+30:28,2001,5
48,Maignan Gilles,32.0,AG2R Pr\xe9voyance,48,+30:57,30:57 30:57,+30:57,2001,5
49,Morin Anthony,26.0,Cr\xe9dit Agricole,49,+31:04,31:04 31:04,+31:04,2001,5
50,Sivakov Alexei,29.0,,50,+33:15,33:15 33:15,+33:15,2001,5
51,Turpin Ludovic,26.0,AG2R Pr\xe9voyance,51,+33:57,33:57 33:57,+33:57,2001,5
52,Renier Franck,27.0,Bonjour,52,+34:10,34:10 34:10,+34:10,2001,5
53,Simon Fran\xe7ois,32.0,Bonjour,53,+34:17,34:17 34:17,+34:17,2001,5
54,Rault Dominique,30.0,,54,+35:31,35:31 35:31,+35:31,2001,5
55,Flores Iker,24.0,Euskaltel - Euskadi,55,+36:24,36:24 36:24,+36:24,2001,5
56,Lebreton Lylian,29.0,,56,+36:33,36:33 36:33,+36:33,2001,5
57,Bouvard Gilles,31.0,Jean Delatour,57,+36:58,36:58 36:58,+36:58,2001,5
58,Axelsson Niklas,29.0,Mercury - Viatel,58,+38:14,38:14 38:14,+38:14,2001,5
59,Landis Floyd,25.0,Mercury - Viatel,59,+38:19,38:19 38:19,+38:19,2001,5
60,Poilvet Benoit,24.0,Cr\xe9dit Agricole,60,+39:59,39:59 39:59,+39:59,2001,5
61,Vermaut Steve,25.0,Lotto - Adecco,61,+40:05,40:05 40:05,+40:05,2001,5
62,Brozyna Tomasz,30.0,Ibanesto.com,62,+40:38,40:38 40:38,+40:38,2001,5
63,Kasputis Arturas,34.0,AG2R Pr\xe9voyance,63,+42:26,42:26 42:26,+42:26,2001,5
64,Bernard J\xe9r\xf4me,29.0,Jean Delatour,64,+44:16,44:16 44:16,+44:16,2001,5
65,Madouas Laurent,34.0,Festina,65,+44:19,44:19 44:19,+44:19,2001,5
66,Gouvenou Thierry,32.0,,66,+45:02,45:02 45:02,+45:02,2001,5
67,Gwiazdowski Grzegorz,26.0,La Fran\xe7aise des Jeux,67,+45:08,45:08 45:08,+45:08,2001,5
68,McGee Bradley,25.0,La Fran\xe7aise des Jeux,68,+45:39,45:39 45:39,+45:39,2001,5
69,Gerrikagoitia Gorka,27.0,Euskaltel - Euskadi,69,+47:20,47:20 47:20,+47:20,2001,5
70,Durand Jacky,34.0,La Fran\xe7aise des Jeux,70,+48:31,48:31 48:31,+48:31,2001,5
71,Baranowski Dariusz,28.0,Ibanesto.com,71,+49:31,49:31 49:31,+49:31,2001,5
72,Baguet Serge,31.0,Lotto - Adecco,72,+49:36,49:36 49:36,+49:36,2001,5
73,Moerenhout Koos,27.0,Domo - Farm Frites,73,+49:43,49:43 49:43,+49:43,2001,5
74,Tchmil Andrei,38.0,Lotto - Adecco,74,+50:06,50:06 50:06,+50:06,2001,5
75,Da Cruz Carlos,26.0,Festina,75,+50:16,50:16 50:16,+50:16,2001,5
76,Van Hyfte Paul,29.0,Lotto - Adecco,76,+50:45,50:45 50:45,+50:45,2001,5
